# ==========================================================================
# AEGEAN-EAST-EXTENTS.csv  ->  Amenti.live/AEGEAN-EAST-EXTENTS.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# 
# The places in this frame that ARE AN AREA. Points are omitted —
# AEGEAN-EAST.csv holds those correctly.
# 
# box=extent  a real bound, full-precision corners
# box=grid    a 0.25-degree fallback CELL, not a shape. A GRID CELL IS
#             NOT AN EXTENT AND MUST NOT DRAW AS ONE.
# shares_box  how many places carry this identical box. More than one
#             on a grid cell is the fallback showing.
# ==========================================================================
key,name,box,precision,lon0,lat0,lon1,lat1,width_km,height_km,repr_lat,repr_lon,shares_box,uri
pl-837,Asia Minor,extent,related,26.75656,36.3269513549,39.728451,43.0786852,1161.2,750.8,37.91033975,27.27850275,1,https://pleiades.stoa.org/places/837
pl-48050879,Delian League,extent,related,23.436606,37.0531492,31.9102407,46.6964665,751.7,1072.3,39.4435563108,26.4869573384,1,https://pleiades.stoa.org/places/48050879
pl-560221,Aegaeum Mare,extent,related,20.8369638,35.26711,29.2996224,42.6106123,768.1,816.6,38.9139570674,24.9172407527,1,https://pleiades.stoa.org/places/560221
pl-177302800,Attalid kingdom,extent,related,23.430141,36.887059,34.63,40.33333,995.5,383.2,38.618123373,27.5690770984,1,https://pleiades.stoa.org/places/177302800
pl-991384,Lycia et Pamphylia,grid,rough,25.0,35.0,30.0,40.0,455.4,556.0,37.5,27.5,15,https://pleiades.stoa.org/places/991384
pl-1001906,Asia,grid,rough,25.0,35.0,30.0,40.0,455.4,556.0,37.5,27.5,15,https://pleiades.stoa.org/places/1001906
pl-991380,Asia,grid,rough,25.0,35.0,30.0,40.0,455.4,556.0,37.5,27.5,15,https://pleiades.stoa.org/places/991380
pl-991382,Hellespontus (province),grid,rough,25.0,35.0,30.0,40.0,455.4,556.0,37.5,27.5,15,https://pleiades.stoa.org/places/991382
pl-981530,Lycia et Pamphylia,grid,rough,25.0,35.0,30.0,40.0,455.4,556.0,37.5,27.5,15,https://pleiades.stoa.org/places/981530
pl-991383,Insulae,grid,rough,25.0,35.0,30.0,40.0,455.4,556.0,37.5,27.5,15,https://pleiades.stoa.org/places/991383
pl-991386,Phrygia I,grid,rough,25.0,35.0,30.0,40.0,455.4,556.0,37.5,27.5,15,https://pleiades.stoa.org/places/991386
pl-992079,Asiana (diocese),grid,rough,25.0,35.0,30.0,40.0,455.4,556.0,37.5,27.5,15,https://pleiades.stoa.org/places/992079
pl-1001909,Lydia (Byzantine province),grid,rough,25.0,35.0,30.0,40.0,455.4,556.0,37.5,27.5,15,https://pleiades.stoa.org/places/1001909
pl-1001134,Asiane (Byzantine diocese),grid,rough,25.0,35.0,30.0,40.0,455.4,556.0,37.5,27.5,15,https://pleiades.stoa.org/places/1001134
