# ==========================================================================
# AEGEAN-EAST.csv  ->  Amenti.live/AEGEAN-EAST.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# DO NOT HAND-EDIT except the `why` column. Re-run the tool.
# 
# frame  aegean-east · Ionia & the Asian shore · 38.30,27.20 · 220 km
# detail reference   NOTHING HAS BEEN AUTHORED ON THIS FRAME.
# 
# tier       pin = a specific position · wash = bounds to seek within
# precision  precise | rough | related — `related` means the bound is
#            assembled from CONNECTED PLACES, not from this one
# unplaced   1 = the coordinate is a 1/8-degree FALLBACK, not a location.
#            Such a row must not draw: a wash would claim bounds it
#            does not have. See GEO.json — unplaced = NO MARK.
# why        the only authored column. Pleiades holds none of it.
# ==========================================================================
key,name,kind,tier,precision,lat,lon,from,until,km,unplaced,uri,why
pl-550795,Pagos (mountain),mountain,wash,rough,38.25,27.25,-30,300,7.1,1,https://pleiades.stoa.org/places/550795,
pl-550828,Phyrites (river),river,wash,rough,38.25,27.25,-30,1999,7.1,1,https://pleiades.stoa.org/places/550828,
pl-551152,Untitled,aqueduct,wash,rough,38.25,27.25,-30,300,7.1,1,https://pleiades.stoa.org/places/551152,
pl-551158,Untitled,aqueduct,wash,rough,38.25,27.25,-30,300,7.1,1,https://pleiades.stoa.org/places/551158,
pl-599635,Hales (river),river,wash,rough,38.25,27.25,-30,300,7.1,1,https://pleiades.stoa.org/places/599635,
pl-599874,Pegaseum Stagnum,lake,wash,rough,38.25,27.25,-30,300,7.1,1,https://pleiades.stoa.org/places/599874,
pl-550608,Kaleon (river),river,wash,rough,38.25,27.25,-30,300,7.1,1,https://pleiades.stoa.org/places/550608,
pl-550729,Meles (river),river,wash,rough,38.25,27.25,-750,300,7.1,1,https://pleiades.stoa.org/places/550729,
pl-550464,*Asteeis? (river),river,wash,rough,38.25,27.25,-750,-550,7.1,1,https://pleiades.stoa.org/places/550464,
pl-600231,Untitled,aqueduct,wash,rough,38.25,27.25,-30,640,7.1,1,https://pleiades.stoa.org/places/600231,
pl-550421,Akçakaya,fort,pin,precise,38.321114,27.095484,-330,-30,9.4,0,https://pleiades.stoa.org/places/550421,
pl-550790,*Oroanna,settlement,pin,precise,38.197854,27.145959,-330,-30,12.3,0,https://pleiades.stoa.org/places/550790,
pl-550893,Smyrna/Eurydikeia,settlement|settlement-modern,pin,precise,38.41719605,27.141387,-550,2100,14.0,0,https://pleiades.stoa.org/places/550893,
