# ==========================================================================
# AEGYPTUS-EXTENTS.csv  ->  Amenti.live/AEGYPTUS-EXTENTS.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# 
# The places in this frame that ARE AN AREA. Points are omitted —
# AEGYPTUS.csv holds those correctly.
# 
# box=extent  a real bound, full-precision corners
# box=grid    a 0.25-degree fallback CELL, not a shape. A GRID CELL IS
#             NOT AN EXTENT AND MUST NOT DRAW AS ONE.
# shares_box  how many places carry this identical box. More than one
#             on a grid cell is the fallback showing.
# ==========================================================================
key,name,box,precision,lon0,lat0,lon1,lat1,width_km,height_km,repr_lat,repr_lon,shares_box,uri
pl-727157,Mendesion Stoma,extent,related,29.331389,-2.282222,33.9877188,31.51993,517.3,3758.6,31.3118654156,31.9910675085,1,https://pleiades.stoa.org/places/727157
pl-991396,Palaestina (province),grid,rough,30.0,30.0,35.0,35.0,481.4,556.0,32.5,32.5,5,https://pleiades.stoa.org/places/991396
pl-1001136,Anatolike,grid,rough,30.0,30.0,35.0,35.0,481.4,556.0,32.5,32.5,5,https://pleiades.stoa.org/places/1001136
pl-1001943,Aigyptos,grid,rough,30.0,30.0,35.0,35.0,481.4,556.0,32.5,32.5,5,https://pleiades.stoa.org/places/1001943
pl-1001944,Augoustamnike I,grid,rough,30.0,30.0,35.0,35.0,481.4,556.0,32.5,32.5,5,https://pleiades.stoa.org/places/1001944
pl-1001945,Augoustamnike II,grid,rough,30.0,30.0,35.0,35.0,481.4,556.0,32.5,32.5,5,https://pleiades.stoa.org/places/1001945
pl-729332,Unnamed road,grid,rough,29.0,29.5,33.0,32.0,387.1,278.0,30.75,31.0,1,https://pleiades.stoa.org/places/729332
pl-434655354,Damietta Branch,extent,precise,31.0545945,30.1711573,31.8445641,31.5264574,75.9,150.7,30.8780196426,31.3748592238,1,https://pleiades.stoa.org/places/434655354
pl-716564,Glaukon Akron,grid,rough,29.0,30.0,30.0,31.0,96.3,111.2,30.5,29.5,1,https://pleiades.stoa.org/places/716564
pl-727087,Bolbitinos (river),extent,precise,30.3712787,30.1711573,31.1418951,31.4589543,74.1,143.2,30.7801851245,30.7526129624,1,https://pleiades.stoa.org/places/727087
pl-716641,Tracheia Akron,grid,rough,28.0,31.0,29.0,32.0,95.3,111.2,31.5,28.5,3,https://pleiades.stoa.org/places/716641
pl-716651,Zephyrion,grid,rough,28.0,31.0,29.0,32.0,95.3,111.2,31.5,28.5,3,https://pleiades.stoa.org/places/716651
pl-716653,Zephyrion Pr.,grid,rough,28.0,31.0,29.0,32.0,95.3,111.2,31.5,28.5,3,https://pleiades.stoa.org/places/716653
pl-727225,Sebennytikos (river),grid,rough,31.0,30.5,31.5,31.5,47.9,111.2,31.0,31.25,1,https://pleiades.stoa.org/places/727225
