# ==========================================================================
# AEGYPTUS.csv  ->  Amenti.live/AEGYPTUS.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# DO NOT HAND-EDIT except the `why` column. Re-run the tool.
# 
# frame  aegyptus · The Nile Delta · 30.90,31.20 · 260 km
# detail reference   NOTHING HAS BEEN AUTHORED ON THIS FRAME.
# 
# tier       pin = a specific position · wash = bounds to seek within
# precision  precise | rough | related — `related` means the bound is
#            assembled from CONNECTED PLACES, not from this one
# unplaced   1 = the coordinate is a 1/8-degree FALLBACK, not a location.
#            Such a row must not draw: a wash would claim bounds it
#            does not have. See GEO.json — unplaced = NO MARK.
# why        the only authored column. Pleiades holds none of it.
# ==========================================================================
key,name,kind,tier,precision,lat,lon,from,until,km,unplaced,uri,why
pl-727144,Kynopolis,settlement,pin,precise,30.896044,31.234453,-30,640,3.3,0,https://pleiades.stoa.org/places/727144,
pl-727090,Bousiris,settlement,pin,precise,30.913368,31.2387955,-550,300,4.0,0,https://pleiades.stoa.org/places/727090,
pl-727227,Sebennytos,settlement,pin,precise,30.9641295,31.239982,-750,640,8.1,0,https://pleiades.stoa.org/places/727227,
pl-727091,Bousirites Nomos,province|label,pin,precise,30.8126298187,31.1886918907,-550,640,9.8,0,https://pleiades.stoa.org/places/727091,
pl-727225,Sebennytikos (river),settlement|river,wash,rough,31.0,31.25,-550,640,12.1,1,https://pleiades.stoa.org/places/727225,
pl-727202,Phthemphoutites Nomos,nome-gr|label,pin,precise,30.830239156,31.0721208254,-330,640,14.5,0,https://pleiades.stoa.org/places/727202,
pl-727130,Behbeit el-Hagar,settlement,pin,precise,31.030815,31.281947,300,2100,16.5,0,https://pleiades.stoa.org/places/727130,
pl-727128,Isieion,settlement,pin,precise,31.03333,31.283332,-750,640,16.8,0,https://pleiades.stoa.org/places/727128,
pl-434655354,Damietta Branch,settlement|river,pin,precise,30.8780196426,31.3748592238,-304,2099,16.9,0,https://pleiades.stoa.org/places/434655354,
pl-727181,Onouphites? Nomos,province|label,pin,precise,31.0143812652,31.0442890343,-550,300,19.6,0,https://pleiades.stoa.org/places/727181,
pl-727226,Tou Sebennytikou Nomos,province|label,pin,precise,31.0095083765,31.3633821606,-550,640,19.8,0,https://pleiades.stoa.org/places/727226,
pl-727168,Natho,settlement,pin,precise,30.713246,31.266677,-550,640,21.7,0,https://pleiades.stoa.org/places/727168,
pl-429129177,Ibis Nome,nome-egyptian,pin,precise,30.9581008,31.4194301,-4500,-332,21.9,0,https://pleiades.stoa.org/places/429129177,
pl-727122,Hermopolis,settlement,pin,precise,31.037798,31.379406,-1548,2100,23.0,0,https://pleiades.stoa.org/places/727122,
pl-727243,Taya,settlement,pin,precise,30.7709265,31.004611,-30,640,23.5,0,https://pleiades.stoa.org/places/727243,
pl-727110,Diokleous Kome,settlement,pin,precise,30.687565,31.137392,-30,300,24.4,0,https://pleiades.stoa.org/places/727110,
pl-729332,Unnamed road,road,wash,rough,30.75,31.0,-30,640,25.4,1,https://pleiades.stoa.org/places/729332,
pl-727180,Onouphis Kato,settlement,pin,precise,30.877265,30.927702,-30,640,26.1,0,https://pleiades.stoa.org/places/727180,
pl-668288956,To-Bener,settlement,pin,precise,31.0921268383,31.0416250777,1900,2099,26.2,0,https://pleiades.stoa.org/places/668288956,
pl-727092,Bousiritikos? (river),river,wash,related,31.074135375,31.389307625,-550,300,26.5,0,https://pleiades.stoa.org/places/727092,
pl-727245,Thambol,settlement,pin,precise,30.850872,31.489655,-30,1999,28.2,0,https://pleiades.stoa.org/places/727245,
pl-727146,Tell el-Moqdam,settlement|archaeological-site,pin,precise,30.682989,31.355543,-1548,850,28.3,0,https://pleiades.stoa.org/places/727146,
pl-727257,Xoites Nomos,province|label,pin,precise,31.1306139922,31.0404123794,-30,640,29.8,0,https://pleiades.stoa.org/places/727257,
pl-727148,Leontopolites Nomos,province|label,pin,precise,30.7253816154,31.445193501,-330,640,30.4,0,https://pleiades.stoa.org/places/727148,
pl-727249,Thmouis,settlement,pin,precise,30.9356335,31.5168555,-750,2100,30.5,0,https://pleiades.stoa.org/places/727249,
pl-727156,Mendes,settlement,pin,precise,30.956115,31.51741,-4500,640,30.9,0,https://pleiades.stoa.org/places/727156,
pl-727222,Sebennytes Ano Nomos,province|label,pin,precise,31.1739566926,31.2602126331,-330,640,31.0,0,https://pleiades.stoa.org/places/727222,
pl-727256,Xois,settlement,pin,precise,31.108961,30.93728,-30,640,34.2,0,https://pleiades.stoa.org/places/727256,
pl-727218,Saites Nomos,province|label,pin,precise,30.8627069598,30.8174859351,-550,640,36.7,0,https://pleiades.stoa.org/places/727218,
pl-189900109,Tell el-Farkha,settlement,pin,precise,30.874944349,31.6016594135,-4500,2100,38.4,0,https://pleiades.stoa.org/places/189900109,
pl-890432542,Pseudo-Athribitischer Arm,settlement,wash,rough,31.25,31.25,-304,640,39.2,1,https://pleiades.stoa.org/places/890432542,
pl-17661158,Tell el-Samara,settlement|tell,pin,precise,30.920916,31.613893,-5000,-2000,39.6,0,https://pleiades.stoa.org/places/17661158,
pl-727200,Phernouphis,settlement,pin,precise,31.057217789,31.5813792536,-330,300,40.3,0,https://pleiades.stoa.org/places/727200,
pl-727077,Atarbechis,settlement,pin,precise,30.713606,30.828784,-550,300,41.1,0,https://pleiades.stoa.org/places/727077,
pl-727217,Sais,settlement,pin,precise,30.96715,30.774367,-750,2100,41.3,0,https://pleiades.stoa.org/places/727217,
pl-727079,Athribites Nomos,province|label,pin,precise,30.5087064869,31.2174901006,,,43.5,0,https://pleiades.stoa.org/places/727079,
pl-727196,Pharbaithos,settlement,pin,precise,30.734257,31.620556,-750,640,44.2,0,https://pleiades.stoa.org/places/727196,
pl-727087,Bolbitinos (river),river,pin,precise,30.7801851245,30.7526129624,-550,2100,44.7,0,https://pleiades.stoa.org/places/727087,
pl-730142,Phernouphites,unlocated|nome-gr,wash,related,31.0337616047,31.646782758,-30,640,45.1,0,https://pleiades.stoa.org/places/730142,
pl-727159,Mendesios Nomos,nome-egyptian|label,pin,precise,31.033833999,31.6522175177,-550,640,45.6,0,https://pleiades.stoa.org/places/727159,
pl-727166,Momemphites Nomos,province|label,wash,rough,30.75,30.75,-30,640,46.1,1,https://pleiades.stoa.org/places/727166,
pl-727185,Papremis,labeled feature,wash,rough,30.75,30.75,-550,300,46.1,1,https://pleiades.stoa.org/places/727185,
