# ==========================================================================
# AFRICA-EXTENTS.csv  ->  Amenti.live/AFRICA-EXTENTS.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# 
# The places in this frame that ARE AN AREA. Points are omitted —
# AFRICA.csv holds those correctly.
# 
# box=extent  a real bound, full-precision corners
# box=grid    a 0.25-degree fallback CELL, not a shape. A GRID CELL IS
#             NOT AN EXTENT AND MUST NOT DRAW AS ONE.
# shares_box  how many places carry this identical box. More than one
#             on a grid cell is the fallback showing.
# ==========================================================================
key,name,box,precision,lon0,lat0,lon1,lat1,width_km,height_km,repr_lat,repr_lon,shares_box,uri
pl-321633,Absasallensis,grid,rough,5.0,35.0,10.0,40.0,455.4,556.0,37.5,7.5,4,https://pleiades.stoa.org/places/321633
pl-981539,Numidia (Roman province),grid,rough,5.0,35.0,10.0,40.0,455.4,556.0,37.5,7.5,4,https://pleiades.stoa.org/places/981539
pl-991342,Numidia Cirtensis,grid,rough,5.0,35.0,10.0,40.0,455.4,556.0,37.5,7.5,4,https://pleiades.stoa.org/places/991342
pl-991343,Numidia Militiana,grid,rough,5.0,35.0,10.0,40.0,455.4,556.0,37.5,7.5,4,https://pleiades.stoa.org/places/991343
pl-328437,Untitled,grid,rough,7.5,34.0,11.5,36.0,368.7,222.4,35.0,9.5,11,https://pleiades.stoa.org/places/328437
pl-328438,Untitled,grid,rough,7.5,34.0,11.5,36.0,368.7,222.4,35.0,9.5,11,https://pleiades.stoa.org/places/328438
pl-328439,Untitled,grid,rough,7.5,34.0,11.5,36.0,368.7,222.4,35.0,9.5,11,https://pleiades.stoa.org/places/328439
pl-328440,Untitled,grid,rough,7.5,34.0,11.5,36.0,368.7,222.4,35.0,9.5,11,https://pleiades.stoa.org/places/328440
pl-328441,Untitled,grid,rough,7.5,34.0,11.5,36.0,368.7,222.4,35.0,9.5,11,https://pleiades.stoa.org/places/328441
pl-328443,Untitled,grid,rough,7.5,34.0,11.5,36.0,368.7,222.4,35.0,9.5,11,https://pleiades.stoa.org/places/328443
pl-328427,Untitled,grid,rough,7.5,34.0,11.5,36.0,368.7,222.4,35.0,9.5,11,https://pleiades.stoa.org/places/328427
pl-328430,Untitled,grid,rough,7.5,34.0,11.5,36.0,368.7,222.4,35.0,9.5,11,https://pleiades.stoa.org/places/328430
pl-328432,Untitled,grid,rough,7.5,34.0,11.5,36.0,368.7,222.4,35.0,9.5,11,https://pleiades.stoa.org/places/328432
pl-328434,Untitled,grid,rough,7.5,34.0,11.5,36.0,368.7,222.4,35.0,9.5,11,https://pleiades.stoa.org/places/328434
pl-328436,Untitled,grid,rough,7.5,34.0,11.5,36.0,368.7,222.4,35.0,9.5,11,https://pleiades.stoa.org/places/328436
pl-319367,Untitled,grid,rough,7.5,36.0,11.5,38.0,359.8,222.4,37.0,9.5,17,https://pleiades.stoa.org/places/319367
pl-319368,Untitled,grid,rough,7.5,36.0,11.5,38.0,359.8,222.4,37.0,9.5,17,https://pleiades.stoa.org/places/319368
pl-319369,Untitled,grid,rough,7.5,36.0,11.5,38.0,359.8,222.4,37.0,9.5,17,https://pleiades.stoa.org/places/319369
pl-319370,Untitled,grid,rough,7.5,36.0,11.5,38.0,359.8,222.4,37.0,9.5,17,https://pleiades.stoa.org/places/319370
pl-319371,Untitled,grid,rough,7.5,36.0,11.5,38.0,359.8,222.4,37.0,9.5,17,https://pleiades.stoa.org/places/319371
pl-319372,Untitled,grid,rough,7.5,36.0,11.5,38.0,359.8,222.4,37.0,9.5,17,https://pleiades.stoa.org/places/319372
pl-319373,Untitled,grid,rough,7.5,36.0,11.5,38.0,359.8,222.4,37.0,9.5,17,https://pleiades.stoa.org/places/319373
