# ==========================================================================
# AFRICA.csv  ->  Amenti.live/AFRICA.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# DO NOT HAND-EDIT except the `why` column. Re-run the tool.
# 
# frame  africa · Carthage & the African shore · 36.60,10.20 · 260 km
# detail reference   NOTHING HAS BEEN AUTHORED ON THIS FRAME.
# 
# tier       pin = a specific position · wash = bounds to seek within
# precision  precise | rough | related — `related` means the bound is
#            assembled from CONNECTED PLACES, not from this one
# unplaced   1 = the coordinate is a 1/8-degree FALLBACK, not a location.
#            Such a row must not draw: a wash would claim bounds it
#            does not have. See GEO.json — unplaced = NO MARK.
# why        the only authored column. Pleiades holds none of it.
# ==========================================================================
key,name,kind,tier,precision,lat,lon,from,until,km,unplaced,uri,why
pl-208943256,Untitled,unlabeled|fort,pin,precise,36.590201,10.181934,-30,300,1.9,0,https://pleiades.stoa.org/places/208943256,
pl-315247,Uthina,settlement,pin,precise,36.607458,10.172291,-30,1999,2.6,0,https://pleiades.stoa.org/places/315247,
pl-823168612,Roman amphitheater at Uthina,amphitheatre,pin,precise,36.6086134158,10.1692296253,-30,300,2.9,0,https://pleiades.stoa.org/places/823168612,
pl-208943280,Untitled,unlabeled|fort,pin,precise,36.604614,10.167736,-30,300,2.9,0,https://pleiades.stoa.org/places/208943280,
pl-208943252,Untitled,settlement|unlabeled,pin,precise,36.561496,10.150738,-30,300,6.1,0,https://pleiades.stoa.org/places/208943252,
pl-208943260,Untitled,villa|unlabeled,pin,precise,36.609455,10.269223,-30,300,6.3,0,https://pleiades.stoa.org/places/208943260,
pl-208943253,Untitled,settlement|unlabeled,pin,precise,36.550118,10.158923,-30,300,6.6,0,https://pleiades.stoa.org/places/208943253,
pl-315210,Thimida Regia,settlement,pin,precise,36.640739,10.141835,-330,1999,6.9,0,https://pleiades.stoa.org/places/315210,
pl-315603,Zaghouan Aqueduct,aqueduct,pin,precise,36.6280889444,10.1291218604,-30,640,7.1,0,https://pleiades.stoa.org/places/315603,
pl-208943276,Untitled,settlement|unlabeled,pin,precise,36.647334,10.262199,-30,300,7.6,0,https://pleiades.stoa.org/places/208943276,
