key,name,kind,tier,lat,lon,km,mentions,sources,in,matched_as,unsearchable_forms,uri,first_seen
pl-579885,Athenae,settlement,wash,37.97164,23.72391,1.4,534,61,shakespeare-william/02-first-folio.md(58); shakespeare-william/33-timon-of-athens.md(48); thucydides/02-the-funeral-oration.md(39); thucydides/05-the-sicilian-expedition.md(32),ATHENS|Athen|Athenae|Athens,0,https://pleiades.stoa.org/places/579885,"Knatchbull, pp. 113-115. Symeon Seth (Athens edition), p. 16. John of Capua,"
pl-570182,Corinthus/Korinthos,settlement|archaeological site,pin,37.90564,22.87861,74.9,75,27,thucydides/05-the-sicilian-expedition.md(7); shakespeare-william/02-first-folio.md(7); thucydides/06-the-defeat.md(6); shakespeare-william/05-errors.md(6),Corinth|Corinthus,0,https://pleiades.stoa.org/places/570182,"herd who took him to his master, the King of Corinth. Polybus being childless adopted the"
pl-541138,Thebai/Thebae,"settlement|archaeological site|findspot, place of finding, find place",pin,38.31995,23.31765,51.8,108,25,theseus/05-oedipus-at-colonus.md(23); shakespeare-william/38-two-noble-kinsmen.md(22); apollo/07-sophocles-oedipus.md(17); apollo/08-pindar-pythian.md(14),THEBES|Thebes,5,https://pleiades.stoa.org/places/541138,"ARGUMENT To Laius, King of Thebes, an oracle foretold that the child bor"
pl-540726,Delphi,sanctuary (religious center)|settlement,pin,38.48229,22.50117,120.6,116,24,lycurgus/06-herodotus-book-one.md(36); apollo/08-pindar-pythian.md(26); theseus/00-plutarch-theseus.md(7); plutarch/01-theseus.md(7),Delphi|Pytho,5,https://pleiades.stoa.org/places/540726,"2-206) Leto's all-glorious son goes to rocky Pytho, playing upon his hollow lyre, clad in"
pl-570106,Argos,settlement|archaeological site,pin,37.63105,22.72038,96.8,57,24,theseus/05-oedipus-at-colonus.md(7); thucydides/03-the-plague.md(6); lycurgus/06-herodotus-book-one.md(6); apollo/08-pindar-pythian.md(5),Argos,2,https://pleiades.stoa.org/places/570106,"free her. She shall grow old in my house at Argos far from her own home, busying herself"
pl-570577,Peloponnesus/Peloponnesos/Peloponnese,peninsula|region,wash,37.09278,22.33596,157.7,120,23,herodotus/04-salamis.md(20); thucydides/06-the-defeat.md(18); thucydides/02-the-funeral-oration.md(14); thucydides/05-the-sicilian-expedition.md(11),Peloponnese|Peloponnesus,3,https://pleiades.stoa.org/places/570577,"rfect hecatombs, both those who live in rich Peloponnesus and those of Europe and all the"
pl-570685,Sparta,"settlement|temple, sanctuary, shrine, monument, tomb (deprecated)|temple|archaeological site",pin,37.08178,22.42467,152.5,107,23,lycurgus/01-plutarch-lycurgus.md(26); lycurgus/03-xenophon-lacedaemonians.md(17); lycurgus/05-plutarch-agis.md(14); herodotus/03-thermopylai.md(10),Sparta,0,https://pleiades.stoa.org/places/570685,"all I of Athenians take reward of thanks, at Sparta when I shall tell in a song to come of"
pl-570406,Lacedaemon/Laconia,region|map label location,pin,37.04573,22.66035,140.5,94,19,lycurgus/01-plutarch-lycurgus.md(15); lycurgus/04-aristotle-politics-two.md(11); thucydides/02-the-funeral-oration.md(10); thucydides/05-the-sicilian-expedition.md(10),Lacedaemon|Laconia|Lakedaimon,0,https://pleiades.stoa.org/places/570406,"then they would have gone forth from mighty Lakedaimon, and from the Argive gulf, and fro"
pl-1001896,Hellas (Late Roman province),province,wash,37.5,22.5,120.6,87,15,thucydides/01-the-method.md(21); thucydides/05-the-sicilian-expedition.md(14); herodotus/04-salamis.md(11); lycurgus/06-herodotus-book-one.md(8),Hellas,2,https://pleiades.stoa.org/places/1001896,"hurled their youth into the sea, to deliver Hellas from the bondage of the oppressor. Fr"
pl-540703,Chalcis,settlement,pin,38.45714,23.62194,53.4,51,15,flavius-josephus/01-antiquities.md(12); flavius-josephus/02-wars-of-the-jews.md(9); flavius-josephus/antiquities-book-20.md(7); flavius-josephus/wars-book-02.md(7),Chalcis|Chalkis,0,https://pleiades.stoa.org/places/540703,"and the men of Pylos; past Cruni it went and Chalcis and past Dyme and fair Elis, where th"
pl-479670108,Academy/Akademeia/Akademia,archaeological site,pin,37.99245,23.70735,2.0,24,15,george-washington/02-journal-over-the-mountains.md(4); augustus-caesar/02-the-inscription.md(3); einstein-albert/05-sidelights.md(3); george-washington/05-masonic-correspondence.md(2),Academy,0,https://pleiades.stoa.org/places/479670108,"made his home while attending Mr. William's Academy. Austin is, or has been, in Virginia"
pl-570468,Megara,settlement,pin,37.98508,23.34016,33.9,29,14,thucydides/05-the-sicilian-expedition.md(8); theseus/00-plutarch-theseus.md(4); plutarch/01-theseus.md(4); herodotus/04-salamis.md(2),Megara,0,https://pleiades.stoa.org/places/570468,"beneath the hands of the adversary. Now at Megara also hast thou won a prize, and in sec"
pl-540775,Euboea (island),island,pin,38.53,23.87,62.0,28,13,thucydides/02-the-funeral-oration.md(4); thucydides/06-the-defeat.md(4); plutarch/05-pericles.md(4); herodotus/04-salamis.md(3),Euboea,1,https://pleiades.stoa.org/places/540775,"hip of Athens, and in the isle of Aegina and Euboea, famous for ships, in Aegae and Eiresi"
pl-579888,Attica,region,wash,38.03333,23.65,8.7,65,12,thucydides/02-the-funeral-oration.md(13); herodotus/04-salamis.md(8); thucydides/03-the-plague.md(8); theseus/00-plutarch-theseus.md(8),Attica,0,https://pleiades.stoa.org/places/579888,amely in order that they might remove out of Attica to a place of safety their children an
pl-594947,Apollonia,unlocated|settlement,wash,36.97358,24.69879,141.3,39,12,julius-caesar/civil-war-3.md(14); cleopatra/05-suetonius-augustus.md(5); plutarch/10-marcus-brutus.md(5); augustus-caesar/02-the-inscription.md(3),Apollonia,0,https://pleiades.stoa.org/places/594947,"ed to fix his winter quarters at Dyrrachium, Apollonia, and the other sea-ports, to hinder"
pl-579874,Aphrodite sanctuary at Dafni,sanctuary (religious center),pin,38.0128,23.6159,10.3,26,12,flavius-josephus/02-wars-of-the-jews.md(5); apollo/05-ovid-daphne.md(4); flavius-josephus/01-antiquities.md(3); flavius-josephus/wars-book-04.md(3),Daphne,1,https://pleiades.stoa.org/places/579874,"[I.452-567] Apollo, falling in love with Daphne, the daughter of the river Peneus, s"
pl-579945,Helena (island),island,pin,37.69066,24.12125,47.5,280,11,shakespeare-william/02-all-s-well-that-ends-well.md(126); shakespeare-william/24-a-midsummer-night-s-dream.md(71); shakespeare-william/02-first-folio.md(34); flavius-josephus/01-antiquities.md(18),HELENA|Helena,0,https://pleiades.stoa.org/places/579945,"married a Fairfax, and was stationed at St. Helena in 1716-17, and subsequently at the Ba"
pl-579878,Artemis Tauropolos temple,sanctuary (religious center)|settlement,pin,37.97975,24.00891,24.7,37,9,theseus/04-hippolytus.md(23); apollo/01-homeric-hymn-delian.md(3); apollo/08-pindar-pythian.md(3); apollo/07-sophocles-oedipus.md(2),ARTEMIS|Artemis,1,https://pleiades.stoa.org/places/579878,"bare glorious children, the lord Apollo and Artemis who delights in arrows; her in Ortygi"
pl-579920,Eleusis,settlement|deme (Athenian),pin,38.0411,23.5374,17.8,22,9,herodotus/04-salamis.md(4); thucydides/02-the-funeral-oration.md(4); theseus/00-plutarch-theseus.md(4); plutarch/01-theseus.md(4),Eleusis,0,https://pleiades.stoa.org/places/579920,"when a battle was fought by the Athenians at Eleusis against the neighbouring people, he b"
pl-995644788,"Tholos at the Sanctuary of Asklepios, Epidauros",sanctuary (religious center)|temple,pin,37.59841,23.07405,71.6,13,9,thucydides/03-the-plague.md(2); thucydides/05-the-sicilian-expedition.md(2); thucydides/06-the-defeat.md(2); theseus/04-hippolytus.md(2),Epidaurus,3,https://pleiades.stoa.org/places/995644788,n Attica in the Paralian region. Arriving at Epidaurus in Peloponnese they ravaged most of
pl-570085,A(n)thene,settlement,pin,37.45039,22.6695,110.4,21,8,lycurgus/06-herodotus-book-one.md(10); apollo/08-pindar-pythian.md(3); herodotus/04-salamis.md(2); thucydides/02-the-funeral-oration.md(2),Athene,0,https://pleiades.stoa.org/places/570085,"oice immortal, O tell me. (Ant. 1) First on Athene I call; O Zeus-born goddess, defend!"
pl-540639,Anthedon,settlement|port,pin,38.49769,23.45165,62.0,20,8,flavius-josephus/01-antiquities.md(5); flavius-josephus/02-wars-of-the-jews.md(5); flavius-josephus/wars-book-01.md(4); flavius-josephus/antiquities-book-13.md(2),Anthedon,0,https://pleiades.stoa.org/places/540639,"he maritime parts of the country, Raphia and Anthedon, [the name of which king Herod after"
pl-580021,Marathon,settlement|deme (Athenian),pin,38.14655,23.97015,27.9,19,8,lycurgus/06-herodotus-book-one.md(4); theseus/00-plutarch-theseus.md(4); plutarch/01-theseus.md(4); apollo/08-pindar-pythian.md(3),Marathon,0,https://pleiades.stoa.org/places/580021,"victory B.C. 490, the year of the battle of Marathon. He was a member of the great house"
pl-579844,Aegina (island),island,pin,37.73456,23.4893,34.7,18,8,apollo/08-pindar-pythian.md(5); thucydides/02-the-funeral-oration.md(3); thucydides/06-the-defeat.md(3); thucydides/01-the-method.md(2),AIGINA|Aegina|Aigina|Oinone,3,https://pleiades.stoa.org/places/579844,"n the township of Athens, and in the isle of Aegina and Euboea, famous for ships, in Aegae"
pl-570299,Hydroussa/Hydrea (island),island,pin,37.33488,23.47409,75.5,10,8,shakespeare-william/02-first-folio.md(3); shakespeare-william/06-coriolanus.md(1); shakespeare-william/09-first-part-of-king-henry-the-fourth.md(1); shakespeare-william/10-second-part-of-king-henry-the-fourth.md(1),Hydra,3,https://pleiades.stoa.org/places/570299,"owglas. Dow. Another King? They grow like Hydra's heads: I am the Dowglas, fatall to a"
pl-540740,Doris,region|map label location,pin,38.72285,22.42477,140.2,32,7,flavius-josephus/01-antiquities.md(9); flavius-josephus/02-wars-of-the-jews.md(7); flavius-josephus/wars-book-01.md(7); flavius-josephus/antiquities-book-19.md(5),Doris,0,https://pleiades.stoa.org/places/540740,he Malians from the land which is now called Doris. 44. These were the Peloponnesians who
pl-969121823,Areopagus,hill,pin,37.97237,23.72337,1.3,19,7,plutarch/04-solon.md(6); solon/01-the-crisis.md(5); plutarch/05-pericles.md(3); solon/03-the-constitution.md(2),Areopagus,0,https://pleiades.stoa.org/places/969121823,"ing their mystic runes upon the Lions of the Areopagus, and filling the heart of even the"
pl-570102,Arcadia,region,wash,37.56503,22.29917,133.9,12,7,lycurgus/06-herodotus-book-one.md(3); livy/02-romulus-remus.md(2); herodotus/03-thermopylai.md(2); romulus/01-livy-the-founding.md(2),Arcadia,1,https://pleiades.stoa.org/places/570102,"atine hill, which, from Palanteum, a city of Arcadia, was first called Palatium, and after"
pl-540689,Boeotia,region,wash,38.3169,23.13492,63.7,12,7,herodotus/04-salamis.md(3); thucydides/01-the-method.md(2); thucydides/02-the-funeral-oration.md(2); thucydides/06-the-defeat.md(2),Boeotia,0,https://pleiades.stoa.org/places/540689,"in full force waiting for the Barbarians in Boeotia; they found however nothing of this,"
pl-580062,Peiraieus/Piraeus,region|settlement|deme (Athenian),pin,37.93722,23.64461,8.9,9,7,thucydides/02-the-funeral-oration.md(3); thucydides/03-the-plague.md(1); thucydides/05-the-sicilian-expedition.md(1); theseus/04-hippolytus.md(1),Piraeus,0,https://pleiades.stoa.org/places/580062,"Phaleric. Then there were the Long Walls to Piraeus, a distance of some four miles and a"
pl-368305524,Orchestra in the Agora of Athens,"theatre, theater",wash,37.97484,23.72252,1.1,7,7,augustus-caesar/04-the-settlement.md(1); cleopatra/04-suetonius-julius.md(1); cleopatra/05-suetonius-augustus.md(1); theseus/04-hippolytus.md(1),Orchestra|orchestra,4,https://pleiades.stoa.org/places/368305524,"ose which were allies of Rome, to sit in the orchestra; having found that some manumitted"
