key,place,form,script,searchable,caution,names_n_places,origin
pl-915090919,"""Gymnasium"" at Eleusis","""Gymnasium"" at Eleusis",latin,yes,,1,attested
pl-720770008,"""Mithraeum"" at Eleusis","""Mithraeum"" at Eleusis",latin,yes,,1,attested
pl-570271,(H)Aimoniai,(H)Aimoniai,latin,yes,,1,attested
pl-570271,(H)Aimoniai,Aimoniai,latin,yes,,1,attested
pl-570271,(H)Aimoniai,Haimoniai,latin,yes,,1,attested
pl-570276,(H)Alkyonis Sinus,(H)Alkyonis Sinus,latin,yes,,1,attested
pl-570276,(H)Alkyonis Sinus,Alkyonis Sinus,latin,yes,,1,attested
pl-570276,(H)Alkyonis Sinus,Halkyonis Sinus,latin,yes,,1,attested
pl-540811,(H)Ellopia (Euboea),(H)Ellopia (Euboea),latin,yes,,1,attested
pl-540811,(H)Ellopia (Euboea),Ellopia,latin,yes,,1,attested
pl-540811,(H)Ellopia (Euboea),Hellopia,latin,yes,,1,attested
pl-540811,(H)Ellopia (Euboea),Ελλοπια,greek,yes,,1,attested
pl-540811,(H)Ellopia (Euboea),Ἑλλοπία,greek,yes,,1,attested
pl-540752,*Ekarra,*Ekarra,latin,yes,,1,attested
pl-540752,*Ekarra,Acharrae,latin,yes,,1,attested
pl-540752,*Ekarra,Ekarra,latin,yes,,1,attested
pl-540752,*Ekarra,Ekkarreis,latin,yes,,1,attested
pl-540752,*Ekarra,Εκκαρρεις,greek,yes,,1,attested
pl-540752,*Ekarra,Ἐκκαρρεις,greek,yes,,1,attested
pl-570085,A(n)thene,A(n)thene,latin,yes,,1,attested
pl-570085,A(n)thene,Anthene,latin,yes,,1,attested
pl-570085,A(n)thene,Athene,latin,yes,,1,attested
pl-540582,Abai,Abai,latin,,too short to search,1,attested
pl-540582,Abai,Αβαι,greek,,too short to search,1,attested
pl-540582,Abai,Ἀβαὶ,greek,,too short to search,1,attested
pl-540583,Abantes,Abantes,latin,yes,,1,attested
pl-570027,Abia,Abia,latin,,too short to search,1,attested
pl-570027,Abia,Avias,latin,yes,,1,attested
pl-570027,Abia,Palaiochora,latin,,names 2 places in this box,2,attested
pl-570027,Abia,Αβία,greek,,too short to search,1,attested
pl-570027,Abia,Αβια,greek,,too short to search,1,attested
pl-479670108,Academy/Akademeia/Akademia,Academy,latin,yes,,1,attested
pl-479670108,Academy/Akademeia/Akademia,Academy/Akademeia/Akademia,latin,yes,,1,attested
pl-479670108,Academy/Akademeia/Akademia,Akademeia,latin,yes,,1,attested
pl-479670108,Academy/Akademeia/Akademia,Akademia,latin,yes,,1,attested
pl-479670108,Academy/Akademeia/Akademia,Akadēmia,latin,yes,,1,attested
pl-479670108,Academy/Akademeia/Akademia,Akadḗmia,latin,yes,,1,attested
pl-479670108,Academy/Akademeia/Akademia,Hekademeia,latin,yes,,1,attested
pl-479670108,Academy/Akademeia/Akademia,Hekadēmeia,latin,yes,,1,attested
pl-479670108,Academy/Akademeia/Akademia,Platonic Academy,latin,yes,,1,attested
pl-479670108,Academy/Akademeia/Akademia,Platonische Akademie,latin,yes,,1,attested
pl-479670108,Academy/Akademeia/Akademia,Ακαδημεια,greek,yes,,1,attested
pl-479670108,Academy/Akademeia/Akademia,Ακαδημια,greek,yes,,1,attested
pl-479670108,Academy/Akademeia/Akademia,Εκαδημεια,greek,yes,,1,attested
