key,name,kind,tier,lat,lon,from,until,locations,km,uri,why
pl-582865,Skambonidai,settlement|deme (Athenian),pin,37.98286,23.72888,-550,300,1,0.2,https://pleiades.stoa.org/places/582865,
pl-249767015,Acharnian Gate,"gate (of a city), city gate",pin,37.98104,23.72876,2000,2099,1,0.3,https://pleiades.stoa.org/places/249767015,
pl-401250361,Unnamed Gate of the Themistoklean Wall,"gate (of a city), city gate",pin,37.98047,23.72332,2000,2099,1,0.5,https://pleiades.stoa.org/places/401250361,
pl-551863597,Gate at 4 Dragatsaniou St./Northeast Gate,"gate (of a city), city gate",pin,37.9798,23.7311,2000,2099,1,0.5,https://pleiades.stoa.org/places/551863597,
pl-690970100,Hippades Gate,"gate (of a city), city gate",pin,37.9792,23.7207,2000,2099,1,0.8,https://pleiades.stoa.org/places/690970100,
pl-728329644,Library of Hadrian at Athens,architectural complex,pin,37.9754,23.72648,-30,640,1,0.9,https://pleiades.stoa.org/places/728329644,
pl-676120271,Basilica,building|basilica,pin,37.97584,23.72387,2000,2099,1,0.9,https://pleiades.stoa.org/places/676120271,
pl-143098101,Stoa Poikile,stoa|archaeological site,pin,37.9764,23.7227,2000,2099,1,0.9,https://pleiades.stoa.org/places/143098101,
pl-435244729,Sanctuary of Aphrodite Ourania,shrine|archaeological site,pin,37.9764,23.72264,2000,2099,1,0.9,https://pleiades.stoa.org/places/435244729,
pl-310115518,Dipylon Gate,"gate (of a city), city gate",pin,37.97854,23.71898,-750,300,1,0.9,https://pleiades.stoa.org/places/310115518,
pl-582863,Melite,settlement|deme (Athenian),pin,37.97953,23.71841,-550,300,1,0.9,https://pleiades.stoa.org/places/582863,
pl-999238742,Statues of Harmodios and Aristogeiton,monument,wash,37.97507,23.72315,,,0,1.0,https://pleiades.stoa.org/places/999238742,
pl-973421832,Pompeion,building,pin,37.97819,23.71893,,,0,1.0,https://pleiades.stoa.org/places/973421832,
pl-97294452,Kerameikos,"ceramic production facility or area|catacomb, cemetery, necropolis|archaeological site",pin,37.97842,23.7183,-750,640,1,1.0,https://pleiades.stoa.org/places/97294452,
pl-935360966,Bema,platform,pin,37.97512,23.7239,2000,2099,1,1.0,https://pleiades.stoa.org/places/935360966,
pl-928072777,Benches on Kolonos Agoraios,"earthwork|theatre, theater",pin,37.97547,23.72194,2000,2099,1,1.0,https://pleiades.stoa.org/places/928072777,
pl-705446488,Little Metropolis church (Athens),church,pin,37.97506,23.73002,,,0,1.0,https://pleiades.stoa.org/places/705446488,
pl-717754998,Sacred Gate/Hiera Pyle,"gate (of a city), city gate",pin,37.97806,23.71856,2000,2099,1,1.0,https://pleiades.stoa.org/places/717754998,
pl-78993694,Hellenistic Arsenal,building|archaeological site|architectural complex,pin,37.97579,23.72171,,,0,1.0,https://pleiades.stoa.org/places/78993694,
pl-759679649,Stoa of Attalos,stoa,pin,37.97514,23.72422,-330,300,1,1.0,https://pleiades.stoa.org/places/759679649,
