# ==========================================================================
# BRITANNIA-EXTENTS.csv  ->  Amenti.live/BRITANNIA-EXTENTS.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# 
# The places in this frame that ARE AN AREA. Points are omitted —
# BRITANNIA.csv holds those correctly.
# 
# box=extent  a real bound, full-precision corners
# box=grid    a 0.25-degree fallback CELL, not a shape. A GRID CELL IS
#             NOT AN EXTENT AND MUST NOT DRAW AS ONE.
# shares_box  how many places carry this identical box. More than one
#             on a grid cell is the fallback showing.
# ==========================================================================
key,name,box,precision,lon0,lat0,lon1,lat1,width_km,height_km,repr_lat,repr_lon,shares_box,uri
pl-83052,Untitled,grid,rough,-7.0,49.0,3.0,54.0,729.0,556.0,51.5,-2.0,6,https://pleiades.stoa.org/places/83052
pl-83053,Untitled,grid,rough,-7.0,49.0,3.0,54.0,729.0,556.0,51.5,-2.0,6,https://pleiades.stoa.org/places/83053
pl-83054,Untitled,grid,rough,-7.0,49.0,3.0,54.0,729.0,556.0,51.5,-2.0,6,https://pleiades.stoa.org/places/83054
pl-83057,Untitled,grid,rough,-7.0,49.0,3.0,54.0,729.0,556.0,51.5,-2.0,6,https://pleiades.stoa.org/places/83057
pl-83058,Untitled,grid,rough,-7.0,49.0,3.0,54.0,729.0,556.0,51.5,-2.0,6,https://pleiades.stoa.org/places/83058
pl-83059,Untitled,grid,rough,-7.0,49.0,3.0,54.0,729.0,556.0,51.5,-2.0,6,https://pleiades.stoa.org/places/83059
pl-981513,Britannia (province),grid,rough,-5.0,50.0,0.0,55.0,357.3,556.0,52.5,-2.5,4,https://pleiades.stoa.org/places/981513
pl-991321,Britannia I (province),grid,rough,-5.0,50.0,0.0,55.0,357.3,556.0,52.5,-2.5,4,https://pleiades.stoa.org/places/991321
pl-991322,Britannia II?,grid,rough,-5.0,50.0,0.0,55.0,357.3,556.0,52.5,-2.5,4,https://pleiades.stoa.org/places/991322
pl-991329,Germania II,grid,rough,0.0,50.0,5.0,55.0,357.3,556.0,52.5,2.5,1,https://pleiades.stoa.org/places/991329
pl-992071,Britanniae,grid,rough,-5.0,50.0,0.0,55.0,357.3,556.0,52.5,-2.5,4,https://pleiades.stoa.org/places/992071
pl-70972,Untitled,grid,rough,-6.0,48.0,1.0,51.0,520.6,333.6,49.5,-2.5,6,https://pleiades.stoa.org/places/70972
pl-70973,Untitled,grid,rough,-6.0,48.0,1.0,51.0,520.6,333.6,49.5,-2.5,6,https://pleiades.stoa.org/places/70973
pl-70974,Untitled,grid,rough,-6.0,48.0,1.0,51.0,520.6,333.6,49.5,-2.5,6,https://pleiades.stoa.org/places/70974
pl-70976,Road segment(s): Morlaix → Fanum Martis,grid,rough,-6.0,48.0,1.0,51.0,520.6,333.6,49.5,-2.5,6,https://pleiades.stoa.org/places/70976
pl-70977,Untitled,grid,rough,-6.0,48.0,1.0,51.0,520.6,333.6,49.5,-2.5,6,https://pleiades.stoa.org/places/70977
pl-70978,Unnamed roads in the area of Vorgium,grid,rough,-6.0,48.0,1.0,51.0,520.6,333.6,49.5,-2.5,6,https://pleiades.stoa.org/places/70978
pl-656280677,Fosse Way,extent,related,-3.5269108,50.725562,1.033588,53.234856,321.0,279.0,51.3939771747,-1.63893466514,1,https://pleiades.stoa.org/places/656280677
pl-109341,Sequana (river),extent,precise,0.2281,47.4859751,4.7169709,49.5225554,337.3,226.5,48.7141883491,2.5907355627,1,https://pleiades.stoa.org/places/109341
pl-491855883,Watling Street,extent,related,-2.96024,51.123013,1.33272,53.259423,299.6,237.6,52.0556772073,-0.919366654796,1,https://pleiades.stoa.org/places/491855883
pl-20420,Britannicum Mare,extent,precise,-5.5316217,49.4859736,1.054682,50.4924668,475.6,111.9,49.9892202,-2.23846985,1,https://pleiades.stoa.org/places/20420
pl-82519025,Dere Street,extent,related,-3.565857,53.957672,-1.082304,56.011169,162.5,228.3,55.129838707,-2.14703654246,1,https://pleiades.stoa.org/places/82519025
pl-203193875,Ermine Street,extent,related,-1.356271,51.386848,0.506787,53.957672,129.3,285.9,52.898142912,-0.379208558361,1,https://pleiades.stoa.org/places/203193875
pl-109147,Matrona (river),extent,precise,2.4093608,47.8168106,5.3787116,49.0985464,221.7,142.5,48.7195365164,4.08456343583,1,https://pleiades.stoa.org/places/109147
pl-973041325,Icknield Street,extent,related,-1.9408635,51.884832,-0.1809379,53.420254,120.8,170.7,52.1085116776,-1.29242852059,1,https://pleiades.stoa.org/places/973041325
pl-109067,Isara (river),extent,precise,2.0363338,48.9857248,4.3449029,49.9967651,168.5,112.4,49.6122496888,3.22021768434,1,https://pleiades.stoa.org/places/109067
pl-109328,Scaldis (river),extent,precise,3.1752354,49.9868722,4.3990978,51.3965224,87.5,156.7,50.7383266712,3.70752220432,1,https://pleiades.stoa.org/places/109328
pl-79666,Sabrina (river),extent,precise,-3.7375128,51.6812349,-2.1634369,52.7600103,108.5,120.0,52.3851174154,-2.73516667319,1,https://pleiades.stoa.org/places/79666
pl-108779,Axona (river),extent,precise,2.8450375,48.9110961,5.1842889,49.5289843,170.9,68.7,49.3218290386,4.28420593143,1,https://pleiades.stoa.org/places/108779
pl-79724,Trisantona (river),extent,precise,-2.2058436,52.7299359,-0.6855845,53.7015359,102.4,108.0,53.0455507922,-1.34014192719,1,https://pleiades.stoa.org/places/79724
pl-79705,Tamesis (river),extent,precise,-2.0296671,51.3809214,0.6778926,51.790323,187.9,45.5,51.5578955734,-0.762245847438,1,https://pleiades.stoa.org/places/79705
pl-109117,Litus Saxonicum,extent,precise,3.08810133705,51.0557316896,5.14395564608,51.5887309549,143.7,59.3,51.2651379959,4.13105979119,1,https://pleiades.stoa.org/places/109117
pl-83055,Untitled,extent,related,-0.59056,51.513335,-0.088949,53.687689,34.7,241.8,52.8119481667,-0.405983666667,1,https://pleiades.stoa.org/places/83055
pl-80034,Untitled,grid,rough,-3.0,50.0,-2.0,51.0,71.5,111.2,50.5,-2.5,2,https://pleiades.stoa.org/places/80034
pl-82298,Untitled,grid,rough,-5.0,50.0,-4.0,51.0,71.5,111.2,50.5,-4.5,1,https://pleiades.stoa.org/places/82298
pl-82307,Unnamed quarry,grid,rough,-3.0,50.0,-2.0,51.0,71.5,111.2,50.5,-2.5,2,https://pleiades.stoa.org/places/82307
pl-82313,Untitled,grid,rough,0.0,50.0,1.0,51.0,71.5,111.2,50.5,0.5,1,https://pleiades.stoa.org/places/82313
pl-80787,Untitled,grid,rough,-4.0,51.0,-3.0,52.0,70.0,111.2,51.5,-3.5,1,https://pleiades.stoa.org/places/80787
pl-80788,Untitled,grid,rough,-3.0,51.0,-2.0,52.0,70.0,111.2,51.5,-2.5,5,https://pleiades.stoa.org/places/80788
pl-82303,Untitled,grid,rough,-3.0,51.0,-2.0,52.0,70.0,111.2,51.5,-2.5,5,https://pleiades.stoa.org/places/82303
pl-82304,Untitled,grid,rough,-3.0,51.0,-2.0,52.0,70.0,111.2,51.5,-2.5,5,https://pleiades.stoa.org/places/82304
