# ==========================================================================
# BRITANNIA.csv  ->  Amenti.live/BRITANNIA.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# DO NOT HAND-EDIT except the `why` column. Re-run the tool.
# 
# frame  britannia · Britannia · 52.20,-1.50 · 400 km
# detail reference   NOTHING HAS BEEN AUTHORED ON THIS FRAME.
# 
# tier       pin = a specific position · wash = bounds to seek within
# precision  precise | rough | related — `related` means the bound is
#            assembled from CONNECTED PLACES, not from this one
# unplaced   1 = the coordinate is a 1/8-degree FALLBACK, not a location.
#            Such a row must not draw: a wash would claim bounds it
#            does not have. See GEO.json — unplaced = NO MARK.
# why        the only authored column. Pleiades holds none of it.
# ==========================================================================
key,name,kind,tier,precision,lat,lon,from,until,km,unplaced,uri,why
pl-187106386,Chesterton villa,villa,pin,precise,52.222353,-1.4874803,43,410,2.6,0,https://pleiades.stoa.org/places/187106386,
pl-79385,Chesterton-on-Fosse,settlement,pin,precise,52.2347461354,-1.50186983152,-30,1999,3.9,0,https://pleiades.stoa.org/places/79385,
pl-79650,Radford Semele,villa,pin,precise,52.277491,-1.495429,-30,640,8.6,0,https://pleiades.stoa.org/places/79650,
pl-79575,Long Itchington,villa,pin,precise,52.28381,-1.392485,-30,640,11.9,0,https://pleiades.stoa.org/places/79575,
pl-973041325,Icknield Street,road,wash,related,52.1085116776,-1.29242852059,-30,2100,17.4,0,https://pleiades.stoa.org/places/973041325,
pl-79580,Lower Lea,settlement,pin,precise,52.042777,-1.433485,-30,640,18.1,0,https://pleiades.stoa.org/places/79580,
pl-878157790,Lunt Roman fort,fort-2,pin,precise,52.373120265,-1.49562409708,-30,300,19.3,0,https://pleiades.stoa.org/places/878157790,
pl-79711,Thenford,villa,pin,precise,52.073793,-1.242048,-30,640,22.5,0,https://pleiades.stoa.org/places/79711,
pl-79414,Daventry,shrine|villa,pin,precise,52.258273,-1.16041,-30,1999,24.0,0,https://pleiades.stoa.org/places/79414,
pl-104590908,Rollright Stones,monument,pin,precise,51.9756826322,-1.56884900615,-4000,2100,25.4,0,https://pleiades.stoa.org/places/104590908,
pl-79288,Alauna,fort-2|settlement,pin,precise,52.245772,-1.885446,-30,2100,26.7,0,https://pleiades.stoa.org/places/79288,
pl-79490,Great Tew,villa,pin,precise,51.960509,-1.426085,-30,640,27.1,0,https://pleiades.stoa.org/places/79490,
pl-79425,Dorn,settlement,pin,precise,51.989377,-1.703407,-30,640,27.2,0,https://pleiades.stoa.org/places/79425,
pl-419293087,Rainsborough Camp,hillfort,pin,precise,52.0095258666,-1.23484988375,-800,100,27.9,0,https://pleiades.stoa.org/places/419293087,
pl-79313,Bannaventa,settlement,pin,precise,52.276352,-1.085587,-30,640,29.5,0,https://pleiades.stoa.org/places/79313,
