# ==========================================================================
# CRETA-EXTENTS.csv  ->  Amenti.live/CRETA-EXTENTS.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# 
# The places in this frame that ARE AN AREA. Points are omitted —
# CRETA.csv holds those correctly.
# 
# box=extent  a real bound, full-precision corners
# box=grid    a 0.25-degree fallback CELL, not a shape. A GRID CELL IS
#             NOT AN EXTENT AND MUST NOT DRAW AS ONE.
# shares_box  how many places carry this identical box. More than one
#             on a grid cell is the fallback showing.
# ==========================================================================
key,name,box,precision,lon0,lat0,lon1,lat1,width_km,height_km,repr_lat,repr_lon,shares_box,uri
pl-463803480,Ptolemaic Kingdom,extent,related,20.565847,24.0242929,32.8848173,40.58084,1250.7,1841.0,33.6976790919,26.6940765141,1,https://pleiades.stoa.org/places/463803480
pl-604002,Untitled,grid,rough,25.0,36.0,29.0,38.5,359.8,278.0,37.25,27.0,13,https://pleiades.stoa.org/places/604002
pl-604003,Untitled,grid,rough,25.0,36.0,29.0,38.5,359.8,278.0,37.25,27.0,13,https://pleiades.stoa.org/places/604003
pl-604004,Untitled,grid,rough,25.0,36.0,29.0,38.5,359.8,278.0,37.25,27.0,13,https://pleiades.stoa.org/places/604004
pl-604005,Untitled,grid,rough,25.0,36.0,29.0,38.5,359.8,278.0,37.25,27.0,13,https://pleiades.stoa.org/places/604005
pl-604006,Untitled,grid,rough,25.0,36.0,29.0,38.5,359.8,278.0,37.25,27.0,13,https://pleiades.stoa.org/places/604006
pl-604007,Untitled,grid,rough,25.0,36.0,29.0,38.5,359.8,278.0,37.25,27.0,13,https://pleiades.stoa.org/places/604007
pl-604008,Untitled,grid,rough,25.0,36.0,29.0,38.5,359.8,278.0,37.25,27.0,13,https://pleiades.stoa.org/places/604008
pl-604009,Untitled,grid,rough,25.0,36.0,29.0,38.5,359.8,278.0,37.25,27.0,13,https://pleiades.stoa.org/places/604009
pl-604010,Untitled,grid,rough,25.0,36.0,29.0,38.5,359.8,278.0,37.25,27.0,13,https://pleiades.stoa.org/places/604010
pl-604011,Untitled,grid,rough,25.0,36.0,29.0,38.5,359.8,278.0,37.25,27.0,13,https://pleiades.stoa.org/places/604011
pl-604012,Untitled,grid,rough,25.0,36.0,29.0,38.5,359.8,278.0,37.25,27.0,13,https://pleiades.stoa.org/places/604012
pl-604013,Untitled,grid,rough,25.0,36.0,29.0,38.5,359.8,278.0,37.25,27.0,13,https://pleiades.stoa.org/places/604013
pl-604014,Untitled,grid,rough,25.0,36.0,29.0,38.5,359.8,278.0,37.25,27.0,13,https://pleiades.stoa.org/places/604014
pl-570577,Peloponnesus/Peloponnesos/Peloponnese,extent,related,21.143869,36.3852463,24.0,38.4497385,255.7,229.6,37.092784642,22.3359574955,1,https://pleiades.stoa.org/places/570577
pl-594187,Untitled,grid,rough,23.5,34.5,27.0,36.0,320.7,166.8,35.25,25.25,3,https://pleiades.stoa.org/places/594187
pl-594188,Untitled,grid,rough,23.5,34.5,27.0,36.0,320.7,166.8,35.25,25.25,3,https://pleiades.stoa.org/places/594188
pl-594189,Untitled,grid,rough,23.5,34.5,27.0,36.0,320.7,166.8,35.25,25.25,3,https://pleiades.stoa.org/places/594189
pl-560353,Cyclades Islands,extent,related,24.2644161,36.3818746,26.3108586,37.9995793,183.2,179.9,36.9742305418,25.4268381854,1,https://pleiades.stoa.org/places/560353
pl-589748,Creta (island),extent,related,23.5670995,34.933931,26.311348,35.6636578,250.2,81.1,35.214847063,25.0740796921,1,https://pleiades.stoa.org/places/589748
pl-572292,Untitled,grid,rough,22.5,36.0,23.5,36.5,90.0,55.6,36.25,23.0,1,https://pleiades.stoa.org/places/572292
pl-570407,Laconicus Sinus,extent,precise,22.4719781,36.3852463,23.131573,36.8062374,59.0,46.8,36.5612847809,22.7613541929,1,https://pleiades.stoa.org/places/570407
pl-589882,Kretenia Sinus,grid,rough,26.0,34.5,26.5,35.0,45.8,55.6,34.75,26.25,5,https://pleiades.stoa.org/places/589882
pl-589915,Loryma Sinus,grid,rough,26.5,34.5,27.0,35.0,45.8,55.6,34.75,26.75,6,https://pleiades.stoa.org/places/589915
pl-589936,Mnasyrion Sinus,grid,rough,26.0,34.5,26.5,35.0,45.8,55.6,34.75,26.25,5,https://pleiades.stoa.org/places/589936
pl-589945,Mylantia? Pr.,grid,rough,26.0,34.5,26.5,35.0,45.8,55.6,34.75,26.25,5,https://pleiades.stoa.org/places/589945
pl-589975,Panos Pr.,grid,rough,26.5,34.5,27.0,35.0,45.8,55.6,34.75,26.75,6,https://pleiades.stoa.org/places/589975
pl-590041,Schedia Sinus,grid,rough,26.5,34.5,27.0,35.0,45.8,55.6,34.75,26.75,6,https://pleiades.stoa.org/places/590041
pl-590077,Thermydon Sinus,grid,rough,26.5,34.5,27.0,35.0,45.8,55.6,34.75,26.75,6,https://pleiades.stoa.org/places/590077
pl-590417,Untitled,grid,rough,26.0,34.5,26.5,35.0,45.8,55.6,34.75,26.25,5,https://pleiades.stoa.org/places/590417
pl-591922,Unnamed cemeteries,grid,rough,26.0,34.5,26.5,35.0,45.8,55.6,34.75,26.25,5,https://pleiades.stoa.org/places/591922
pl-591924,Untitled,grid,rough,26.5,34.5,27.0,35.0,45.8,55.6,34.75,26.75,6,https://pleiades.stoa.org/places/591924
pl-593435,Untitled,grid,rough,26.5,34.5,27.0,35.0,45.8,55.6,34.75,26.75,6,https://pleiades.stoa.org/places/593435
