# ==========================================================================
# CRETA.csv  ->  Amenti.live/CRETA.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# DO NOT HAND-EDIT except the `why` column. Re-run the tool.
# 
# frame  creta · Crete & the southern sea · 35.20,24.90 · 240 km
# detail reference   NOTHING HAS BEEN AUTHORED ON THIS FRAME.
# 
# tier       pin = a specific position · wash = bounds to seek within
# precision  precise | rough | related — `related` means the bound is
#            assembled from CONNECTED PLACES, not from this one
# unplaced   1 = the coordinate is a 1/8-degree FALLBACK, not a location.
#            Such a row must not draw: a wash would claim bounds it
#            does not have. See GEO.json — unplaced = NO MARK.
# why        the only authored column. Pleiades holds none of it.
# ==========================================================================
key,name,kind,tier,precision,lat,lon,from,until,km,unplaced,uri,why
pl-156165259,Zominthos,settlement|architecturalcomplex,pin,precise,35.2487939785,24.887085349,-2000,-1000,5.6,0,https://pleiades.stoa.org/places/156165259,
pl-589817,Idaion Antron,sanctuary|cave|settlement,pin,precise,35.2082103,24.8289925,-10000,2100,6.5,0,https://pleiades.stoa.org/places/589817,
pl-589885,Kroussonas,settlement,pin,precise,35.227915,24.979308,-750,300,7.8,0,https://pleiades.stoa.org/places/589885,
pl-589855,Kato Asites,settlement,pin,precise,35.201411,24.988196,-30,300,8.0,0,https://pleiades.stoa.org/places/589855,
pl-187018676,Kamares,cave,pin,precise,35.152,24.821,-2000,-1600,8.9,0,https://pleiades.stoa.org/places/187018676,
pl-589981,Prinias (Patela),fort-2|settlement|cemetery|temple-2,pin,precise,35.1689701133,25.0065437187,-750,2100,10.3,0,https://pleiades.stoa.org/places/589981,
pl-9547770,Sklavokampos,architecturalcomplex|archaeological-site,pin,precise,35.2952591,24.9580006,-2000,2100,11.8,0,https://pleiades.stoa.org/places/9547770,
pl-590026,Rhaukos,settlement,pin,precise,35.228138,25.024828,-330,640,11.8,0,https://pleiades.stoa.org/places/590026,
pl-589816,Ida(ion) M.,mountain,pin,precise,35.2263107,24.7708049,-550,2100,12.1,0,https://pleiades.stoa.org/places/589816,
pl-590095,(W)Axos,settlement,pin,precise,35.3080415,24.8441326,-750,1923,13.0,0,https://pleiades.stoa.org/places/590095,
pl-589972,Pannona?,settlement,pin,precise,35.146088,25.03539,-30,300,13.7,0,https://pleiades.stoa.org/places/589972,
pl-590412,Untitled,aqueduct,wash,rough,35.25,24.75,-30,640,14.7,1,https://pleiades.stoa.org/places/590412,
pl-590009,Pothereus? (river),river,pin,precise,35.196351771,25.0702485834,-30,2099,15.5,0,https://pleiades.stoa.org/places/590009,
pl-590084,Tylisos,settlement,pin,precise,35.2985026046,25.0202497117,-3000,300,15.5,0,https://pleiades.stoa.org/places/590084,
pl-119143959,Tholos tomb of Apodoulou,tomb,pin,precise,35.1604842,24.7331271,-2000,-1000,15.8,0,https://pleiades.stoa.org/places/119143959,
pl-481346137,Roman Odeon of Gortyn,theatre,pin,precise,35.0630972,24.9465988,-30,300,15.8,0,https://pleiades.stoa.org/places/481346137,
pl-589748,Creta (island),island,wash,related,35.214847063,25.0740796921,-750,2100,15.9,0,https://pleiades.stoa.org/places/589748,
pl-589796,Gortyn(a),urban|settlement,pin,precise,35.062107,24.946943,-750,640,15.9,0,https://pleiades.stoa.org/places/589796,
pl-973706432,Basilica of St. Titus,church-2|basilica|church,pin,precise,35.0621348794,24.9470589417,300,640,15.9,0,https://pleiades.stoa.org/places/973706432,
pl-981515,Withdrawn (duplicate): Creta et Cyrene,province,wash,related,35.0627201667,24.9469437222,,,15.9,0,https://pleiades.stoa.org/places/981515,
pl-589677,*Aina?,settlement,pin,precise,35.058417,24.928581,-330,-30,16.0,0,https://pleiades.stoa.org/places/589677,
pl-177278517,Praetorium at Gortyna,architecturalcomplex,pin,precise,35.0590004,24.9512908,-30,300,16.4,0,https://pleiades.stoa.org/places/177278517,
pl-589852,Kastri 2,settlement|archaeological-site,pin,precise,35.1612119093,24.7231678102,-2000,640,16.6,0,https://pleiades.stoa.org/places/589852,
pl-589721,Aulon/Alonion,settlement,pin,precise,35.0585608,24.9602992,-550,2100,16.7,0,https://pleiades.stoa.org/places/589721,
pl-226009789,Roman theater at Gortyna,theatre,pin,precise,35.0564874855,24.9530766083,-30,300,16.7,0,https://pleiades.stoa.org/places/226009789,
pl-590089,Vigla,settlement,pin,precise,35.2092923,24.7022039,-550,2100,18.0,0,https://pleiades.stoa.org/places/590089,
pl-589917,Lykastos (Rokka),settlement,pin,precise,35.202401,25.101561,-330,300,18.3,0,https://pleiades.stoa.org/places/589917,
pl-589987,Phaistos,settlement|architecturalcomplex|palace-complex|archaeological-site,pin,precise,35.0511892238,24.814437994,-2000,640,18.3,0,https://pleiades.stoa.org/places/589987,
pl-920460659,Kouloures at Phaistos,architecturalcomplex,pin,precise,35.05123,24.81377,-2000,-1600,18.3,0,https://pleiades.stoa.org/places/920460659,
pl-589672,Ag. Triada,settlement,pin,precise,35.059252846,24.7930027845,-2000,1999,18.4,0,https://pleiades.stoa.org/places/589672,
pl-589773,Ellinika,settlement,pin,precise,35.208758,24.696013,-30,640,18.6,0,https://pleiades.stoa.org/places/589773,
pl-589905,Lethaios (river),river,pin,precise,35.0345736659,24.934234532,2000,2099,18.7,0,https://pleiades.stoa.org/places/589905,
pl-72706425,Temenos castle,castle,pin,precise,35.2031379861,25.1055400904,900,999,18.7,0,https://pleiades.stoa.org/places/72706425,
pl-589835,Kamilari,tomb|settlement,pin,precise,35.045356,24.78692,-2000,640,20.0,0,https://pleiades.stoa.org/places/589835,
pl-589812,*Hyrtaia?,settlement,pin,precise,35.113099,25.095795,-550,300,20.3,0,https://pleiades.stoa.org/places/589812,
pl-590069,Tallaia (mountain),mountain,pin,precise,35.37358,24.82232,-30,2100,20.5,0,https://pleiades.stoa.org/places/590069,
pl-589703,Apollonia?,settlement,pin,precise,35.3270599,25.069229,-330,2100,20.9,0,https://pleiades.stoa.org/places/589703,
pl-589735,Boibe (Crete),settlement,pin,precise,35.010257,24.866882,-30,300,21.3,0,https://pleiades.stoa.org/places/589735,
pl-589771,Elektra (river),river,pin,precise,35.1025859,24.695438,1700,2100,21.5,0,https://pleiades.stoa.org/places/589771,
pl-590083,Triton (river),river,pin,precise,35.2963880726,25.1091705825,2000,2099,21.8,0,https://pleiades.stoa.org/places/590083,
pl-589878,Korion,settlement,pin,precise,35.131247,24.674068,-550,-30,21.9,0,https://pleiades.stoa.org/places/589878,
pl-590050,Sisaioi,label|people,pin,precise,35.3964301205,24.8807244663,-330,300,21.9,0,https://pleiades.stoa.org/places/590050,
pl-590029,Rhittenia?,settlement,pin,precise,35.006393,24.95067,-550,-30,22.0,0,https://pleiades.stoa.org/places/590029,
pl-590056,Soulia,settlement,pin,precise,35.101358,24.690053,-330,300,22.0,0,https://pleiades.stoa.org/places/590056,
pl-559217802,Iuktas,sanctuary,wash,related,35.2916055122,25.1143893936,-2000,2100,22.0,0,https://pleiades.stoa.org/places/559217802,
pl-92986629,Apesokari Tholos tomb A,tomb,pin,precise,35.004252,24.946611,-3100,-1600,22.2,0,https://pleiades.stoa.org/places/92986629,
pl-589826,Iytos (mountain),mountain,pin,precise,35.2325318,25.1409222,-550,2100,22.2,0,https://pleiades.stoa.org/places/589826,
pl-435488939,Apesokari Tholos tomb B,tomb,pin,precise,35.0045419,24.948853,-3100,-1600,22.2,0,https://pleiades.stoa.org/places/435488939,
pl-953163789,Withdrawn (duplicate): Mount Juktas,mountain,pin,precise,35.2325318,25.1409222,-2000,2100,22.2,0,https://pleiades.stoa.org/places/953163789,
pl-590021,Pyloros,settlement,pin,precise,35.000908,24.925771,-30,300,22.3,0,https://pleiades.stoa.org/places/590021,
pl-633483353,Minoan structure on Vigla Hill,building,pin,precise,35.0020994,24.9470456,-3100,-1080,22.4,0,https://pleiades.stoa.org/places/633483353,
pl-412354926,Anemospilia,sanctuary|temple-2,pin,precise,35.2554523471,25.1445683547,-2000,2099,23.1,0,https://pleiades.stoa.org/places/412354926,
pl-589889,Kytaion?,settlement,pin,precise,35.407779,24.878375,-550,300,23.2,0,https://pleiades.stoa.org/places/589889,
pl-701844210,Stravomyti,cave,pin,precise,35.25,25.149972,1700,2100,23.4,0,https://pleiades.stoa.org/places/701844210,
pl-9547769,Phourni,cemetery,pin,precise,35.2453213393,25.158774695,-2000,2100,24.0,0,https://pleiades.stoa.org/places/9547769,
pl-589657,Acharna,settlement|architecturalcomplex|palace-complex,pin,precise,35.2363060747,25.1598877465,-2000,1999,24.0,0,https://pleiades.stoa.org/places/589657,
pl-589690,Kommos,settlement|port,pin,precise,35.0132319008,24.7608237826,-2000,-30,24.3,0,https://pleiades.stoa.org/places/589690,
pl-198989301,Temple complex at Kommos,sanctuary|temple-2,pin,precise,35.0132032187,24.760723392,-1600,-550,24.3,0,https://pleiades.stoa.org/places/198989301,
pl-590063,Sybrita,settlement|archaeological-site|settlement-modern,pin,precise,35.2594353,24.6401007,-750,2100,24.5,0,https://pleiades.stoa.org/places/590063,
pl-589696,Apellonia?,settlement,pin,precise,35.404896,25.018525,-750,-30,25.2,0,https://pleiades.stoa.org/places/589696,
pl-589960,Omphalion,region|label,pin,precise,35.3357701125,25.1222976618,-330,-30,25.2,0,https://pleiades.stoa.org/places/589960,
pl-590070,Tallaion Antron,sanctuary|cave,pin,precise,35.382882,24.735325,-750,300,25.2,0,https://pleiades.stoa.org/places/590070,
pl-589772,Eleutherna,settlement|fort,pin,precise,35.333109485,24.6729133053,-2000,1453,25.4,0,https://pleiades.stoa.org/places/589772,
pl-359462132,Fortetsa Tombs,cemetery,pin,precise,35.2970273125,25.1528019325,-1600,-1080,25.4,0,https://pleiades.stoa.org/places/359462132,
pl-712477008,Mount Kedros,mountain,pin,precise,35.1820423,24.6177491,1700,2100,25.7,0,https://pleiades.stoa.org/places/712477008,
pl-589931,Miamou,settlement,pin,precise,34.97112,24.939244,-30,300,25.7,0,https://pleiades.stoa.org/places/589931,
pl-591168,Eleutherna Bridge,bridge,pin,precise,35.3380413,24.67037855,-330,300,25.9,0,https://pleiades.stoa.org/places/591168,
pl-925012715,Villa Dionysos (Knossos),villa,pin,precise,35.3017298,25.1577398,-30,2099,26.0,0,https://pleiades.stoa.org/places/925012715,
pl-589715,Astale,settlement,pin,precise,35.412366,24.781191,-30,300,26.0,0,https://pleiades.stoa.org/places/589715,
pl-589802,Heraklion,settlement|port|settlement-modern|archaeological-site,pin,precise,35.3375376667,25.1332724333,-330,2100,26.1,0,https://pleiades.stoa.org/places/589802,
pl-330539497,Little Palace at Knossos,architecturalcomplex,pin,precise,35.2993139211,25.1600537861,-1600,-1080,26.1,0,https://pleiades.stoa.org/places/330539497,
pl-330539498,Unexplored Mansion at Knossos,architecturalcomplex,wash,related,35.2992925757,25.1599761026,-1600,-1080,26.1,0,https://pleiades.stoa.org/places/330539498,
pl-781961476,Bronze Age Settlement at Knossos,settlement,wash,related,35.2986516427,25.1614216919,-10000,-1080,26.2,0,https://pleiades.stoa.org/places/781961476,
pl-238779098,Minoan Palatial Center (Knossos),palace-complex|architecturalcomplex,pin,precise,35.2980325787,25.1628568364,-1600,2100,26.2,0,https://pleiades.stoa.org/places/238779098,
pl-170529772,Koumasa prepalatial cemetery,cemetery,pin,precise,34.983322955,25.0130276038,-3000,-1000,26.2,0,https://pleiades.stoa.org/places/170529772,
pl-271668241,The Queen's Megaron (Palace of Minos),space-interior|architecturalcomplex,pin,precise,35.297642,25.163472,-2000,-1000,26.3,0,https://pleiades.stoa.org/places/271668241,
pl-229296321,Neolithic Settlement at Knossos,settlement|archaeological-site,pin,precise,35.2978728578,25.1632366519,-10000,-3300,26.3,0,https://pleiades.stoa.org/places/229296321,
pl-589695,Antiskari,mine-2,pin,precise,34.963671,24.881359,-30,300,26.3,0,https://pleiades.stoa.org/places/589695,
