# ==========================================================================
# GALLIA-EXTENTS.csv  ->  Amenti.live/GALLIA-EXTENTS.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# 
# The places in this frame that ARE AN AREA. Points are omitted —
# GALLIA.csv holds those correctly.
# 
# box=extent  a real bound, full-precision corners
# box=grid    a 0.25-degree fallback CELL, not a shape. A GRID CELL IS
#             NOT AN EXTENT AND MUST NOT DRAW AS ONE.
# shares_box  how many places carry this identical box. More than one
#             on a grid cell is the fallback showing.
# ==========================================================================
key,name,box,precision,lon0,lat0,lon1,lat1,width_km,height_km,repr_lat,repr_lon,shares_box,uri
pl-993,Gallia,extent,related,-19.665682,31.937048,9.6708805,51.9019,2759.7,2220.0,46.3609533058,1.67061448931,1,https://pleiades.stoa.org/places/993
pl-141187,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141187
pl-141188,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141188
pl-141189,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141189
pl-141190,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141190
pl-141191,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141191
pl-141192,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141192
pl-141193,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141193
pl-141194,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141194
pl-141195,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141195
pl-141196,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141196
pl-141197,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141197
pl-141198,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141198
pl-141199,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141199
pl-141200,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141200
pl-141202,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141202
pl-141203,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141203
pl-141204,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141204
pl-141205,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141205
pl-141206,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141206
pl-141209,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141209
pl-141210,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141210
pl-141211,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141211
pl-141212,Untitled,grid,rough,-5.0,44.0,4.0,48.0,719.5,444.8,46.0,-0.5,28,https://pleiades.stoa.org/places/141212
