# ==========================================================================
# GALLIA.csv  ->  Amenti.live/GALLIA.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# DO NOT HAND-EDIT except the `why` column. Re-run the tool.
# 
# frame  gallia · Gaul & the Rhone · 45.00,4.50 · 400 km
# detail reference   NOTHING HAS BEEN AUTHORED ON THIS FRAME.
# 
# tier       pin = a specific position · wash = bounds to seek within
# precision  precise | rough | related — `related` means the bound is
#            assembled from CONNECTED PLACES, not from this one
# unplaced   1 = the coordinate is a 1/8-degree FALLBACK, not a location.
#            Such a row must not draw: a wash would claim bounds it
#            does not have. See GEO.json — unplaced = NO MARK.
# why        the only authored column. Pleiades holds none of it.
# ==========================================================================
key,name,kind,tier,precision,lat,lon,from,until,km,unplaced,uri,why
pl-167740,Desaignes,temple,pin,precise,44.994852,4.517428,-30,300,1.5,0,https://pleiades.stoa.org/places/167740,
pl-167683,Pont du Roi,bridge,pin,precise,45.0363522,4.6761856,-30,1999,14.4,0,https://pleiades.stoa.org/places/167683,
pl-167707,Chalencon,temple,pin,precise,44.878479,4.575018,-30,300,14.7,0,https://pleiades.stoa.org/places/167707,
pl-167906,St-Sylvestre,bridge,pin,precise,44.9985453,4.7520436,-30,640,19.8,0,https://pleiades.stoa.org/places/167906,
pl-167904,St-Romain-de-Lerps,mine,pin,precise,44.979245,4.796771,-30,640,23.5,0,https://pleiades.stoa.org/places/167904,
pl-169126,Untitled,bridge,pin,precise,45.063976,4.788739,-30,640,23.8,0,https://pleiades.stoa.org/places/169126,
pl-167873,Pontpierre,bridge,pin,precise,44.8157298,4.706944,-30,640,26.2,0,https://pleiades.stoa.org/places/167873,
pl-167935,Tegna,station,pin,precise,45.069924,4.839013,-30,640,27.8,0,https://pleiades.stoa.org/places/167935,
pl-747563988,"Gallo-Roman sites at Érome, France",sanctuary|settlement|settlement-modern,pin,precise,45.1197078,4.8212181,1700,2100,28.5,0,https://pleiades.stoa.org/places/747563988,
pl-167732,Crussol,mine,pin,precise,44.938143,4.852526,-30,640,28.6,0,https://pleiades.stoa.org/places/167732,
pl-34993620,Arras-sur-Rhône Roman Milestone,monument|milestone,pin,precise,45.1432970408,4.80699852174,-30,300,28.9,0,https://pleiades.stoa.org/places/34993620,
pl-167647,Annonay,mine,pin,precise,45.240204,4.668358,-30,640,29.8,0,https://pleiades.stoa.org/places/167647,
pl-167925,Soio,settlement,pin,precise,44.889595,4.849434,-550,-30,30.1,0,https://pleiades.stoa.org/places/167925,
pl-167767,Flaviac,mine-2,pin,precise,44.747032,4.673747,-30,640,31.3,0,https://pleiades.stoa.org/places/167767,
pl-167718,Col. Valentia,settlement,pin,precise,44.930719,4.8896965,-330,2100,31.6,0,https://pleiades.stoa.org/places/167718,
pl-561315996,Fontager necropolis,cemetery,pin,precise,45.1574597399,4.83481695786,1700,2100,31.6,0,https://pleiades.stoa.org/places/561315996,
pl-593189881,Ponsas,castle|cemetery|settlement-modern,pin,precise,45.1582881942,4.83517252449,1200,2099,31.7,0,https://pleiades.stoa.org/places/593189881,
pl-167948,Ursolis,station,pin,precise,45.178632,4.815927,-30,640,31.8,0,https://pleiades.stoa.org/places/167948,
pl-167876,Le Pouzin,bridge,pin,precise,44.75479215,4.74720025,-30,640,33.5,0,https://pleiades.stoa.org/places/167876,
pl-168369,Untitled,aqueduct,wash,rough,44.75,4.75,-30,300,34.1,1,https://pleiades.stoa.org/places/168369,
pl-169127,Untitled,bridge,wash,rough,44.75,4.75,-30,640,34.1,1,https://pleiades.stoa.org/places/169127,
pl-167805,Laveyron,temple,pin,precise,45.210305,4.820548,-330,300,34.3,0,https://pleiades.stoa.org/places/167805,
pl-167644,Andance,villa,pin,precise,45.241016,4.799028,-30,2100,35.6,0,https://pleiades.stoa.org/places/167644,
pl-167668,Batiana,station,pin,precise,44.833654,4.886189,-30,640,35.6,0,https://pleiades.stoa.org/places/167668,
pl-167947,Umbennum,station,pin,precise,44.83733,4.893209,-30,640,35.9,0,https://pleiades.stoa.org/places/167947,
pl-167901,St-Maurice-de-Lignon,settlement,pin,precise,45.223719,4.13903,-330,300,37.7,0,https://pleiades.stoa.org/places/167901,
pl-167958,Vellavi,label|people,pin,precise,44.9919099214,4.02031920294,-330,300,37.7,0,https://pleiades.stoa.org/places/167958,
pl-167755,Epaone,church,pin,precise,45.244871,4.848102,300,640,38.6,0,https://pleiades.stoa.org/places/167755,
pl-167917,Segovellauni,label|people,pin,precise,44.8291459407,4.94247589566,-330,300,39.7,0,https://pleiades.stoa.org/places/167917,
pl-167765,Figlinae,station,pin,precise,45.28241,4.820885,-30,640,40.2,0,https://pleiades.stoa.org/places/167765,
pl-167853,Neyrac-les-Bains,temple,pin,precise,44.6732,4.259116,-30,640,41.0,0,https://pleiades.stoa.org/places/167853,
pl-167680,Blavozy,mine,pin,precise,45.056886,3.979857,-30,640,41.4,0,https://pleiades.stoa.org/places/167680,
pl-167890,Ste-Abeille,temple,pin,precise,44.712394,4.1334,-30,300,43.1,0,https://pleiades.stoa.org/places/167890,
pl-169129,Untitled,bridge,pin,precise,45.037112,5.053013,-30,300,43.7,0,https://pleiades.stoa.org/places/169129,
pl-167812,Limony,villa,pin,precise,45.352156,4.757599,-30,640,44.1,0,https://pleiades.stoa.org/places/167812,
pl-167795,Jastres,settlement,pin,precise,44.606027,4.4301815,-330,300,44.2,0,https://pleiades.stoa.org/places/167795,
pl-167667,Bas-en-Basset,settlement,pin,precise,45.306227,4.110097,-330,300,45.8,0,https://pleiades.stoa.org/places/167667,
pl-167670,Beaulieu,temple,pin,precise,45.12779,3.941628,-30,300,46.1,0,https://pleiades.stoa.org/places/167670,
pl-167705,Cerebelliaca,station,pin,precise,44.80389,5.042162,-30,640,47.9,0,https://pleiades.stoa.org/places/167705,
pl-500136301,Rochemaure milestone,monument,pin,precise,44.5878023365,4.70145191315,-30,640,48.5,0,https://pleiades.stoa.org/places/500136301,
pl-167926,Solignac-sur-Loire,settlement,pin,precise,44.968159,3.885054,-30,640,48.5,0,https://pleiades.stoa.org/places/167926,
pl-167646,Anicium,settlement,pin,precise,45.044535,3.885005,-330,640,48.6,0,https://pleiades.stoa.org/places/167646,
pl-167868,Peyrus,mine,pin,precise,44.913098,5.1055,-30,640,48.6,0,https://pleiades.stoa.org/places/167868,
pl-169122,Untitled,bridge,pin,precise,45.112477,3.891419,-30,640,49.4,0,https://pleiades.stoa.org/places/169122,
pl-167629,Alba Helviorum,settlement,pin,precise,44.5609624296,4.60019468333,-330,2100,49.5,0,https://pleiades.stoa.org/places/167629,
pl-89384567,Gallo-Roman theater at Alba Helviorum,theatre,pin,precise,44.5598576695,4.60189211702,-30,300,49.6,0,https://pleiades.stoa.org/places/89384567,
pl-167757,Espaly-St-Marcel,villa,pin,precise,45.047609,3.865495,-30,1999,50.1,0,https://pleiades.stoa.org/places/167757,
pl-163388144,Gallo-Roman Villa at Saint-Paul-lès-Romans,villa|settlement-modern,pin,precise,45.0672206,5.1324053,-30,300,50.3,0,https://pleiades.stoa.org/places/163388144,
pl-167809,Les Souils,settlement,pin,precise,44.859994,3.880838,-330,300,51.2,0,https://pleiades.stoa.org/places/167809,
pl-167830,Mélas,bridge,pin,precise,44.544663,4.678905,-30,640,52.6,0,https://pleiades.stoa.org/places/167830,
pl-167627,Akousion/Acunum,settlement,pin,precise,44.558333,4.750905,-30,640,53.0,0,https://pleiades.stoa.org/places/167627,
pl-167658,Augusta,settlement,pin,precise,44.715501,5.05726,-30,640,54.1,0,https://pleiades.stoa.org/places/167658,
pl-167742,Dourion,settlement,pin,precise,44.555077,4.777924,-330,300,54.1,0,https://pleiades.stoa.org/places/167742,
pl-167758,Essalois,settlement,pin,precise,45.4608366111,4.24447577778,-330,300,55.0,0,https://pleiades.stoa.org/places/167758,
pl-167900,St-Maurice-d’Ibie,temple,pin,precise,44.501152,4.483047,-30,300,55.5,0,https://pleiades.stoa.org/places/167900,
pl-167887,Rouession,settlement,pin,precise,45.134811,3.81242,-330,640,56.0,0,https://pleiades.stoa.org/places/167887,
pl-167682,Le Bouchet-St-Nicolas,temple,pin,precise,44.890397,3.790177,-330,300,57.2,0,https://pleiades.stoa.org/places/167682,
pl-167928,Soyans,temple,pin,precise,44.628761,5.021824,-30,300,58.3,0,https://pleiades.stoa.org/places/167928,
pl-169128,Viviers Roman bridge,bridge,pin,precise,44.4886200716,4.67170979122,-30,2099,58.5,0,https://pleiades.stoa.org/places/169128,
pl-171392,Untitled,road,wash,related,45.128586,5.22702275,-30,640,58.9,0,https://pleiades.stoa.org/places/171392,
pl-167942,Turedonnum,station,pin,precise,45.37773495,5.03450765,-330,640,59.3,0,https://pleiades.stoa.org/places/167942,
pl-167720,Combeplaine,villa,pin,precise,45.528447,4.614114,-30,300,59.4,0,https://pleiades.stoa.org/places/167720,
pl-167974,Vivarium,settlement,pin,precise,44.4821575,4.6896365,-30,640,59.5,0,https://pleiades.stoa.org/places/167974,
pl-167631,Allan,temple,pin,precise,44.499133,4.786401,-30,1999,60.1,0,https://pleiades.stoa.org/places/167631,
pl-167897,St-Laurent-les-Bains,temple,pin,precise,44.606763,3.970266,-30,640,60.5,0,https://pleiades.stoa.org/places/167897,
pl-167791,Icidmago,settlement,pin,precise,45.389319,3.941957,-330,1999,61.5,0,https://pleiades.stoa.org/places/167791,
pl-167672,Beaune-sur-Arzon,mine-2,pin,precise,45.279466,3.815973,-30,640,62.0,0,https://pleiades.stoa.org/places/167672,
pl-167722,Condate,settlement|settlement-modern,pin,precise,44.82075415,3.74602745,-30,2100,62.6,0,https://pleiades.stoa.org/places/167722,
pl-167741,Donzère,villa,pin,precise,44.444358,4.709302,-30,640,64.0,0,https://pleiades.stoa.org/places/167741,
pl-167737,Darentiaca,station,pin,precise,44.696872,5.198998,-30,1999,64.6,0,https://pleiades.stoa.org/places/167737,
pl-171387,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171387,
pl-171388,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171388,
pl-171390,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171390,
pl-171391,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171391,
pl-171393,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171393,
pl-171394,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171394,
pl-171395,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171395,
pl-171396,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171396,
pl-171397,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171397,
pl-171398,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171398,
pl-171399,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171399,
pl-171400,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171400,
pl-171401,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171401,
pl-171403,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171403,
pl-171404,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171404,
pl-171406,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171406,
pl-171407,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171407,
pl-171408,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171408,
pl-171409,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171409,
pl-171410,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171410,
pl-171411,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171411,
pl-171412,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171412,
pl-171413,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171413,
pl-171414,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171414,
pl-171415,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171415,
pl-171416,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171416,
pl-171417,Untitled,road,wash,rough,45.25,5.25,-30,640,65.1,1,https://pleiades.stoa.org/places/171417,
