# ==========================================================================
# HISPANIA-EXTENTS.csv  ->  Amenti.live/HISPANIA-EXTENTS.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# 
# The places in this frame that ARE AN AREA. Points are omitted —
# HISPANIA.csv holds those correctly.
# 
# box=extent  a real bound, full-precision corners
# box=grid    a 0.25-degree fallback CELL, not a shape. A GRID CELL IS
#             NOT AN EXTENT AND MUST NOT DRAW AS ONE.
# shares_box  how many places carry this identical box. More than one
#             on a grid cell is the fallback showing.
# ==========================================================================
key,name,box,precision,lon0,lat0,lon1,lat1,width_km,height_km,repr_lat,repr_lon,shares_box,uri
pl-236376,Boreios/Gallicus/Cantabricus Oceanus,extent,related,-19.665682,31.937048,-2.8401165647,47.4324699038,1586.1,1723.0,40.743387295,-8.56077702656,1,https://pleiades.stoa.org/places/236376
pl-803793619,Via Augusta,extent,related,-6.294444,36.528381,3.004308,43.183648,830.5,740.0,38.8667288711,-2.7123322949,1,https://pleiades.stoa.org/places/803793619
pl-269537,Untitled,grid,rough,-5.0,36.0,3.0,41.0,719.5,556.0,38.5,-1.0,22,https://pleiades.stoa.org/places/269537
pl-269539,Untitled,grid,rough,-5.0,36.0,3.0,41.0,719.5,556.0,38.5,-1.0,22,https://pleiades.stoa.org/places/269539
pl-269540,Untitled,grid,rough,-5.0,36.0,3.0,41.0,719.5,556.0,38.5,-1.0,22,https://pleiades.stoa.org/places/269540
pl-269541,Untitled,grid,rough,-5.0,36.0,3.0,41.0,719.5,556.0,38.5,-1.0,22,https://pleiades.stoa.org/places/269541
pl-269542,Untitled,grid,rough,-5.0,36.0,3.0,41.0,719.5,556.0,38.5,-1.0,22,https://pleiades.stoa.org/places/269542
pl-269543,Untitled,grid,rough,-5.0,36.0,3.0,41.0,719.5,556.0,38.5,-1.0,22,https://pleiades.stoa.org/places/269543
pl-269544,Untitled,grid,rough,-5.0,36.0,3.0,41.0,719.5,556.0,38.5,-1.0,22,https://pleiades.stoa.org/places/269544
pl-269545,Untitled,grid,rough,-5.0,36.0,3.0,41.0,719.5,556.0,38.5,-1.0,22,https://pleiades.stoa.org/places/269545
pl-269547,Untitled,grid,rough,-5.0,36.0,3.0,41.0,719.5,556.0,38.5,-1.0,22,https://pleiades.stoa.org/places/269547
pl-269548,Untitled,grid,rough,-5.0,36.0,3.0,41.0,719.5,556.0,38.5,-1.0,22,https://pleiades.stoa.org/places/269548
pl-269549,Untitled,grid,rough,-5.0,36.0,3.0,41.0,719.5,556.0,38.5,-1.0,22,https://pleiades.stoa.org/places/269549
