# ==========================================================================
# HISPANIA.csv  ->  Amenti.live/HISPANIA.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# DO NOT HAND-EDIT except the `why` column. Re-run the tool.
# 
# frame  hispania · Hispania · 38.50,-4.00 · 400 km
# detail reference   NOTHING HAS BEEN AUTHORED ON THIS FRAME.
# 
# tier       pin = a specific position · wash = bounds to seek within
# precision  precise | rough | related — `related` means the bound is
#            assembled from CONNECTED PLACES, not from this one
# unplaced   1 = the coordinate is a 1/8-degree FALLBACK, not a location.
#            Such a row must not draw: a wash would claim bounds it
#            does not have. See GEO.json — unplaced = NO MARK.
# why        the only authored column. Pleiades holds none of it.
# ==========================================================================
key,name,kind,tier,precision,lat,lon,from,until,km,unplaced,uri,why
pl-265966,Marianus (mountain range),mountain|label,wash,related,38.4197222,-4.2380556,-330,1599,22.6,0,https://pleiades.stoa.org/places/265966,
pl-619266305,Bañuela (peak),mountain,pin,precise,38.4197222,-4.2380556,1700,2100,22.6,0,https://pleiades.stoa.org/places/619266305,
pl-265988,Oretana Iuga,mountain|label,pin,precise,38.4682824958,-3.67323449125,-30,300,28.7,0,https://pleiades.stoa.org/places/265988,
pl-265989,Oretania/Oretani,region|label|people,pin,precise,38.6378190925,-3.68840355517,-330,300,31.1,0,https://pleiades.stoa.org/places/265989,
pl-265990,Oretum,settlement,pin,precise,38.7606439,-3.7256823,-330,1999,37.5,0,https://pleiades.stoa.org/places/265990,
pl-753071609,Necropolis of Oretum,cemetery,pin,precise,38.7602949,-3.7168904,-30,640,38.0,0,https://pleiades.stoa.org/places/753071609,
pl-265973,Montoro-Andújar,mine-2,pin,precise,38.155628,-4.052078,-330,300,38.6,0,https://pleiades.stoa.org/places/265973,
pl-265846,Carcuvium?,settlement,pin,precise,38.845822,-4.063616,-330,300,38.8,0,https://pleiades.stoa.org/places/265846,
pl-265845,La Carolina,settlement-modern|mine-2,pin,precise,38.3134264461,-3.60866112528,-330,2099,39.9,0,https://pleiades.stoa.org/places/265845,
pl-457886890,Burgalimar Castle,castle,pin,precise,38.1702171,-3.7755008,900,999,41.6,0,https://pleiades.stoa.org/places/457886890,
pl-395991555,Fuente Spitz,metalworking,pin,precise,38.2812621287,-3.60473036081,2000,2099,42.2,0,https://pleiades.stoa.org/places/395991555,
pl-266043,Sisapo,settlement|amphitheatre|archaeological-site,pin,precise,38.6459858179,-4.51791475363,-330,640,47.9,0,https://pleiades.stoa.org/places/266043,
pl-265814,Baecula?,settlement,pin,precise,38.095872,-3.774889,-330,300,49.0,0,https://pleiades.stoa.org/places/265814,
pl-266051,(S)Ucia,settlement,pin,precise,38.074265,-4.186553,-330,640,50.1,0,https://pleiades.stoa.org/places/266051,
pl-267272,Unnamed bridge at Isturgi on the Guadalquivir river,bridge,pin,precise,38.0330123,-4.0614776,-30,2100,52.2,0,https://pleiades.stoa.org/places/267272,
pl-842400633,Río Alcudia,river,pin,precise,38.6749757811,-4.55889470243,640,2100,52.3,0,https://pleiades.stoa.org/places/842400633,
pl-265939,Isturgi,settlement,pin,precise,38.026896,-3.983804,-30,640,52.6,0,https://pleiades.stoa.org/places/265939,
pl-265815,*Baesucci,settlement,pin,precise,38.204665,-3.507662,-330,300,54.1,0,https://pleiades.stoa.org/places/265815,
pl-265839,Cantigi,findspot|settlement|settlement-modern,pin,precise,38.0222584949,-3.86172769061,-330,2099,54.5,0,https://pleiades.stoa.org/places/265839,
pl-265792,La Alcudia,district|mine-2,pin,precise,38.7540577548,-4.53724011685,-330,2100,54.6,0,https://pleiades.stoa.org/places/265792,
pl-265950,Linares,mine-2,pin,precise,38.093632,-3.636489,-330,640,55.2,0,https://pleiades.stoa.org/places/265950,
pl-265777,Ad Novlas,station,pin,precise,38.004981,-3.919521,-330,300,55.5,0,https://pleiades.stoa.org/places/265777,
pl-265861,Cerro de las Cabezas,settlement,pin,precise,38.7087627786,-3.42041790585,-330,300,55.5,0,https://pleiades.stoa.org/places/265861,
pl-265886,Edeba,settlement,pin,precise,38.640276,-3.362253,-30,300,57.6,0,https://pleiades.stoa.org/places/265886,
pl-265782,Ad Turres,station,pin,precise,38.640168,-3.362121,-30,640,57.6,0,https://pleiades.stoa.org/places/265782,
pl-15156277,Caztalliella,settlement|settlement-modern,pin,precise,37.9843429,-3.8816451,640,2100,58.3,0,https://pleiades.stoa.org/places/15156277,
pl-143866644,Ianus Augustus,arch,pin,precise,37.9978772,-3.8094553,-30,300,58.3,0,https://pleiades.stoa.org/places/143866644,
pl-704285537,Murgaual (castle),castle|settlement-modern,pin,precise,38.4744653,-4.6773881,640,2100,59.0,0,https://pleiades.stoa.org/places/704285537,
pl-256456,Solia,settlement,pin,precise,38.475076,-4.679484,-30,640,59.2,0,https://pleiades.stoa.org/places/256456,
pl-265855,Castulo,settlement|archaeological-site,pin,precise,38.0364706129,-3.62397951122,-550,640,61.1,0,https://pleiades.stoa.org/places/265855,
pl-868181684,Arquiellos,settlement|settlement-modern,pin,precise,38.1809503,-3.4270554,640,2100,61.3,0,https://pleiades.stoa.org/places/868181684,
pl-265924,Iliturgi,settlement,pin,precise,37.968343,-3.80883,-330,640,61.4,0,https://pleiades.stoa.org/places/265924,
pl-265905,Giribaile,settlement,pin,precise,38.122254,-3.483153,-330,300,61.6,0,https://pleiades.stoa.org/places/265905,
pl-267276,Villa del Río Roman Bridge,bridge,pin,precise,37.9871928449,-4.27161722039,-30,640,61.8,0,https://pleiades.stoa.org/places/267276,
pl-939442082,Villa del Río Roman bridge,bridge,pin,precise,37.9872355,-4.2718771,-30,300,61.8,0,https://pleiades.stoa.org/places/939442082,
pl-265893,Epora,settlement,pin,precise,38.026033,-4.381896,-330,640,62.4,0,https://pleiades.stoa.org/places/265893,
pl-266087,Urgao/Vircao,settlement,pin,precise,37.93645,-4.054925,-330,2100,62.8,0,https://pleiades.stoa.org/places/266087,
pl-400879977,Guadarmes (river),river,pin,precise,38.5718062907,-4.72607310309,640,2100,63.7,0,https://pleiades.stoa.org/places/400879977,
pl-265773,Ad Lucos,station,pin,precise,38.02053,-4.403644,-330,300,63.9,0,https://pleiades.stoa.org/places/265773,
pl-238855421,Lobera,settlement|settlement-modern,pin,precise,37.9455526,-4.2142298,640,2100,64.4,0,https://pleiades.stoa.org/places/238855421,
pl-265856,Castulonensis Saltus,mountain|label|forest,pin,precise,38.2285710898,-3.32605235772,-330,2100,66.1,0,https://pleiades.stoa.org/places/265856,
pl-256360,Los Pedroches,mine-2,pin,precise,38.428695,-4.763624,-330,2100,67.0,0,https://pleiades.stoa.org/places/256360,
pl-265774,Ad Morum,station,pin,precise,38.184699,-3.315366,-330,300,69.2,0,https://pleiades.stoa.org/places/265774,
pl-266017,Sacili,settlement,pin,precise,38.005797,-4.50716,-330,300,70.6,0,https://pleiades.stoa.org/places/266017,
pl-741862948,Torre del Berrueco,castle|settlement|fort,pin,precise,37.8652904,-3.9387683,640,2100,70.8,0,https://pleiades.stoa.org/places/741862948,
pl-267277,Puente de Cañete,bridge,pin,precise,37.8784531,-4.2135188,-30,640,71.6,0,https://pleiades.stoa.org/places/267277,
pl-265982,Obulco,settlement,pin,precise,37.870867,-4.184754,-330,2100,71.8,0,https://pleiades.stoa.org/places/265982,
