# ==========================================================================
# LATIUM-EXTENTS.csv  ->  Amenti.live/LATIUM-EXTENTS.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# 
# The places in this frame that ARE AN AREA. Points are omitted —
# LATIUM.csv holds those correctly.
# 
# box=extent  a real bound, full-precision corners
# box=grid    a 0.25-degree fallback CELL, not a shape. A GRID CELL IS
#             NOT AN EXTENT AND MUST NOT DRAW AS ONE.
# shares_box  how many places carry this identical box. More than one
#             on a grid cell is the fallback showing.
# ==========================================================================
key,name,box,precision,lon0,lat0,lon1,lat1,width_km,height_km,repr_lat,repr_lon,shares_box,uri
pl-1356,Tyrrhenum/Inferum Mare,extent,related,8.59403546877,37.4913278005,16.1545423,44.4350645,666.9,772.1,41.6467829493,12.6710754474,1,https://pleiades.stoa.org/places/1356
pl-991351,Flaminia et Picenum (province),grid,rough,10.0,40.0,15.0,45.0,425.8,556.0,42.5,12.5,1,https://pleiades.stoa.org/places/991351
pl-815,Ap(p)enninus M.,extent,precise,9.73443363219,40.8685441248,15.507460264,44.5207661077,485.3,406.1,42.952656572,12.7619986346,2,https://pleiades.stoa.org/places/815
pl-416808,Fiscellus M.,extent,related,9.73443363219,40.8685441248,15.507460264,44.5207661077,485.3,406.1,43.0568605278,12.4668316177,2,https://pleiades.stoa.org/places/416808
pl-423025,Roma,extent,related,11.8932823,40.2859079,15.3155234,43.7892424,290.3,389.6,41.8899769865,12.4912581746,1,https://pleiades.stoa.org/places/423025
pl-356966898,Via Appia,extent,related,12.459618,40.175928,18.030423,41.8764293,473.2,189.1,41.6438506805,13.0688608698,1,https://pleiades.stoa.org/places/356966898
pl-67911853,tribus Velina,extent,related,10.917964,43.022406,13.857438,45.769631,238.9,305.5,43.1332846,13.5935457,1,https://pleiades.stoa.org/places/67911853
pl-441075550,"Italia, Regio I",extent,precise,11.8932823,40.2859079,15.3155234,42.4566372,290.3,241.4,41.3901862239,13.6224300124,3,https://pleiades.stoa.org/places/441075550
pl-432742,Campania,extent,related,11.8932823,40.2859079,15.3155234,42.4566372,290.3,241.4,41.3901862239,13.6224300124,3,https://pleiades.stoa.org/places/432742
pl-432900,Latium (region),extent,related,11.8932823,40.2859079,15.3155234,42.4566372,290.3,241.4,41.5905431119,13.1922650062,3,https://pleiades.stoa.org/places/432900
pl-447759107,Via Cassia,extent,related,10.0128633,41.9564709,12.4551076,44.0665669,201.9,234.6,42.5302615509,11.9729826392,1,https://pleiades.stoa.org/places/447759107
pl-182931391,tribus Cornelia,extent,related,12.486137,41.042508,15.0126591,42.956143,211.9,212.8,41.8867987919,13.4512515408,1,https://pleiades.stoa.org/places/182931391
pl-865942280,"Italia, Regio IV",extent,precise,12.5192484,41.3459814,14.9969199,43.1057353,206.8,195.7,42.2086378299,13.828282656,1,https://pleiades.stoa.org/places/865942280
pl-702604147,tribus Oufentina,extent,related,11.330502,41.291169,13.24885,43.345836,160.3,228.5,43.3186243,11.33107765,1,https://pleiades.stoa.org/places/702604147
pl-174900201,Via Aurelia,extent,related,10.3478436,41.884525,12.3635528,43.719417,166.9,204.0,41.9102139167,12.2579320833,1,https://pleiades.stoa.org/places/174900201
pl-413122,Etruria/Tuscia (region),extent,related,10.488999,42.001036,12.390519,43.6941505,157.1,188.3,42.6734380491,11.5337751287,1,https://pleiades.stoa.org/places/413122
pl-814891878,tribus Aemilia,extent,related,12.609394,41.234601,13.933756,42.93488,110.7,189.1,41.238254,13.932224,1,https://pleiades.stoa.org/places/814891878
