# ==========================================================================
# LATIUM.csv  ->  Amenti.live/LATIUM.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# DO NOT HAND-EDIT except the `why` column. Re-run the tool.
# 
# frame  latium · Latium & Campania · 41.85,12.60 · 200 km
# detail reference   NOTHING HAS BEEN AUTHORED ON THIS FRAME.
# 
# tier       pin = a specific position · wash = bounds to seek within
# precision  precise | rough | related — `related` means the bound is
#            assembled from CONNECTED PLACES, not from this one
# unplaced   1 = the coordinate is a 1/8-degree FALLBACK, not a location.
#            Such a row must not draw: a wash would claim bounds it
#            does not have. See GEO.json — unplaced = NO MARK.
# why        the only authored column. Pleiades holds none of it.
# ==========================================================================
key,name,kind,tier,precision,lat,lon,from,until,km,unplaced,uri,why
pl-426604,"Villa del Torraccio, Torrenova",villa|settlement-modern,pin,precise,41.8478609269,12.6102712351,-330,2099,0.9,0,https://pleiades.stoa.org/places/426604,
pl-776367157,Roman villa at Anagnina Metro station,villa|archaeological-site,pin,precise,41.8432658,12.5872779,-30,300,1.3,0,https://pleiades.stoa.org/places/776367157,
pl-3289911,Torre Spaccata,tower-defensive,pin,precise,41.8555059892,12.5866680759,,,1.3,0,https://pleiades.stoa.org/places/3289911,
pl-243709573,Tor di Mezzavia di Frascati,tower-single,pin,precise,41.8390353,12.59310365,640,2100,1.3,0,https://pleiades.stoa.org/places/243709573,
pl-426602,Unnamed villa,villa|settlement-modern,pin,precise,41.8641331,12.6105711,-330,2100,1.8,0,https://pleiades.stoa.org/places/426602,
pl-144825573,"Villa di Tor Vergata, località Carcaricola",villa|settlement-modern,pin,precise,41.8605744,12.6204579,1700,2100,2.1,0,https://pleiades.stoa.org/places/144825573,
pl-423069,Sette Bassi,villa,pin,precise,41.8438936772,12.5764444869,-330,2100,2.1,0,https://pleiades.stoa.org/places/423069,
pl-924954380,Villa delle Terme degli Stucchi Dipinti,villa,pin,precise,41.8605744,12.6204579,,,2.1,0,https://pleiades.stoa.org/places/924954380,
pl-782218546,"Columbarium, Via del Casale Ferranti",tomb,pin,precise,41.8353770665,12.5821897071,-30,300,2.2,0,https://pleiades.stoa.org/places/782218546,
pl-423122,Le Vignacce,villa,pin,precise,41.8388998741,12.5763879467,-30,2100,2.3,0,https://pleiades.stoa.org/places/423122,
pl-583864320,Acquedotto dei Sette Bassi,aqueduct,pin,precise,41.8380779539,12.5754039545,-30,640,2.4,0,https://pleiades.stoa.org/places/583864320,
pl-108040721,Sepolcro del Casale di Gregna,tomb,pin,precise,41.8266971925,12.5977996925,300,2099,2.6,0,https://pleiades.stoa.org/places/108040721,
pl-422895,Cinecittà,villa,pin,precise,41.855596,12.569185,-30,640,2.6,0,https://pleiades.stoa.org/places/422895,
pl-454350148,Quadrato di Torre Spaccata (Rome),archaeological-site|settlement-modern,pin,precise,41.8682856,12.5769675,2000,2099,2.8,0,https://pleiades.stoa.org/places/454350148,
pl-422871,Casale di Gregna,villa,pin,precise,41.825295,12.598111,-330,1999,2.8,0,https://pleiades.stoa.org/places/422871,
pl-426619,Villas on Via Castrimeniense,villa,pin,precise,41.8287165565,12.5791600594,-30,1999,2.9,0,https://pleiades.stoa.org/places/426619,
pl-348038268,Villa Area 5-7 a Tor Vergata,villa,pin,precise,41.8411785242,12.6326205403,2000,2099,2.9,0,https://pleiades.stoa.org/places/348038268,
pl-108334324,Torre di Centocelle,fort,pin,precise,41.8718466393,12.5707023226,640,1453,3.4,0,https://pleiades.stoa.org/places/108334324,
pl-423557,Aqua Alexandrina,aqueduct,wash,rough,41.875,12.625,-30,799,3.5,1,https://pleiades.stoa.org/places/423557,
pl-423564,Aqua Iulia,aqueduct,wash,rough,41.875,12.625,-30,640,3.5,1,https://pleiades.stoa.org/places/423564,
pl-424314,Untitled,aqueduct,wash,rough,41.875,12.625,-30,300,3.5,1,https://pleiades.stoa.org/places/424314,
pl-425069,Untitled,bridge,wash,rough,41.875,12.625,-30,300,3.5,1,https://pleiades.stoa.org/places/425069,
pl-426598,Roman villa and aqueduct at Ponte delle Sette Miglia,aqueduct|villa,wash,rough,41.875,12.625,-30,640,3.5,1,https://pleiades.stoa.org/places/426598,
pl-426601,Untitled,settlement|villa,wash,rough,41.875,12.625,-330,640,3.5,1,https://pleiades.stoa.org/places/426601,
pl-426603,Untitled,bridge,wash,rough,41.875,12.625,-330,640,3.5,1,https://pleiades.stoa.org/places/426603,
pl-426620,Vigna Spinabella,villa,wash,rough,41.875,12.625,-330,640,3.5,1,https://pleiades.stoa.org/places/426620,
pl-557607129,Lacus Orphei,unlocated|fountain,wash,rough,41.875,12.625,,,3.5,1,https://pleiades.stoa.org/places/557607129,
pl-423023,Lacus Regillus,unlocated|lake,wash,rough,41.875,12.625,-330,1999,3.5,1,https://pleiades.stoa.org/places/423023,
pl-423559,Aqua Anio Novus,aqueduct,pin,precise,41.8487461932,12.5570530293,-30,640,3.6,0,https://pleiades.stoa.org/places/423559,
pl-612594175,Osteria di Centocelle,archaeological-site,pin,precise,41.8740061,12.5682719,-30,300,3.7,0,https://pleiades.stoa.org/places/612594175,
pl-422926,"Fortuna Muliebris, T.",sanctuary,pin,precise,41.843745,12.555806,-550,640,3.7,0,https://pleiades.stoa.org/places/422926,
