# ==========================================================================
# LEVANT-EXTENTS.csv  ->  Amenti.live/LEVANT-EXTENTS.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# 
# The places in this frame that ARE AN AREA. Points are omitted —
# LEVANT.csv holds those correctly.
# 
# box=extent  a real bound, full-precision corners
# box=grid    a 0.25-degree fallback CELL, not a shape. A GRID CELL IS
#             NOT AN EXTENT AND MUST NOT DRAW AS ONE.
# shares_box  how many places carry this identical box. More than one
#             on a grid cell is the fallback showing.
# ==========================================================================
key,name,box,precision,lon0,lat0,lon1,lat1,width_km,height_km,repr_lat,repr_lon,shares_box,uri
pl-45635759,Seleucid Empire,extent,related,26.4096706,26.2312876,62.2020132,40.1955522,3558.4,1552.8,35.6187858978,37.9714926963,1,https://pleiades.stoa.org/places/45635759
pl-29677,Nabataea (region),grid,rough,35.0,30.0,40.0,35.0,481.4,556.0,32.5,37.5,9,https://pleiades.stoa.org/places/29677
pl-464208936,Maʿān,grid,rough,35.0,30.0,40.0,35.0,481.4,556.0,32.5,37.5,9,https://pleiades.stoa.org/places/464208936
pl-991408,Arabia (late Roman province),grid,rough,35.0,30.0,40.0,35.0,481.4,556.0,32.5,37.5,9,https://pleiades.stoa.org/places/991408
pl-1001942,Arabia,grid,rough,35.0,30.0,40.0,35.0,481.4,556.0,32.5,37.5,9,https://pleiades.stoa.org/places/1001942
pl-991409,Augusta Libanensis,grid,rough,35.0,30.0,40.0,35.0,481.4,556.0,32.5,37.5,9,https://pleiades.stoa.org/places/991409
pl-991410,Phoenice,grid,rough,35.0,30.0,40.0,35.0,481.4,556.0,32.5,37.5,9,https://pleiades.stoa.org/places/991410
pl-1001937,Phoinike,grid,rough,35.0,30.0,40.0,35.0,481.4,556.0,32.5,37.5,9,https://pleiades.stoa.org/places/1001937
pl-1001938,Phoinike Libanesia,grid,rough,35.0,30.0,40.0,35.0,481.4,556.0,32.5,37.5,9,https://pleiades.stoa.org/places/1001938
pl-1001940,Palaestina II (late Roman province),grid,rough,35.0,30.0,40.0,35.0,481.4,556.0,32.5,37.5,9,https://pleiades.stoa.org/places/1001940
pl-930907033,Levant (region),extent,related,34.222502,30.922199,36.333333,36.75,201.3,648.0,34.311538765,35.651662625,1,https://pleiades.stoa.org/places/930907033
pl-690072,Untitled,grid,rough,32.0,30.0,36.0,32.5,385.2,278.0,31.25,34.0,33,https://pleiades.stoa.org/places/690072
pl-690073,Untitled,grid,rough,32.0,30.0,36.0,32.5,385.2,278.0,31.25,34.0,33,https://pleiades.stoa.org/places/690073
pl-690075,Untitled,grid,rough,32.0,30.0,36.0,32.5,385.2,278.0,31.25,34.0,33,https://pleiades.stoa.org/places/690075
pl-690076,Untitled,grid,rough,32.0,30.0,36.0,32.5,385.2,278.0,31.25,34.0,33,https://pleiades.stoa.org/places/690076
pl-690077,Untitled,grid,rough,32.0,30.0,36.0,32.5,385.2,278.0,31.25,34.0,33,https://pleiades.stoa.org/places/690077
pl-690078,Untitled,grid,rough,32.0,30.0,36.0,32.5,385.2,278.0,31.25,34.0,33,https://pleiades.stoa.org/places/690078
pl-690079,Untitled,grid,rough,32.0,30.0,36.0,32.5,385.2,278.0,31.25,34.0,33,https://pleiades.stoa.org/places/690079
pl-690080,Untitled,grid,rough,32.0,30.0,36.0,32.5,385.2,278.0,31.25,34.0,33,https://pleiades.stoa.org/places/690080
pl-690081,Untitled,grid,rough,32.0,30.0,36.0,32.5,385.2,278.0,31.25,34.0,33,https://pleiades.stoa.org/places/690081
pl-690082,Untitled,grid,rough,32.0,30.0,36.0,32.5,385.2,278.0,31.25,34.0,33,https://pleiades.stoa.org/places/690082
pl-690083,Untitled,grid,rough,32.0,30.0,36.0,32.5,385.2,278.0,31.25,34.0,33,https://pleiades.stoa.org/places/690083
pl-690084,Untitled,grid,rough,32.0,30.0,36.0,32.5,385.2,278.0,31.25,34.0,33,https://pleiades.stoa.org/places/690084
pl-690085,Untitled,grid,rough,32.0,30.0,36.0,32.5,385.2,278.0,31.25,34.0,33,https://pleiades.stoa.org/places/690085
pl-690086,Untitled,grid,rough,32.0,30.0,36.0,32.5,385.2,278.0,31.25,34.0,33,https://pleiades.stoa.org/places/690086
pl-690087,Untitled,grid,rough,32.0,30.0,36.0,32.5,385.2,278.0,31.25,34.0,33,https://pleiades.stoa.org/places/690087
pl-690088,Untitled,grid,rough,32.0,30.0,36.0,32.5,385.2,278.0,31.25,34.0,33,https://pleiades.stoa.org/places/690088
pl-690089,Untitled,grid,rough,32.0,30.0,36.0,32.5,385.2,278.0,31.25,34.0,33,https://pleiades.stoa.org/places/690089
pl-690090,Untitled,grid,rough,32.0,30.0,36.0,32.5,385.2,278.0,31.25,34.0,33,https://pleiades.stoa.org/places/690090
