# ==========================================================================
# LEVANT.csv  ->  Amenti.live/LEVANT.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# DO NOT HAND-EDIT except the `why` column. Re-run the tool.
# 
# frame  levant · The Levant · 33.50,35.90 · 260 km
# detail reference   NOTHING HAS BEEN AUTHORED ON THIS FRAME.
# 
# tier       pin = a specific position · wash = bounds to seek within
# precision  precise | rough | related — `related` means the bound is
#            assembled from CONNECTED PLACES, not from this one
# unplaced   1 = the coordinate is a 1/8-degree FALLBACK, not a location.
#            Such a row must not draw: a wash would claim bounds it
#            does not have. See GEO.json — unplaced = NO MARK.
# why        the only authored column. Pleiades holds none of it.
# ==========================================================================
key,name,kind,tier,precision,lat,lon,from,until,km,unplaced,uri,why
pl-678354,Rachle/Zenopolis?,settlement,pin,precise,33.514487,35.971602,-30,640,6.8,0,https://pleiades.stoa.org/places/678354,
pl-678026,Aqaba,sanctuary|ruin|temple-2|shrine|archaeological-site|monument,pin,precise,33.5104569641,35.8091041525,-30,2100,8.5,0,https://pleiades.stoa.org/places/678026,
pl-678045,Baithmare,settlement,pin,precise,33.552423,35.833713,-30,300,8.5,0,https://pleiades.stoa.org/places/678045,
pl-678050,Barkousa/Iustinianoupolis?,settlement,pin,precise,33.4662035,35.9888722,-30,640,9.1,0,https://pleiades.stoa.org/places/678050,
pl-678242,Khirbet el-Knese,temple,pin,precise,33.584084,35.920233,-30,300,9.5,0,https://pleiades.stoa.org/places/678242,
pl-678181,Hermon (mountain),mountain,pin,precise,33.416111,35.8575,-720,2100,10.1,0,https://pleiades.stoa.org/places/678181,
pl-678380,Segeira,settlement,pin,precise,33.42193,35.961579,-30,640,10.4,0,https://pleiades.stoa.org/places/678380,
pl-944582489,Mdoukha,sanctuary|temple-2,pin,precise,33.5939587975,35.888006574,-30,2100,10.5,0,https://pleiades.stoa.org/places/944582489,
pl-678007,Ain Hersha Roman Temple,temple-2,pin,precise,33.4534750461,35.7905283496,-30,1999,11.4,0,https://pleiades.stoa.org/places/678007,
pl-678253,Kiboreia,sanctuary|temple-2|shrine|archaeological-site|monument|settlement,pin,precise,33.557259631,36.0112237343,-30,2100,12.1,0,https://pleiades.stoa.org/places/678253,
pl-913287176,Ain Aata,tomb|sanctuary|temple-2,pin,precise,33.4348819533,35.7837732239,-30,300,13.0,0,https://pleiades.stoa.org/places/913287176,
pl-678302,Nebi Safa,temple|temple-2,pin,precise,33.4965704016,35.7471600858,-30,300,14.2,0,https://pleiades.stoa.org/places/678302,
pl-10481849,Kumidi,archaeological-site,pin,precise,33.6237320759,35.82105123,1700,2100,15.6,0,https://pleiades.stoa.org/places/10481849,
