# ==========================================================================
# MACEDONIA-EXTENTS.csv  ->  Amenti.live/MACEDONIA-EXTENTS.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# 
# The places in this frame that ARE AN AREA. Points are omitted —
# MACEDONIA.csv holds those correctly.
# 
# box=extent  a real bound, full-precision corners
# box=grid    a 0.25-degree fallback CELL, not a shape. A GRID CELL IS
#             NOT AN EXTENT AND MUST NOT DRAW AS ONE.
# shares_box  how many places carry this identical box. More than one
#             on a grid cell is the fallback showing.
# ==========================================================================
key,name,box,precision,lon0,lat0,lon1,lat1,width_km,height_km,repr_lat,repr_lon,shares_box,uri
pl-48050879,Delian League,extent,related,23.436606,37.0531492,31.9102407,46.6964665,751.7,1072.3,39.4435563108,26.4869573384,1,https://pleiades.stoa.org/places/48050879
pl-560221,Aegaeum Mare,extent,related,20.8369638,35.26711,29.2996224,42.6106123,768.1,816.6,38.9139570674,24.9172407527,1,https://pleiades.stoa.org/places/560221
pl-991253193,Macedonia (Hellenistic kingdom),extent,related,21.1620326097,37.08579,26.907088,41.8474249,509.5,529.5,40.7541057026,22.5178989488,1,https://pleiades.stoa.org/places/991253193
pl-1136,Withdrawn duplicate: Moesia Superior,grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/1136
pl-991368,Macedonia,grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/991368
pl-991369,Moesia Superior,grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/991369
pl-991371,Thracia,grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/991371
pl-1001888,Rhodope,grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/1001888
pl-1001902,Dardania,grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/1001902
pl-981519,Dacia Inferior (province),grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/981519
pl-981536,Moesia Superior (province),grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/981536
pl-981552,Thracia (province),grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/981552
pl-991365,Dacia Mediterranea,grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/991365
pl-991366,Dacia Ripensis,grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/991366
pl-991370,Rhodope,grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/991370
pl-992077,Moesiae,grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/992077
pl-992078,Thracia,grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/992078
pl-1001132,Thrakike,grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/1001132
pl-1001893,Makedonia I,grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/1001893
pl-1001894,Makedonia II,grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/1001894
pl-1001899,Nea Epeiros,grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/1001899
pl-1001900,Dakia Mesogeios,grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/1001900
pl-1001901,Parapotamia Dakia,grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/1001901
pl-1001904,Mysia I (province),grid,rough,20.0,40.0,25.0,45.0,425.8,556.0,42.5,22.5,21,https://pleiades.stoa.org/places/1001904
pl-599944,Sporades (archipelago),extent,related,23.5891577,36.536678,27.8810257,40.8011544,383.4,474.2,39.1432755275,24.0097290317,1,https://pleiades.stoa.org/places/599944
pl-540923,Magnesia (region),extent,related,21.5624096,37.8453351,27.5311125,39.9353319,524.0,232.4,39.5066786008,22.920519021,1,https://pleiades.stoa.org/places/540923
pl-552662,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552662
pl-552663,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552663
pl-552664,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552664
pl-552665,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552665
pl-552666,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552666
pl-552667,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552667
pl-552668,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552668
pl-552669,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552669
pl-552670,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552670
pl-552671,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552671
pl-552672,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552672
pl-552673,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552673
pl-552674,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552674
pl-552675,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552675
pl-552676,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552676
pl-552677,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552677
pl-552678,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552678
pl-552680,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552680
pl-552681,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552681
pl-552682,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552682
pl-552683,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552683
pl-552684,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552684
pl-552685,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552685
pl-552686,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552686
pl-552687,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552687
pl-196789404,Via Egnatia,extent,related,19.444876,40.384466,28.418437,41.316435,759.7,103.6,40.9268360207,23.8538159173,1,https://pleiades.stoa.org/places/196789404
pl-668537581,Macedonia (Archaic and Classical kingdom),extent,related,21.1620326097,38.902996,24.717535,41.0394555033,307.6,237.6,40.1732359847,22.7328560245,1,https://pleiades.stoa.org/places/668537581
pl-534542,Untitled,grid,rough,19.5,38.0,21.5,40.5,175.2,278.0,39.25,20.5,7,https://pleiades.stoa.org/places/534542
pl-534544,Untitled,grid,rough,19.5,38.0,21.5,40.5,175.2,278.0,39.25,20.5,7,https://pleiades.stoa.org/places/534544
pl-534545,Untitled,grid,rough,19.5,38.0,21.5,40.5,175.2,278.0,39.25,20.5,7,https://pleiades.stoa.org/places/534545
pl-534546,Untitled,grid,rough,19.5,38.0,21.5,40.5,175.2,278.0,39.25,20.5,7,https://pleiades.stoa.org/places/534546
pl-534547,Untitled,grid,rough,19.5,38.0,21.5,40.5,175.2,278.0,39.25,20.5,7,https://pleiades.stoa.org/places/534547
pl-534548,Untitled,grid,rough,19.5,38.0,21.5,40.5,175.2,278.0,39.25,20.5,7,https://pleiades.stoa.org/places/534548
pl-534549,Untitled,grid,rough,19.5,38.0,21.5,40.5,175.2,278.0,39.25,20.5,7,https://pleiades.stoa.org/places/534549
pl-501432,Hebros (river),extent,precise,23.6093989,40.7273629,26.6355754,42.3191076,255.0,177.0,41.7744700975,25.5015757967,1,https://pleiades.stoa.org/places/501432
pl-493772,Untitled,grid,rough,21.5,40.0,23.5,42.0,170.4,222.4,41.0,22.5,1,https://pleiades.stoa.org/places/493772
pl-491534,Axios (river),extent,precise,20.8369638,40.5121719,22.7163066,42.1032514,158.9,176.9,41.5455777465,21.8762661987,1,https://pleiades.stoa.org/places/491534
pl-981531,Macedonia (Roman province),extent,related,21.342,40.1389841776,22.956201,41.5545738,137.2,157.4,40.7438436068,22.0206617157,1,https://pleiades.stoa.org/places/981531
pl-501629,Strymon (river),extent,precise,22.6870573,40.786161,23.857069,42.6106123,98.5,202.9,41.809453061,23.161189893,1,https://pleiades.stoa.org/places/501629
pl-481726,Aous (river),extent,precise,19.3182321,39.7947441,21.2292461,40.665275,163.3,96.8,40.2399877255,20.2890816741,1,https://pleiades.stoa.org/places/481726
pl-501644,Tonzos (river),extent,precise,24.9647824,41.6613747,26.5962452,42.6916521,135.5,114.6,42.3794870191,26.0929575329,1,https://pleiades.stoa.org/places/501644
pl-104777481,Aetolian League,extent,related,20.989927,38.399726,22.770903,39.277753,155.2,97.6,38.900279492,22.1639349942,1,https://pleiades.stoa.org/places/104777481
pl-735295266,Ionian League,extent,related,26.132979,37.5276204,27.4258624,38.6703,114.0,127.1,38.3951739832,26.5884385998,1,https://pleiades.stoa.org/places/735295266
pl-501524,Nestos (river),extent,precise,23.5711768,40.8458664,24.8041428,42.0376439,103.7,132.5,41.432571448,24.1736588871,1,https://pleiades.stoa.org/places/501524
pl-550944,Troas (region),extent,related,26.082881,39.4860385,27.579568,40.383655,128.4,99.8,39.8904865421,26.2976961303,1,https://pleiades.stoa.org/places/550944
pl-507461,Serreion (settlement),extent,related,25.5219105655,41.2312059042,28.3811456853,41.6517744447,239.1,46.8,41.4856931307,26.9099553718,2,https://pleiades.stoa.org/places/507461
pl-501638,Thracia,extent,precise,25.5219105655,41.2312059042,28.3811456853,41.6517744447,239.1,46.8,41.5178303653,26.9624137954,2,https://pleiades.stoa.org/places/501638
pl-491614,Haliakmon (river),extent,precise,20.7817625,39.9571074,22.6537752,40.5861217,159.6,69.9,40.3068973192,21.6498645485,1,https://pleiades.stoa.org/places/491614
pl-24323808,Thrace/Skudra (satrapy),extent,related,23.819454,40.78201,28.977116,41.009795,434.2,25.3,40.8983773333,25.8369568333,1,https://pleiades.stoa.org/places/24323808
pl-1332,Thessalia,extent,related,21.607321968,39.0380108,22.944398,39.798543,115.5,84.6,39.4438683285,22.2954322962,1,https://pleiades.stoa.org/places/1332
pl-481762,Bevus (river),grid,rough,20.0,40.0,21.0,41.0,85.2,111.2,40.5,20.5,2,https://pleiades.stoa.org/places/481762
pl-481911,Meropus M.,grid,rough,20.0,40.0,21.0,41.0,85.2,111.2,40.5,20.5,2,https://pleiades.stoa.org/places/481911
pl-481743,Artatus (river),grid,rough,20.0,41.0,21.0,42.0,83.9,111.2,41.5,20.5,2,https://pleiades.stoa.org/places/481743
pl-481923,Nestos (river),grid,rough,23.0,41.0,24.0,42.0,83.9,111.2,41.5,23.5,1,https://pleiades.stoa.org/places/481923
pl-482022,Tres Tabernae,grid,rough,20.0,41.0,21.0,42.0,83.9,111.2,41.5,20.5,2,https://pleiades.stoa.org/places/482022
pl-216887,Moesia Inferior,grid,rough,24.0,42.0,25.0,43.0,82.6,111.2,42.5,24.5,3,https://pleiades.stoa.org/places/216887
pl-217000,Succorum Angustiae,grid,rough,23.0,42.0,24.0,43.0,82.6,111.2,42.5,23.5,1,https://pleiades.stoa.org/places/217000
