key,name,kind,tier,lat,lon,from,until,locations,km,uri,why
pl-491547,Bisaltia,"region, label",pin,40.95531,23.46035,,,0,6.0,https://pleiades.stoa.org/places/491547,
pl-501532,Odomantes,"region, label, people",pin,41.01570,23.59671,,,0,8.3,https://pleiades.stoa.org/places/501532,
pl-501534,Oldenoi,settlement,pin,41.02925,23.59547,-30,300,0,8.6,https://pleiades.stoa.org/places/501534,
pl-501414,Euporia,settlement,pin,41.06677,23.56234,-330,640,0,9.1,https://pleiades.stoa.org/places/501414,
pl-491673,Nikoklei,settlement,pin,40.93498,23.42397,-30,300,0,9.6,https://pleiades.stoa.org/places/491673,
pl-491629,Kapatsi,settlement,pin,40.94824,23.40369,-30,300,0,9.9,https://pleiades.stoa.org/places/491629,
pl-501374,Berge,settlement,pin,40.91098,23.50825,-750,300,0,9.9,https://pleiades.stoa.org/places/501374,
pl-501616,Sirra,settlement,pin,41.08798,23.54245,-550,2099,0,10.4,https://pleiades.stoa.org/places/501616,
pl-114689183,Terpni/Paliokastro,"settlement, archaeological-site",pin,40.90530,23.44595,-30,2099,0,11.4,https://pleiades.stoa.org/places/114689183,
pl-501614,Siriopaiones,"label, people",pin,41.08754,23.61679,,,0,13.8,https://pleiades.stoa.org/places/501614,
pl-491528,Ar(r)olos,settlement,pin,41.01174,23.32632,-30,640,0,14.6,https://pleiades.stoa.org/places/491528,
pl-501579,Prasias (lake),lake,pin,40.95408,23.66313,-550,1999,0,14.6,https://pleiades.stoa.org/places/501579,
pl-501330,Ag. Pneuma,settlement,pin,41.05873,23.70594,-30,1999,0,18.4,https://pleiades.stoa.org/places/501330,
pl-501392,Daphnoudion,settlement,pin,41.05997,23.74824,-30,1999,0,21.8,https://pleiades.stoa.org/places/501392,
pl-491722,Skotoussa,settlement,pin,41.18367,23.37496,-550,1999,0,22.9,https://pleiades.stoa.org/places/491722,
pl-501540,Oreini,fort-2,pin,41.19685,23.59154,-30,1999,0,23.2,https://pleiades.stoa.org/places/501540,
pl-501329,Ag. Khristophoros,settlement,pin,41.04463,23.77730,-330,1999,0,23.8,https://pleiades.stoa.org/places/501329,
pl-501423,Gazoros,"settlement, acropolis",pin,41.03920,23.79250,-330,300,0,24.9,https://pleiades.stoa.org/places/501423,
pl-501648,Tragilos,"settlement, archaeological-site",pin,40.83731,23.71594,-750,-30,0,25.6,https://pleiades.stoa.org/places/501648,
