key,name,kind,tier,lat,lon,from,until,locations,km,uri,why
pl-462283,Lipara (settlement),settlement,pin,38.46740,14.95396,-750,2100,0,5.4,https://pleiades.stoa.org/places/462283,
pl-407608949,Contrada Diana,cemetery,pin,38.46715,14.95373,,,0,5.4,https://pleiades.stoa.org/places/407608949,
pl-462284,Lipara (island),island,pin,38.46667,14.95000,-550,2100,0,5.7,https://pleiades.stoa.org/places/462284,
pl-462475,S. Calogero,bath,pin,38.47792,14.90982,-30,1999,0,8.2,https://pleiades.stoa.org/places/462475,
pl-462242,Hiera (Hephaistou) (island),island,pin,38.40420,14.96580,-550,2100,0,11.0,https://pleiades.stoa.org/places/462242,
pl-462076,Aeoliae (islands),archipelago,wash,38.57984,14.88258,-550,2100,0,13.5,https://pleiades.stoa.org/places/462076,
pl-837661672,Punta Milazzese,settlement,pin,38.62543,15.06342,-1400,2099,0,15.0,https://pleiades.stoa.org/places/837661672,
pl-462186,Didyme (island),island,pin,38.56245,14.84002,-330,2100,0,15.5,https://pleiades.stoa.org/places/462186,
pl-452324,Euonymus (island),island,pin,38.63750,15.06667,-550,2100,0,16.3,https://pleiades.stoa.org/places/452324,
pl-548145747,Withdrawn: Basiluzzo,island,pin,38.66352,15.11362,1700,2100,0,20.7,https://pleiades.stoa.org/places/548145747,
pl-452336,Hikesia Nesos/Basilidin (island),"island, label",pin,38.66310,15.16437,-330,2099,0,23.1,https://pleiades.stoa.org/places/452336,
pl-462231,Helikon? (river),river,wash,38.25000,15.25000,-30,300,0,35.2,https://pleiades.stoa.org/places/462231,
pl-462517,*Timetos (river),river,wash,38.25000,14.75000,-30,300,0,35.2,https://pleiades.stoa.org/places/462517,
pl-462160,Chydas? (river),river,wash,38.25000,14.75000,-30,300,0,35.2,https://pleiades.stoa.org/places/462160,
pl-946423790,Capo Graziano,archaeological-site,pin,38.55691,14.58830,1900,2099,0,36.3,https://pleiades.stoa.org/places/946423790,
pl-452455,Strongyle (island),island,pin,38.78900,15.21300,-30,2100,0,37.0,https://pleiades.stoa.org/places/452455,
pl-462379,Mylae,"settlement, port, isthmus",pin,38.21937,15.24038,-750,2100,0,37.5,https://pleiades.stoa.org/places/462379,
pl-462425,Phoenicusa (island),island,pin,38.56867,14.56670,-550,2100,0,38.4,https://pleiades.stoa.org/places/462425,
pl-462414,Patti Marina,villa,pin,38.14891,14.97236,-30,640,0,39.0,https://pleiades.stoa.org/places/462414,
pl-462220,Gioiosa Vecchia,settlement,pin,38.15074,14.93118,-750,-330,0,39.2,https://pleiades.stoa.org/places/462220,
pl-992102397,Gioiosa Guardia,settlement,pin,38.14973,14.93082,,,0,39.3,https://pleiades.stoa.org/places/992102397,
pl-937547558,Greek theater of Tyndaris,theatre,pin,38.14346,15.04239,-330,300,0,39.7,https://pleiades.stoa.org/places/937547558,
pl-462527,Tyndaris,"settlement, settlement-modern",pin,38.14272,15.04456,-550,2100,0,39.8,https://pleiades.stoa.org/places/462527,
pl-462466,Reilla,villa,pin,38.18686,15.29099,-30,1999,0,43.0,https://pleiades.stoa.org/places/462466,
pl-863833176,Via Valeria,road,wash,38.12743,15.14205,,,0,43.2,https://pleiades.stoa.org/places/863833176,
pl-462079,Agathyrnum,settlement,pin,38.16410,14.74901,-550,2100,0,43.2,https://pleiades.stoa.org/places/462079,
pl-462145,Castroreale S. Biagio,"villa, bath",pin,38.12743,15.14207,-30,640,0,43.2,https://pleiades.stoa.org/places/462145,
pl-462108,Bagnoli di S. Gregorio,"villa, bath",pin,38.15359,14.76611,-30,2099,0,43.5,https://pleiades.stoa.org/places/462108,
pl-462366,Monte S. Onofrio,fort-2,pin,38.14149,15.21086,-550,1999,0,43.8,https://pleiades.stoa.org/places/462366,
pl-462516,Thorax,settlement,pin,38.13154,15.18225,-330,-30,0,43.9,https://pleiades.stoa.org/places/462516,
pl-462384,Naulochos,station,pin,38.22170,15.37447,-330,300,0,44.9,https://pleiades.stoa.org/places/462384,
pl-462309,Melas (river),river,pin,38.13542,15.26405,-30,2099,0,46.5,https://pleiades.stoa.org/places/462309,
pl-462287,Longane,settlement,pin,38.08252,15.16805,-750,-330,0,48.6,https://pleiades.stoa.org/places/462287,
pl-462421,Phalakrion Akron,cape,pin,38.29780,15.52163,-30,2100,0,50.6,https://pleiades.stoa.org/places/462421,
pl-462062,Abakainon,"settlement, settlement-modern",pin,38.04959,15.09948,-330,2100,0,50.7,https://pleiades.stoa.org/places/462062,
pl-463576,Untitled,bridge,pin,38.10631,14.69556,-30,300,0,51.1,https://pleiades.stoa.org/places/463576,
pl-462471,Rometta,villa,pin,38.17056,15.41344,-550,1999,0,51.3,https://pleiades.stoa.org/places/462471,
pl-462288,Longanos (river),river,pin,38.04596,15.18886,-330,2099,0,53.0,https://pleiades.stoa.org/places/462288,
pl-816145903,Temple of Hercules,temple-2,pin,38.07598,14.69594,-330,-30,0,54.0,https://pleiades.stoa.org/places/816145903,
pl-462478,S. Marco d’Alunzio,quarry,pin,38.07191,14.70032,-30,300,0,54.2,https://pleiades.stoa.org/places/462478,
pl-462228,Haluntium,settlement,pin,38.07190,14.70031,-330,2100,0,54.2,https://pleiades.stoa.org/places/462228,
pl-462199,Erikodes/Ericusa (island),island,pin,38.54295,14.35284,-330,2100,0,56.4,https://pleiades.stoa.org/places/462199,
