# ==========================================================================
# PONTUS-EXTENTS.csv  ->  Amenti.live/PONTUS-EXTENTS.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# 
# The places in this frame that ARE AN AREA. Points are omitted —
# PONTUS.csv holds those correctly.
# 
# box=extent  a real bound, full-precision corners
# box=grid    a 0.25-degree fallback CELL, not a shape. A GRID CELL IS
#             NOT AN EXTENT AND MUST NOT DRAW AS ONE.
# shares_box  how many places carry this identical box. More than one
#             on a grid cell is the fallback showing.
# ==========================================================================
key,name,box,precision,lon0,lat0,lon1,lat1,width_km,height_km,repr_lat,repr_lon,shares_box,uri
pl-226730,Psilon Stoma/Thiagola,extent,related,8.5173897,43.0786852,34.7425505,49.0313739,2121.2,661.9,44.6848520308,27.1499487138,1,https://pleiades.stoa.org/places/226730
pl-1001919,Paphlagonia,grid,rough,30.0,40.0,35.0,45.0,425.8,556.0,42.5,32.5,7,https://pleiades.stoa.org/places/1001919
pl-991391,Paphlagonia,grid,rough,30.0,40.0,35.0,45.0,425.8,556.0,42.5,32.5,7,https://pleiades.stoa.org/places/991391
pl-991378,Moesia Inferior,grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/991378
pl-991399,Pontus Polemoniacus,grid,rough,35.0,40.0,40.0,45.0,425.8,556.0,42.5,37.5,5,https://pleiades.stoa.org/places/991399
pl-1001917,Bithynia,grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/1001917
pl-981508,Armenia Minor (Roman eparcheia),grid,rough,35.0,40.0,40.0,45.0,425.8,556.0,42.5,37.5,5,https://pleiades.stoa.org/places/981508
pl-981542,Paphlagonia,grid,rough,30.0,40.0,35.0,45.0,425.8,556.0,42.5,32.5,7,https://pleiades.stoa.org/places/981542
pl-981545,Pontus Galaticus,grid,rough,35.0,40.0,40.0,45.0,425.8,556.0,42.5,37.5,5,https://pleiades.stoa.org/places/981545
pl-981546,Pontus Polemoniacus,grid,rough,35.0,40.0,40.0,45.0,425.8,556.0,42.5,37.5,5,https://pleiades.stoa.org/places/981546
pl-991376,Europa,grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/991376
pl-991377,Haemimontus,grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/991377
pl-991379,Scythia,grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/991379
pl-991389,Bithynia,grid,rough,30.0,40.0,35.0,45.0,425.8,556.0,42.5,32.5,7,https://pleiades.stoa.org/places/991389
pl-991390,Diospontus,grid,rough,30.0,40.0,35.0,45.0,425.8,556.0,42.5,32.5,7,https://pleiades.stoa.org/places/991390
pl-1001135,Pontike,grid,rough,30.0,40.0,35.0,45.0,425.8,556.0,42.5,32.5,7,https://pleiades.stoa.org/places/1001135
pl-1001887,Europe,grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/1001887
pl-1001889,Thrake,grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/1001889
pl-1001890,Haimimontos (province),grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/1001890
pl-1001891,Mysia II (province),grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/1001891
pl-1001892,Skythia,grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/1001892
pl-1001920,Galatia I,grid,rough,30.0,40.0,35.0,45.0,425.8,556.0,42.5,32.5,7,https://pleiades.stoa.org/places/1001920
pl-1001925,Pontos Polemoniakos,grid,rough,35.0,40.0,40.0,45.0,425.8,556.0,42.5,37.5,5,https://pleiades.stoa.org/places/1001925
pl-847113,Untitled,grid,rough,30.0,39.0,36.0,43.0,518.4,444.8,41.0,33.0,8,https://pleiades.stoa.org/places/847113
pl-847114,Untitled,grid,rough,30.0,39.0,36.0,43.0,518.4,444.8,41.0,33.0,8,https://pleiades.stoa.org/places/847114
pl-847115,Untitled,grid,rough,30.0,39.0,36.0,43.0,518.4,444.8,41.0,33.0,8,https://pleiades.stoa.org/places/847115
pl-847117,Untitled,grid,rough,30.0,39.0,36.0,43.0,518.4,444.8,41.0,33.0,8,https://pleiades.stoa.org/places/847117
pl-847118,Untitled,grid,rough,30.0,39.0,36.0,43.0,518.4,444.8,41.0,33.0,8,https://pleiades.stoa.org/places/847118
pl-847119,Untitled,grid,rough,30.0,39.0,36.0,43.0,518.4,444.8,41.0,33.0,8,https://pleiades.stoa.org/places/847119
pl-847121,Untitled,grid,rough,30.0,39.0,36.0,43.0,518.4,444.8,41.0,33.0,8,https://pleiades.stoa.org/places/847121
pl-847122,Untitled,grid,rough,30.0,39.0,36.0,43.0,518.4,444.8,41.0,33.0,8,https://pleiades.stoa.org/places/847122
pl-226799,Tyras (river),extent,precise,22.8326771,46.303713,30.2998611,49.5966178,573.4,366.2,48.1880668685,27.0547065166,1,https://pleiades.stoa.org/places/226799
pl-857148,Halys (river),extent,precise,33.3829638,38.714052,38.409563,41.7359262,436.1,336.0,39.9247286988,35.1685680034,1,https://pleiades.stoa.org/places/857148
pl-226630,Hypanis/Southern Bug (river),extent,precise,26.4756292,46.6583555,32.0175719,49.6322739,422.9,330.7,48.4894956615,29.5104867135,1,https://pleiades.stoa.org/places/226630
pl-825318,Maeotis,extent,precise,34.0239336,45.104662,39.3105656,47.2886356,414.8,242.8,46.0726774763,36.7116694589,2,https://pleiades.stoa.org/places/825318
pl-825367,Rhombites Megas (river),extent,related,34.0239336,45.104662,39.3105656,47.2886356,414.8,242.8,46.1720640516,36.8168902272,2,https://pleiades.stoa.org/places/825367
pl-216947,Pyretos (river),extent,precise,24.5313468,45.4673793,28.2611236,48.5745379,290.8,345.5,47.3883028604,27.0728904995,1,https://pleiades.stoa.org/places/216947
