# ==========================================================================
# PONTUS.csv  ->  Amenti.live/PONTUS.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# DO NOT HAND-EDIT except the `why` column. Re-run the tool.
# 
# frame  pontus · The Black Sea shore · 44.00,33.00 · 500 km
# detail reference   NOTHING HAS BEEN AUTHORED ON THIS FRAME.
# 
# tier       pin = a specific position · wash = bounds to seek within
# precision  precise | rough | related — `related` means the bound is
#            assembled from CONNECTED PLACES, not from this one
# unplaced   1 = the coordinate is a 1/8-degree FALLBACK, not a location.
#            Such a row must not draw: a wash would claim bounds it
#            does not have. See GEO.json — unplaced = NO MARK.
# why        the only authored column. Pleiades holds none of it.
# ==========================================================================
key,name,kind,tier,precision,lat,lon,from,until,km,unplaced,uri,why
pl-226713,"Parthenion, T.",sanctuary,wash,rough,44.5,33.5,-550,300,68.4,1,https://pleiades.stoa.org/places/226713,
pl-227259,Untitled,centuriation,wash,rough,44.5,33.5,-550,640,68.4,1,https://pleiades.stoa.org/places/227259,
pl-228862,Untitled,numbered feature,wash,rough,44.5,33.5,-330,300,68.4,1,https://pleiades.stoa.org/places/228862,
pl-228863,Untitled,numbered feature,wash,rough,44.5,33.5,-330,300,68.4,1,https://pleiades.stoa.org/places/228863,
pl-228864,Untitled,numbered feature,wash,rough,44.5,33.5,-30,300,68.4,1,https://pleiades.stoa.org/places/228864,
pl-228866,Untitled,numbered feature,wash,rough,44.5,33.5,-330,300,68.4,1,https://pleiades.stoa.org/places/228866,
pl-228867,Untitled,numbered feature,wash,rough,44.5,33.5,-30,640,68.4,1,https://pleiades.stoa.org/places/228867,
pl-228869,Untitled,numbered feature,wash,rough,44.5,33.5,-30,640,68.4,1,https://pleiades.stoa.org/places/228869,
pl-228870,Untitled,numbered feature,wash,rough,44.5,33.5,-30,640,68.4,1,https://pleiades.stoa.org/places/228870,
pl-228871,Untitled,numbered feature,wash,rough,44.5,33.5,-330,640,68.4,1,https://pleiades.stoa.org/places/228871,
pl-226714,Parthenion? Akron,shrine,pin,precise,44.514846,33.491262,-550,300,69.3,0,https://pleiades.stoa.org/places/226714,
pl-226708,Palaia Chersonesos,settlement,pin,precise,44.563122,33.408798,-330,300,70.6,0,https://pleiades.stoa.org/places/226708,
pl-226529,Balka Bermana,settlement,pin,precise,44.536738,33.489107,-330,640,71.3,0,https://pleiades.stoa.org/places/226529,
pl-604307494,Farmhouse 151 in the chora of Chersonesos,farm,pin,precise,44.5497529508,33.4675491881,-330,2099,71.6,0,https://pleiades.stoa.org/places/604307494,
pl-226671,Kriou Metopon Pr.,cape,pin,precise,44.387222,33.738056,-550,2100,72.9,0,https://pleiades.stoa.org/places/226671,
pl-226770,Symbolon Limen,settlement,pin,precise,44.5019525,33.598749,-550,640,73.4,0,https://pleiades.stoa.org/places/226770,
pl-582360742,Theater of Chersonesos,theatre,pin,precise,44.6102710304,33.4921586932,-550,2099,78.3,0,https://pleiades.stoa.org/places/582360742,
pl-226564,Chersonesos,settlement|archaeological-site,pin,precise,44.611092882,33.4922580049,-750,1453,78.4,0,https://pleiades.stoa.org/places/226564,
pl-465828943,Mint at Chersonesos,building,pin,precise,44.6108252,33.4922319,-330,2099,78.4,0,https://pleiades.stoa.org/places/465828943,
pl-300822382,House with Pebble Mosaic,house,pin,precise,44.6125687785,33.4910982893,-330,2100,78.5,0,https://pleiades.stoa.org/places/300822382,
pl-226533,Bel'bekskoye,settlement,pin,precise,44.682449,33.560769,-330,300,88.0,0,https://pleiades.stoa.org/places/226533,
pl-228868,Mangup,settlement,pin,precise,44.59281,33.80093,-30,2100,91.7,0,https://pleiades.stoa.org/places/228868,
pl-815435568,Frontovoe 3 Cemetery,cemetery,pin,precise,44.672701,33.723951,2000,2099,94.4,0,https://pleiades.stoa.org/places/815435568,
pl-43240983,Stena 1,settlement|archaeological-site,pin,precise,44.6750187835,33.7242316899,-700,2099,94.6,0,https://pleiades.stoa.org/places/43240983,
pl-226642,Kachinskoye,settlement,pin,precise,44.777087,33.544505,-330,300,96.6,0,https://pleiades.stoa.org/places/226642,
pl-226672,Kulakovsky,tumulus,pin,precise,44.692144,33.785277,-750,-330,99.1,0,https://pleiades.stoa.org/places/226672,
pl-226562,Charax,fort-2|settlement,pin,precise,44.430727,34.12825,-330,640,101.9,0,https://pleiades.stoa.org/places/226562,
pl-226793,Tracheia Chersonesos,peninsula|label,pin,precise,44.6924864972,33.8405033464,-750,640,102.0,0,https://pleiades.stoa.org/places/226793,
pl-226669,Krasnozorinskoye,settlement,pin,precise,44.732489,33.780258,-330,300,102.4,0,https://pleiades.stoa.org/places/226669,
pl-226790,Topchikoy,settlement,pin,precise,44.749951,33.766689,-330,300,103.3,0,https://pleiades.stoa.org/places/226790,
pl-226803,Ust'-Al'minskoye,settlement,pin,precise,44.843777735,33.5886741853,-330,640,104.8,0,https://pleiades.stoa.org/places/226803,
pl-229578,Palakion/Placia,unlocated|settlement,wash,related,44.843823601,33.5886749429,-330,300,104.8,0,https://pleiades.stoa.org/places/229578,
pl-226674,Lagyra,settlement,pin,precise,44.500726,34.184323,-330,300,109.5,0,https://pleiades.stoa.org/places/226674,
pl-226780,Tauroskythai,label|people,pin,precise,44.9276638189,33.6669815789,-30,640,115.9,0,https://pleiades.stoa.org/places/226780,
pl-226614,Gurzuf,sanctuary,pin,precise,44.552758,34.287505,-330,300,119.5,0,https://pleiades.stoa.org/places/226614,
