# ==========================================================================
# PROPONTIS-EXTENTS.csv  ->  Amenti.live/PROPONTIS-EXTENTS.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# 
# The places in this frame that ARE AN AREA. Points are omitted —
# PROPONTIS.csv holds those correctly.
# 
# box=extent  a real bound, full-precision corners
# box=grid    a 0.25-degree fallback CELL, not a shape. A GRID CELL IS
#             NOT AN EXTENT AND MUST NOT DRAW AS ONE.
# shares_box  how many places carry this identical box. More than one
#             on a grid cell is the fallback showing.
# ==========================================================================
key,name,box,precision,lon0,lat0,lon1,lat1,width_km,height_km,repr_lat,repr_lon,shares_box,uri
pl-48050879,Delian League,extent,related,23.436606,37.0531492,31.9102407,46.6964665,751.7,1072.3,39.4435563108,26.4869573384,1,https://pleiades.stoa.org/places/48050879
pl-177302800,Attalid kingdom,extent,related,23.430141,36.887059,34.63,40.33333,995.5,383.2,38.618123373,27.5690770984,1,https://pleiades.stoa.org/places/177302800
pl-991378,Moesia Inferior,grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/991378
pl-1001917,Bithynia,grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/1001917
pl-991376,Europa,grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/991376
pl-991377,Haemimontus,grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/991377
pl-991379,Scythia,grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/991379
pl-1001887,Europe,grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/1001887
pl-1001889,Thrake,grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/1001889
pl-1001890,Haimimontos (province),grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/1001890
pl-1001891,Mysia II (province),grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/1001891
pl-1001892,Skythia,grid,rough,25.0,40.0,30.0,45.0,425.8,556.0,42.5,27.5,10,https://pleiades.stoa.org/places/1001892
pl-981509,Asia (Roman province),extent,related,26.480833,37.041038,29.609445,40.389806,277.7,372.4,38.4607221567,27.7761048198,1,https://pleiades.stoa.org/places/981509
pl-552662,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552662
pl-552663,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552663
pl-552664,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552664
pl-552665,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552665
pl-552666,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552666
pl-552667,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552667
pl-552668,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552668
pl-552669,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552669
pl-552670,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552670
pl-552671,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552671
pl-552672,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552672
pl-552673,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552673
pl-552674,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552674
pl-552675,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552675
pl-552676,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552676
pl-552677,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552677
pl-552678,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552678
pl-552680,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552680
pl-552681,Untitled,grid,rough,25.0,38.0,29.0,40.5,350.5,278.0,39.25,27.0,25,https://pleiades.stoa.org/places/552681
