# ==========================================================================
# PROPONTIS.csv  ->  Amenti.live/PROPONTIS.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# DO NOT HAND-EDIT except the `why` column. Re-run the tool.
# 
# frame  propontis · The Propontis · 40.60,28.20 · 240 km
# detail reference   NOTHING HAS BEEN AUTHORED ON THIS FRAME.
# 
# tier       pin = a specific position · wash = bounds to seek within
# precision  precise | rough | related — `related` means the bound is
#            assembled from CONNECTED PLACES, not from this one
# unplaced   1 = the coordinate is a 1/8-degree FALLBACK, not a location.
#            Such a row must not draw: a wash would claim bounds it
#            does not have. See GEO.json — unplaced = NO MARK.
# why        the only authored column. Pleiades holds none of it.
# ==========================================================================
key,name,kind,tier,precision,lat,lon,from,until,km,unplaced,uri,why
pl-673781370,Acanthus (island),unlocated|island,wash,related,40.6666672,28.2499999,-30,300,8.5,0,https://pleiades.stoa.org/places/673781370,
pl-511381,Propontis,water-open,pin,precise,40.6666672,28.2499999,-550,2100,8.5,0,https://pleiades.stoa.org/places/511381,
pl-511366,Plakia,settlement,pin,precise,40.397648,28.27741,-550,300,23.4,0,https://pleiades.stoa.org/places/511366,
pl-511419,Skylake,settlement,pin,precise,40.387037,28.388808,-550,300,28.6,0,https://pleiades.stoa.org/places/511419,
pl-511186,Besbikos (island),island,pin,precise,40.5430939387,28.5334599744,-330,2100,28.9,0,https://pleiades.stoa.org/places/511186,
pl-511155,Arctonnesos Ins.,island,pin,precise,40.46,27.87,-30,2100,31.9,0,https://pleiades.stoa.org/places/511155,
pl-511140,Aigaionos Monu.,monument,pin,precise,40.348523,28.393852,-330,-30,32.4,0,https://pleiades.stoa.org/places/511140,
pl-511236,Dindymon (mountain),mountain,pin,precise,40.466667,27.833333,-330,2100,34.4,0,https://pleiades.stoa.org/places/511236,
pl-263157373,Roman amphitheater at Cyzicus,amphitheatre,pin,precise,40.3982552,27.8846826,-30,640,34.8,0,https://pleiades.stoa.org/places/263157373,
pl-511159,Artaiouteichos,settlement,pin,precise,40.366649,28.478392,-550,-330,35.0,0,https://pleiades.stoa.org/places/511159,
pl-511440,Thrakia Kome,settlement,pin,precise,40.361304,27.927064,-330,300,35.2,0,https://pleiades.stoa.org/places/511440,
pl-511218,Cyzicus,settlement,pin,precise,40.3855645,27.883191,-750,2000,35.9,0,https://pleiades.stoa.org/places/511218,
pl-511182,Bathys Limen,settlement,pin,precise,40.51253,27.785319,-330,-30,36.4,0,https://pleiades.stoa.org/places/511182,
pl-511238,Dolionis,label|people,pin,precise,40.2908356762,28.031639489,-330,640,37.2,0,https://pleiades.stoa.org/places/511238,
pl-511362,Phrygia,region|label,pin,precise,40.2584891463,28.2489218266,-550,300,38.2,0,https://pleiades.stoa.org/places/511362,
pl-511139,Adrasteia (mountain),mountain|label,pin,precise,40.3446868898,27.8674995785,-30,300,40.0,0,https://pleiades.stoa.org/places/511139,
pl-511312,Mekestos (river),river,pin,precise,40.2767715901,28.4216302084,-330,2100,40.5,0,https://pleiades.stoa.org/places/511312,
pl-511158,Artace,settlement,pin,precise,40.402952,27.796268,-700,2000,40.6,0,https://pleiades.stoa.org/places/511158,
pl-511314,Melanos Pr.,cape,pin,precise,40.384,27.798,-30,2100,41.6,0,https://pleiades.stoa.org/places/511314,
pl-511160,Artake Ins.,island,pin,precise,40.375,27.786,-30,2100,43.0,0,https://pleiades.stoa.org/places/511160,
pl-513402,Unnamed quarry (on Proconnesus Ins.),quarry,pin,precise,40.629,27.666,-550,640,45.2,0,https://pleiades.stoa.org/places/513402,
pl-511357,Perinthus/Heraclea,settlement,pin,precise,40.971013,27.952973,-330,2099,46.2,0,https://pleiades.stoa.org/places/511357,
pl-511340,Odryses (river),river,pin,precise,40.1834371973,28.2111362419,-330,2100,46.3,0,https://pleiades.stoa.org/places/511340,
pl-511226,Daskyleion,settlement,pin,precise,40.377645,28.674196,-550,300,47.1,0,https://pleiades.stoa.org/places/511226,
pl-521043,Ioulianou/Sophias Limen,water-open,pin,precise,41.0,28.0,300,2100,47.6,1,https://pleiades.stoa.org/places/521043,
pl-511320,Miletouteichos,settlement|settlement-modern,pin,precise,40.2079643206,28.4309367475,-550,2099,47.8,0,https://pleiades.stoa.org/places/511320,
pl-735571887,Constantine's Bridge (Mysia),bridge,pin,precise,40.2044109,28.44182385,-30,640,48.5,0,https://pleiades.stoa.org/places/735571887,
pl-511370,Poseideion/Triton Pr.,cape,wash,rough,40.75,28.75,-330,2100,49.3,1,https://pleiades.stoa.org/places/511370,
pl-511379,Proconnesus (island),island,pin,precise,40.616667,27.616667,-750,2100,49.3,0,https://pleiades.stoa.org/places/511379,
pl-511452,Triton,labeled feature,wash,rough,40.75,28.75,-330,300,49.3,1,https://pleiades.stoa.org/places/511452,
pl-511224,Daskylitis Limne,lake,pin,precise,40.1877820273,27.9707275,-550,2100,49.8,0,https://pleiades.stoa.org/places/511224,
pl-511263,Halone (island),island,pin,precise,40.4747343723,27.6265899535,-30,2100,50.4,0,https://pleiades.stoa.org/places/511263,
pl-511325,Mygdonia,region,wash,related,40.183333,27.966667,-330,640,50.4,0,https://pleiades.stoa.org/places/511325,
pl-511262,Halone (settlement),settlement|settlement-modern,pin,precise,40.489517,27.607365,-30,2099,51.6,0,https://pleiades.stoa.org/places/511262,
pl-511401,Rhyndakos (river),river,pin,precise,40.1738865248,28.4537863475,-30,2100,52.0,0,https://pleiades.stoa.org/places/511401,
pl-511227,Daunion Teichos,settlement,pin,precise,41.053506,28.038408,-550,-330,52.2,0,https://pleiades.stoa.org/places/511227,
pl-511201,‘Callum’,station,pin,precise,41.051365,28.418437,300,640,53.4,0,https://pleiades.stoa.org/places/511201,
pl-511414,Sely(m)bria/Eudoxiopolis,settlement,pin,precise,41.078496,28.247677,-550,2099,53.4,0,https://pleiades.stoa.org/places/511414,
pl-511225,Daskyleion,settlement|archaeological-site,pin,precise,40.1324945443,28.0507383634,-750,2100,53.5,0,https://pleiades.stoa.org/places/511225,
pl-511378,Proconnesus (settlement),settlement,pin,precise,40.591686,27.55568,-750,640,54.4,0,https://pleiades.stoa.org/places/511378,
pl-511250,Enbeilos (river),river,wash,rough,40.25,27.75,-30,300,54.5,1,https://pleiades.stoa.org/places/511250,
pl-511334,Neon Teichos,settlement,pin,precise,41.017925,27.824531,-550,-330,56.2,0,https://pleiades.stoa.org/places/511334,
pl-511222,Daphnous,settlement,pin,precise,40.171739,28.588844,-330,-30,57.9,0,https://pleiades.stoa.org/places/511222,
pl-579175360,Church of the Archangels at Sige,church-2,pin,precise,40.3852778,28.8270772,650,2100,58.2,0,https://pleiades.stoa.org/places/579175360,
pl-511319,Miletopolitis/Apolloniatis/Artynia (lake),lake,pin,precise,40.173107181,28.596826412,-330,2100,58.2,0,https://pleiades.stoa.org/places/511319,
pl-511318,Miletopolis,settlement,pin,precise,40.083458,28.316486,-550,640,58.3,0,https://pleiades.stoa.org/places/511318,
