name,lat,lon
# REGION-PLACES.csv  ->  Amenti.live/REGION-PLACES.csv
#
# HEADER ON LINE 1, COMMENTS AFTER.
#
# THE ROOM, NOT THE ARGUMENT. The slides drew only the places they named, so a
# map of the whole theatre was three or four dots in an empty sea. A READER
# CANNOT PLACE A STORY ON A MAP WITH NOTHING ON IT.
#
# These draw FAINT and carry no glyph, no legend line and no claim. A place a
# slide names and this list also holds is drawn ONCE, bright, by the slide.
#
# ── IT WAS NAMED IN THE HANDOFF AND WAS NEVER ON MAIN · 12 Sep 2026 ─────────
# `REGION-PLACES.csv, 30 places, the standing geography` was listed under what
# was aboard and working. It 404'd on every load since the layer was written.
# loadRegion() caught the failure, set the list to empty, and DREW NOTHING
# WITHOUT SAYING SO — which is the Empty Glass fault in a register rather than
# an answer. The loader now names it when it cannot read it.
#
# WHAT THESE ARE. Settlements of the theatre, standing through the whole
# period. They are geography and not events: none of them is a claim about the
# campaign, and no passage is cited for them because none is needed to say that
# Ephesos is at 37.94, 27.34.
#
Athens,37.9760,23.7270
Corinth,37.9060,22.8800
Argos,37.6310,22.7190
Sparta,37.0810,22.4230
Thebes,38.3200,23.3190
Delphi,38.4820,22.5010
Chalkis,38.4630,23.6000
Eretria,38.3980,23.7930
Megara,37.9950,23.3390
Marathon,38.1550,23.9630
Larissa,39.6390,22.4190
Pella,40.7600,22.5240
Amphipolis,40.8210,23.8420
Abdera,40.9420,24.9740
Byzantion,41.0130,28.9760
Kyzikos,40.3830,27.8880
Abydos,40.1930,26.4070
Troy,39.9570,26.2390
Mytilene,39.1100,26.5540
Smyrna,38.4190,27.1290
Ephesos,37.9410,27.3410
Sardis,38.4870,28.0400
Miletos,37.5300,27.2770
Halikarnassos,37.0380,27.4240
Knidos,36.6860,27.3740
Rhodes,36.4440,28.2270
Xanthos,36.3560,29.3200
Side,36.7670,31.3890
Tarsos,36.9200,34.8940
Soloi,36.7480,34.6000
Salamis,35.1840,33.9040
Paphos,34.7570,32.4060
Knossos,35.2980,25.1630
Naxos,37.1030,25.5260
Delos,37.3930,25.2680
Samos,37.7550,26.9770
Chios,38.3680,26.1360
Thera,36.4160,25.4320
