# ==========================================================================
# RHENUS-EXTENTS.csv  ->  Amenti.live/RHENUS-EXTENTS.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# 
# The places in this frame that ARE AN AREA. Points are omitted —
# RHENUS.csv holds those correctly.
# 
# box=extent  a real bound, full-precision corners
# box=grid    a 0.25-degree fallback CELL, not a shape. A GRID CELL IS
#             NOT AN EXTENT AND MUST NOT DRAW AS ONE.
# shares_box  how many places carry this identical box. More than one
#             on a grid cell is the fallback showing.
# ==========================================================================
key,name,box,precision,lon0,lat0,lon1,lat1,width_km,height_km,repr_lat,repr_lon,shares_box,uri
pl-246151,Agiria,extent,precise,-1.5020884,40.0984878,27.074936,57.795172,2420.1,1967.8,48.9468047559,12.7863547223,1,https://pleiades.stoa.org/places/246151
pl-113252,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113252
pl-113253,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113253
pl-113254,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113254
pl-113255,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113255
pl-113256,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113256
pl-113257,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113257
pl-113258,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113258
pl-113259,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113259
pl-113260,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113260
pl-113261,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113261
pl-113263,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113263
pl-113264,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113264
pl-113265,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113265
pl-113266,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113266
pl-113267,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113267
pl-113271,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113271
pl-113272,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113272
pl-113273,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113273
pl-113275,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113275
pl-113276,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113276
pl-113277,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113277
pl-113278,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113278
pl-113279,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113279
pl-113280,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113280
pl-113281,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113281
pl-113283,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113283
pl-113284,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113284
pl-113285,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113285
pl-113286,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113286
pl-113287,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113287
pl-113288,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113288
pl-113290,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113290
pl-113291,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113291
pl-113292,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113292
pl-113293,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113293
pl-113294,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113294
pl-113296,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113296
pl-113297,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113297
pl-113298,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113298
pl-113299,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113299
pl-113300,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113300
pl-113301,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113301
pl-113302,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113302
pl-113303,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113303
pl-113305,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113305
pl-113306,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113306
pl-113307,Unnamed road segment,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113307
pl-113308,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113308
pl-113309,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113309
pl-113310,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113310
pl-113311,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113311
pl-113312,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113312
pl-113313,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113313
pl-113314,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113314
pl-113315,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113315
pl-113316,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113316
pl-113317,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113317
pl-113319,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113319
pl-113320,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113320
pl-113321,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113321
pl-113322,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113322
pl-113323,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113323
pl-113324,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113324
pl-113325,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113325
pl-113326,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113326
pl-113327,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113327
pl-113328,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113328
pl-113329,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113329
pl-113330,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113330
pl-113331,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113331
pl-113332,Untitled,grid,rough,0.0,47.0,9.0,52.0,682.1,556.0,49.5,4.5,72,https://pleiades.stoa.org/places/113332
