# ==========================================================================
# RHENUS.csv  ->  Amenti.live/RHENUS.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# DO NOT HAND-EDIT except the `why` column. Re-run the tool.
# 
# frame  rhenus · The Rhine & upper Danube · 49.50,8.50 · 400 km
# detail reference   NOTHING HAS BEEN AUTHORED ON THIS FRAME.
# 
# tier       pin = a specific position · wash = bounds to seek within
# precision  precise | rough | related — `related` means the bound is
#            assembled from CONNECTED PLACES, not from this one
# unplaced   1 = the coordinate is a 1/8-degree FALLBACK, not a location.
#            Such a row must not draw: a wash would claim bounds it
#            does not have. See GEO.json — unplaced = NO MARK.
# why        the only authored column. Pleiades holds none of it.
# ==========================================================================
key,name,kind,tier,precision,lat,lon,from,until,km,unplaced,uri,why
pl-120053,Unnamed bridge in bog north of Gernsheim,bridge,wash,rough,49.5,8.5,-30,640,0.0,1,https://pleiades.stoa.org/places/120053,
pl-120054,Untitled,bridge,wash,rough,49.5,8.5,-30,640,0.0,1,https://pleiades.stoa.org/places/120054,
pl-120055,Untitled,bridge,wash,rough,49.5,8.5,-30,640,0.0,1,https://pleiades.stoa.org/places/120055,
pl-109480,Untitled,aqueduct,wash,rough,49.5,8.5,-30,640,0.0,1,https://pleiades.stoa.org/places/109480,
pl-118982,Suebi Nicretes,label|people,pin,precise,49.5279196105,8.47937316161,-30,300,3.4,0,https://pleiades.stoa.org/places/118982,
pl-109192,Neckarau,fort,pin,precise,49.452971,8.492335,300,640,5.3,0,https://pleiades.stoa.org/places/109192,
pl-109123,Ludwigshafen,fort,pin,precise,49.4606205,8.441504,-30,640,6.1,0,https://pleiades.stoa.org/places/109123,
pl-108735,Alta Ripa,fort-2,pin,precise,49.431501,8.498955,300,640,7.6,0,https://pleiades.stoa.org/places/108735,
pl-118813,Lopodunum,settlement,pin,precise,49.47416,8.614162,-30,2100,8.7,0,https://pleiades.stoa.org/places/118813,
pl-109186,Mutterstadt,settlement,pin,precise,49.443823,8.354279,-30,640,12.2,0,https://pleiades.stoa.org/places/109186,
pl-118731,Roman Heidelberg,settlement,pin,precise,49.413509,8.681124,-30,2100,16.2,0,https://pleiades.stoa.org/places/118731,
pl-118735,Heiligenberg,settlement,pin,precise,49.425815,8.706091,300,640,17.0,0,https://pleiades.stoa.org/places/118735,
pl-108820,Borbetomagus,settlement,pin,precise,49.630359,8.3588465,-30,640,17.7,0,https://pleiades.stoa.org/places/108820,
pl-109224,Noviomagus/Nemetae,settlement,pin,precise,49.3172545,8.436718,-30,640,20.8,0,https://pleiades.stoa.org/places/109224,
pl-108737,Altlussheim,settlement,pin,precise,49.302221,8.497719,-30,300,22.0,0,https://pleiades.stoa.org/places/108737,
pl-109473,Zullestein,castle|fort,pin,precise,49.70358,8.391102,300,640,24.0,0,https://pleiades.stoa.org/places/109473,
pl-118882,Nussloch,mine-2,pin,precise,49.322762,8.695623,-30,300,24.3,0,https://pleiades.stoa.org/places/118882,
pl-108784,Bad Dürkheim,settlement|quarry,pin,precise,49.462147,8.165507,-30,640,24.5,0,https://pleiades.stoa.org/places/108784,
pl-99009,Melibokon? Oros,mountain,pin,precise,49.72496,8.6368924,-30,2100,26.9,0,https://pleiades.stoa.org/places/99009,
pl-109006,Gernsheim,fort-2,pin,precise,49.750419,8.4858,-30,300,27.9,0,https://pleiades.stoa.org/places/109006,
pl-118675,Felsberg,quarry,pin,precise,49.728438,8.699379,-30,640,29.2,0,https://pleiades.stoa.org/places/118675,
pl-118664,*Elantia (river),river,pin,precise,49.3223042891,8.8111053152,-30,2100,29.9,0,https://pleiades.stoa.org/places/118664,
pl-109450,Waghäusel,fort,pin,precise,49.22980325,8.52657595,-30,300,30.1,0,https://pleiades.stoa.org/places/109450,
pl-109460,Westheim,settlement,pin,precise,49.249096,8.323509,-30,300,30.7,0,https://pleiades.stoa.org/places/109460,
pl-109288,Rouphiniana?,settlement,pin,precise,49.5550286,8.0783287,-30,640,31.0,0,https://pleiades.stoa.org/places/109288,
pl-243310943,Vicus Nediensis,settlement-modern|vicus,pin,precise,49.3464,8.88333,-30,2100,32.6,0,https://pleiades.stoa.org/places/243310943,
pl-109428,Vicus Iulius,settlement,pin,precise,49.218856,8.369585,-30,640,32.7,0,https://pleiades.stoa.org/places/109428,
pl-109012,Göllheim,mine,pin,precise,49.594028,8.054102,-30,300,33.8,0,https://pleiades.stoa.org/places/109012,
pl-109269,Ramsen,mine-2,pin,precise,49.537387,8.013822,-30,300,35.3,0,https://pleiades.stoa.org/places/109269,
pl-118555,*Alisina (river),river,pin,precise,49.2460130492,8.85971098351,-30,2099,38.4,0,https://pleiades.stoa.org/places/118555,
pl-108736,*Altiaia,fort-2,pin,precise,49.7428902802,8.11740120214,-30,2100,38.6,0,https://pleiades.stoa.org/places/108736,
pl-119009,Ubstadt,station,pin,precise,49.162108,8.632329,-30,300,38.8,0,https://pleiades.stoa.org/places/119009,
pl-109410,Vangiones,label|people,pin,precise,49.744366722,8.07390078196,-330,300,41.0,0,https://pleiades.stoa.org/places/109410,
pl-118948,*Saliobriga,settlement,pin,precise,49.239664,8.910357,-30,300,41.5,0,https://pleiades.stoa.org/places/118948,
pl-108835,Buconica,station,pin,precise,49.871456,8.344365,-30,640,42.8,0,https://pleiades.stoa.org/places/108835,
pl-118741,Hesselbach,fort,pin,precise,49.575377,9.0900895,-30,300,43.4,0,https://pleiades.stoa.org/places/118741,
pl-119055,Würzberg,fort,pin,precise,49.634167,9.075278,-30,300,44.1,0,https://pleiades.stoa.org/places/119055,
pl-346876399,Haselburg,villa,pin,precise,49.7733901016,8.94463490762,-30,640,44.2,0,https://pleiades.stoa.org/places/346876399,
pl-108930,Donnersberg,settlement,pin,precise,49.6287477834,7.91958722815,-330,-30,44.2,0,https://pleiades.stoa.org/places/108930,
pl-109200,Neupotz,settlement,pin,precise,49.117657,8.317387,-30,300,44.5,0,https://pleiades.stoa.org/places/109200,
pl-109388,Trebur,settlement,pin,precise,49.897132,8.3896705,-30,640,44.9,0,https://pleiades.stoa.org/places/109388,
pl-109362,Tabernae,settlement,pin,precise,49.119313,8.278086,-30,640,45.3,0,https://pleiades.stoa.org/places/109362,
pl-109064,Imsbach,mine,pin,precise,49.582328,7.879448,-30,300,45.7,0,https://pleiades.stoa.org/places/109064,
pl-118671,Eulbach,fort,pin,precise,49.6797875,9.077017,-30,300,46.1,0,https://pleiades.stoa.org/places/118671,
pl-109020,Gross-Gerau,fort,pin,precise,49.921439,8.481843,-30,300,46.9,0,https://pleiades.stoa.org/places/109020,
pl-118890,Oberscheidental,fort,pin,precise,49.507236,9.1511525,-30,300,47.0,0,https://pleiades.stoa.org/places/118890,
pl-118955,Schlossau,fort,pin,precise,49.5399625,9.150399,-30,300,47.2,0,https://pleiades.stoa.org/places/118955,
pl-981525,Germania Superior,province-2,wash,related,49.2146706667,8.01574741667,,,47.3,0,https://pleiades.stoa.org/places/981525,
pl-109423,Vicus Augustanus,settlement,pin,precise,49.924327,8.409495,-30,300,47.6,0,https://pleiades.stoa.org/places/109423,
pl-109196,Nemetes,label|people,pin,precise,49.1909363703,8.01742046481,-330,300,49.0,0,https://pleiades.stoa.org/places/109196,
pl-118724,Hainhaus,fort,pin,precise,49.7331225,9.08342,-30,300,49.4,0,https://pleiades.stoa.org/places/118724,
pl-118862,Neckarburken,fort-2|fort,pin,precise,49.3767085,9.1702634,-30,300,50.4,0,https://pleiades.stoa.org/places/118862,
pl-118839,Med(...),settlement,pin,precise,49.899218,8.846476,-30,300,50.9,0,https://pleiades.stoa.org/places/118839,
pl-118822,Lützelbach,fort,pin,precise,49.7794149,9.08849505,-30,300,52.5,0,https://pleiades.stoa.org/places/118822,
pl-109075,Karlsruhe,settlement,pin,precise,49.008093,8.403768,-30,300,55.1,0,https://pleiades.stoa.org/places/109075,
pl-118959,Seckmauern,fort,pin,precise,49.794326,9.1196265,-30,300,55.3,0,https://pleiades.stoa.org/places/118959,
pl-109294,Rüsselsheim,fort,pin,precise,49.994882,8.410847,-30,300,55.4,0,https://pleiades.stoa.org/places/109294,
pl-109027,Hagenbach,settlement,pin,precise,49.020511,8.251658,-30,300,56.3,0,https://pleiades.stoa.org/places/109027,
pl-119024,Vicus Alisinensium,settlement,pin,precise,49.2311405,9.1689575,-30,300,56.9,0,https://pleiades.stoa.org/places/119024,
pl-365824232,Roman theater at Mogontiacum,theatre,pin,precise,49.9930502089,8.27802075007,-30,300,57.1,0,https://pleiades.stoa.org/places/365824232,
pl-590493733,Drususstein (Drususstone) at Mogontiacum,cenotaph|monument,pin,precise,49.9921360451,8.27419962373,-100,300,57.1,0,https://pleiades.stoa.org/places/590493733,
