# ==========================================================================
# SICILIA-EXTENTS.csv  ->  Amenti.live/SICILIA-EXTENTS.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# 
# The places in this frame that ARE AN AREA. Points are omitted —
# SICILIA.csv holds those correctly.
# 
# box=extent  a real bound, full-precision corners
# box=grid    a 0.25-degree fallback CELL, not a shape. A GRID CELL IS
#             NOT AN EXTENT AND MUST NOT DRAW AS ONE.
# shares_box  how many places carry this identical box. More than one
#             on a grid cell is the fallback showing.
# ==========================================================================
key,name,box,precision,lon0,lat0,lon1,lat1,width_km,height_km,repr_lat,repr_lon,shares_box,uri
pl-462492,Sicilia (island),extent,related,8.59403546877,36.683441,15.6530796,38.2678505,629.3,176.2,37.592530586,14.0465172229,1,https://pleiades.stoa.org/places/462492
pl-455268,Untitled,grid,rough,14.5,37.0,17.5,40.5,266.4,389.2,38.75,16.0,17,https://pleiades.stoa.org/places/455268
pl-455269,Untitled,grid,rough,14.5,37.0,17.5,40.5,266.4,389.2,38.75,16.0,17,https://pleiades.stoa.org/places/455269
pl-455271,Untitled,grid,rough,14.5,37.0,17.5,40.5,266.4,389.2,38.75,16.0,17,https://pleiades.stoa.org/places/455271
pl-455272,Untitled,grid,rough,14.5,37.0,17.5,40.5,266.4,389.2,38.75,16.0,17,https://pleiades.stoa.org/places/455272
pl-455273,Untitled,grid,rough,14.5,37.0,17.5,40.5,266.4,389.2,38.75,16.0,17,https://pleiades.stoa.org/places/455273
pl-455275,Untitled,grid,rough,14.5,37.0,17.5,40.5,266.4,389.2,38.75,16.0,17,https://pleiades.stoa.org/places/455275
pl-455276,Untitled,grid,rough,14.5,37.0,17.5,40.5,266.4,389.2,38.75,16.0,17,https://pleiades.stoa.org/places/455276
pl-455277,Untitled,grid,rough,14.5,37.0,17.5,40.5,266.4,389.2,38.75,16.0,17,https://pleiades.stoa.org/places/455277
pl-455278,Untitled,grid,rough,14.5,37.0,17.5,40.5,266.4,389.2,38.75,16.0,17,https://pleiades.stoa.org/places/455278
pl-455279,Untitled,grid,rough,14.5,37.0,17.5,40.5,266.4,389.2,38.75,16.0,17,https://pleiades.stoa.org/places/455279
pl-455280,Untitled,grid,rough,14.5,37.0,17.5,40.5,266.4,389.2,38.75,16.0,17,https://pleiades.stoa.org/places/455280
pl-455281,Untitled,grid,rough,14.5,37.0,17.5,40.5,266.4,389.2,38.75,16.0,17,https://pleiades.stoa.org/places/455281
pl-455282,Untitled,grid,rough,14.5,37.0,17.5,40.5,266.4,389.2,38.75,16.0,17,https://pleiades.stoa.org/places/455282
pl-455283,Road segment: Metaurum → Cittanova,grid,rough,14.5,37.0,17.5,40.5,266.4,389.2,38.75,16.0,17,https://pleiades.stoa.org/places/455283
pl-455284,Untitled,grid,rough,14.5,37.0,17.5,40.5,266.4,389.2,38.75,16.0,17,https://pleiades.stoa.org/places/455284
pl-455286,Unnamed road segment,grid,rough,14.5,37.0,17.5,40.5,266.4,389.2,38.75,16.0,17,https://pleiades.stoa.org/places/455286
pl-455287,Untitled,grid,rough,14.5,37.0,17.5,40.5,266.4,389.2,38.75,16.0,17,https://pleiades.stoa.org/places/455287
pl-462503,Syracusae/Syrakousai,extent,related,13.8190089,36.8672637,22.881385,37.9724362,805.9,122.9,37.070078971,15.2833356581,1,https://pleiades.stoa.org/places/462503
pl-462076,Aeoliae (islands),extent,related,14.3390351,38.4042,15.213,38.789,76.2,42.8,38.5798384282,14.882582216,1,https://pleiades.stoa.org/places/462076
pl-462233,Helorion Pedion,grid,rough,15.0,36.5,15.5,37.0,44.7,55.6,36.75,15.25,5,https://pleiades.stoa.org/places/462233
pl-462395,Oanis (river),grid,rough,14.5,36.5,15.0,37.0,44.7,55.6,36.75,14.75,1,https://pleiades.stoa.org/places/462395
pl-462404,Pachynos (river),grid,rough,15.0,36.5,15.5,37.0,44.7,55.6,36.75,15.25,5,https://pleiades.stoa.org/places/462404
pl-462064,Abollas (river),grid,rough,15.0,36.5,15.5,37.0,44.7,55.6,36.75,15.25,5,https://pleiades.stoa.org/places/462064
pl-462105,Assinaros (river),grid,rough,15.0,36.5,15.5,37.0,44.7,55.6,36.75,15.25,5,https://pleiades.stoa.org/places/462105
pl-462200,Erineos (river),grid,rough,15.0,36.5,15.5,37.0,44.7,55.6,36.75,15.25,5,https://pleiades.stoa.org/places/462200
pl-462276,Lakkios,grid,rough,15.0,37.0,15.5,37.5,44.4,55.6,37.25,15.25,8,https://pleiades.stoa.org/places/462276
pl-462308,Megari Sinus,grid,rough,15.0,37.0,15.5,37.5,44.4,55.6,37.25,15.25,8,https://pleiades.stoa.org/places/462308
pl-462380,Mylas (river),grid,rough,15.0,37.0,15.5,37.5,44.4,55.6,37.25,15.25,8,https://pleiades.stoa.org/places/462380
pl-462397,Odysseia Akra,grid,rough,15.0,37.0,15.5,37.5,44.4,55.6,37.25,15.25,8,https://pleiades.stoa.org/places/462397
pl-462499,Sossios (river),grid,rough,13.0,37.0,13.5,37.5,44.4,55.6,37.25,13.25,1,https://pleiades.stoa.org/places/462499
pl-462508,Terias (river),grid,rough,15.0,37.0,15.5,37.5,44.4,55.6,37.25,15.25,8,https://pleiades.stoa.org/places/462508
pl-462526,Trogilos,grid,rough,15.0,37.0,15.5,37.5,44.4,55.6,37.25,15.25,8,https://pleiades.stoa.org/places/462526
pl-462818,Untitled,grid,rough,14.0,37.0,14.5,37.5,44.4,55.6,37.25,14.25,1,https://pleiades.stoa.org/places/462818
pl-462821,Untitled,grid,rough,15.0,37.0,15.5,37.5,44.4,55.6,37.25,15.25,8,https://pleiades.stoa.org/places/462821
pl-462085,Akragas (river),grid,rough,13.5,37.0,14.0,37.5,44.4,55.6,37.25,13.75,1,https://pleiades.stoa.org/places/462085
pl-462104,Assia? (river),grid,rough,15.0,37.0,15.5,37.5,44.4,55.6,37.25,15.25,8,https://pleiades.stoa.org/places/462104
pl-462817,Untitled,grid,rough,13.5,37.5,14.0,38.0,44.1,55.6,37.75,13.75,2,https://pleiades.stoa.org/places/462817
pl-462819,Untitled,grid,rough,15.0,37.5,15.5,38.0,44.1,55.6,37.75,15.25,3,https://pleiades.stoa.org/places/462819
pl-462820,Untitled,grid,rough,15.0,37.5,15.5,38.0,44.1,55.6,37.75,15.25,3,https://pleiades.stoa.org/places/462820
