# ==========================================================================
# SICILIA.csv  ->  Amenti.live/SICILIA.csv
# GENERATED by tools/harvest-frame.py from Pleiades · CC BY 3.0
# DO NOT HAND-EDIT except the `why` column. Re-run the tool.
# 
# frame  sicilia · Sicily & the Straits · 37.40,14.40 · 220 km
# detail reference   NOTHING HAS BEEN AUTHORED ON THIS FRAME.
# 
# tier       pin = a specific position · wash = bounds to seek within
# precision  precise | rough | related — `related` means the bound is
#            assembled from CONNECTED PLACES, not from this one
# unplaced   1 = the coordinate is a 1/8-degree FALLBACK, not a location.
#            Such a row must not draw: a wash would claim bounds it
#            does not have. See GEO.json — unplaced = NO MARK.
# why        the only authored column. Pleiades holds none of it.
# ==========================================================================
key,name,kind,tier,precision,lat,lon,from,until,km,unplaced,uri,why
pl-462435,Roman Villa and Medieval Settlement at Piazza Armerina,settlement|villa,pin,precise,37.364722,14.334722,-30,2100,7.0,0,https://pleiades.stoa.org/places/462435,
pl-462363,Monte Rossomanno,settlement|mountain,pin,precise,37.463466,14.3975348,-750,2100,7.1,0,https://pleiades.stoa.org/places/462363,
pl-462372,Morgantina,settlement|archaeological-site|plaza,pin,precise,37.4288453808,14.4769822201,-750,2100,7.5,0,https://pleiades.stoa.org/places/462372,
pl-966917974,Ekklesiasterion of Morgantina,ekklesiasterion,pin,precise,37.4306266884,14.4794806553,-550,2100,7.8,0,https://pleiades.stoa.org/places/966917974,
pl-462352,Monte Manganello,settlement|mountain,pin,precise,37.39113605,14.31212575,-550,2100,7.8,0,https://pleiades.stoa.org/places/462352,
pl-349338482,duplicate: Ekklesiasterion,ekklesiasterion,pin,precise,37.4308098,14.4796767,-330,-30,7.8,0,https://pleiades.stoa.org/places/349338482,
pl-180589624,Greek theater of Morgantina,theatre,pin,precise,37.4301355,14.4793751,-330,-30,7.8,0,https://pleiades.stoa.org/places/180589624,
pl-966917973,"Morgantina, House of Ganymede",townhouse,pin,precise,37.4304642838,14.4811432585,-330,2100,7.9,0,https://pleiades.stoa.org/places/966917973,
pl-462239,Herbessos?,settlement,pin,precise,37.4265766,14.3006101,-750,300,9.3,0,https://pleiades.stoa.org/places/462239,
pl-462354,Monte Navone,settlement|mountain,pin,precise,37.35647515,14.2880753,-750,2100,11.0,0,https://pleiades.stoa.org/places/462354,
pl-462423,Philosophiana,basilica|settlement|bath,pin,precise,37.319261464,14.2956854395,-330,2100,12.9,0,https://pleiades.stoa.org/places/462423,
pl-462217,Gerace Roman Villa,villa|archaeological-site,pin,precise,37.4653342663,14.2534017505,-30,2100,14.8,0,https://pleiades.stoa.org/places/462217,
pl-462417,Pergus L.,lake,pin,precise,37.5140424533,14.3058207289,-30,2100,15.2,0,https://pleiades.stoa.org/places/462417,
pl-462170,Cozzo Matrice,fortified-settlement|defensive-wall,pin,precise,37.5349431,14.3151441,-750,1999,16.8,0,https://pleiades.stoa.org/places/462170,
pl-462295,Maktorion?,settlement,pin,precise,37.2513551,14.33899985,-750,-330,17.4,0,https://pleiades.stoa.org/places/462295,
pl-462493,Siculi,label|people,pin,precise,37.47268909,14.5743279184,-750,300,17.4,0,https://pleiades.stoa.org/places/462493,
pl-462303,Mastro Paolo di Barrafranca,settlement,pin,precise,37.375679,14.200938,-330,640,17.8,0,https://pleiades.stoa.org/places/462303,
pl-462429,Piano dei Casazzi,settlement,pin,precise,37.302697,14.567071,-750,-330,18.3,0,https://pleiades.stoa.org/places/462429,
pl-462329,Monte Balchino di Altobrando,settlement,pin,precise,37.272863,14.55957,-750,-30,20.0,0,https://pleiades.stoa.org/places/462329,
pl-870078375,Castello di Lombardia,castle,pin,precise,37.5673685295,14.2883132836,1100,2099,21.1,0,https://pleiades.stoa.org/places/870078375,
pl-411378987,Rocca di Cerere,acropolis,pin,precise,37.5691823657,14.2893006513,2000,2099,21.2,0,https://pleiades.stoa.org/places/411378987,
pl-462238,Heraia (mountain),mountain,pin,precise,37.25,14.25,-30,2100,21.3,1,https://pleiades.stoa.org/places/462238,
pl-462365,Monte S. Mauro di Caltagirone,settlement,pin,precise,37.2161897678,14.4686489122,-2000,2100,21.3,0,https://pleiades.stoa.org/places/462365,
pl-462818,Untitled,aqueduct,wash,rough,37.25,14.25,-30,300,21.3,1,https://pleiades.stoa.org/places/462818,
pl-462236,(H)Enna,settlement|settlement-modern,pin,precise,37.56720465,14.28015265,-550,2100,21.4,0,https://pleiades.stoa.org/places/462236,
pl-462351,Monte Lavanca Nera,settlement|mountain,pin,precise,37.2364262,14.2634758,-750,2100,21.8,0,https://pleiades.stoa.org/places/462351,
pl-462472,Runzi di Pietraperzia,settlement,pin,precise,37.42113,14.137985,-330,300,23.3,0,https://pleiades.stoa.org/places/462472,
pl-386155228,Tomba del Timpano,tomb,pin,precise,37.3830326,14.6652855,-330,-30,23.5,0,https://pleiades.stoa.org/places/386155228,
pl-861485761,Tomba del Timpano,tomb,pin,precise,37.3830326,14.6652855,-750,-550,23.5,0,https://pleiades.stoa.org/places/861485761,
pl-462532,Ventrelli,villa,pin,precise,37.424203,14.665722,-30,300,23.6,0,https://pleiades.stoa.org/places/462532,
pl-462393,Noai?,settlement|mountain,pin,precise,37.5041514,14.63838175,-750,2100,24.0,0,https://pleiades.stoa.org/places/462393,
pl-462333,Monte Capodarso,settlement,pin,precise,37.495428,14.144764,-750,-330,24.9,0,https://pleiades.stoa.org/places/462333,
pl-462432,Piano della Clesia,villa,pin,precise,37.485641,14.13669,-30,1999,25.1,0,https://pleiades.stoa.org/places/462432,
pl-462106,Assorus,settlement|settlement-modern,pin,precise,37.6279049,14.4238862,-330,2100,25.4,0,https://pleiades.stoa.org/places/462106,
pl-462131,Capitoniana,station|settlement-modern,pin,precise,37.388048,14.692681,-30,2100,25.9,0,https://pleiades.stoa.org/places/462131,
pl-462322,Montagna di Ramacca,settlement,pin,precise,37.385176,14.693465,-750,-330,26.0,0,https://pleiades.stoa.org/places/462322,
pl-462139,Castellito di Ramacca,villa,pin,precise,37.385182,14.693454,-30,300,26.0,0,https://pleiades.stoa.org/places/462139,
pl-462159,"Chrysas, T.",sanctuary,pin,precise,37.633905,14.387218,-330,-30,26.0,0,https://pleiades.stoa.org/places/462159,
pl-462344,Monte Dessueri,settlement,pin,precise,37.190284,14.25702,-750,1999,26.5,0,https://pleiades.stoa.org/places/462344,
pl-462430,Piano della Camera,settlement,pin,precise,37.162942,14.343444,-750,640,26.8,0,https://pleiades.stoa.org/places/462430,
pl-764317939,Leonforte,settlement-modern,pin,precise,37.641421,14.3973834,1700,2100,26.8,0,https://pleiades.stoa.org/places/764317939,
pl-462510,Terravecchia di Grammichele,settlement|archaeological-site,pin,precise,37.2347915666,14.6228555377,-750,1999,26.9,0,https://pleiades.stoa.org/places/462510,
pl-221984496,City walls of Sabucina,city-wall,pin,precise,37.502691,14.121265,-550,-330,27.1,0,https://pleiades.stoa.org/places/221984496,
pl-462483,Sabucina,urban|settlement,pin,precise,37.5025854791,14.1203403815,-750,-30,27.2,0,https://pleiades.stoa.org/places/462483,
pl-465884,Echetla,settlement,pin,precise,37.2327642,14.6240607,-330,300,27.2,0,https://pleiades.stoa.org/places/465884,
pl-465970,Palike,sanctuary|settlement|architecturalcomplex,pin,precise,37.329954,14.697361,-750,2100,27.4,0,https://pleiades.stoa.org/places/465970,
pl-462408,Palikoi/Palicorum Stagna,salt-marsh|water-inland,pin,precise,37.32454975,14.6970988,-750,2100,27.6,0,https://pleiades.stoa.org/places/462408,
pl-462299,Marchito,sanctuary,pin,precise,37.181328,14.250685,-750,-550,27.7,0,https://pleiades.stoa.org/places/462299,
pl-462420,Petrusa,settlement,pin,precise,37.148965,14.386461,-330,1999,27.9,0,https://pleiades.stoa.org/places/462420,
pl-462457,Priorato,villa,pin,precise,37.242434,14.144968,-750,300,28.6,0,https://pleiades.stoa.org/places/462457,
pl-462348,Monte Gibel Gabel,settlement,pin,precise,37.4530807387,14.0775077615,-750,2100,29.1,0,https://pleiades.stoa.org/places/462348,
pl-462312,Menai,settlement,pin,precise,37.266404,14.69094,-550,2100,29.7,0,https://pleiades.stoa.org/places/462312,
pl-462246,Himeras (river),river,pin,precise,37.4739810596,14.0721194757,-550,2100,30.1,0,https://pleiades.stoa.org/places/462246,
pl-106443043,La Muculufa (Butera),settlement|settlement-modern,pin,precise,37.1903541,14.1834889,1900,1999,30.2,0,https://pleiades.stoa.org/places/106443043,
pl-462399,Omphake,settlement|settlement-modern,pin,precise,37.19006655,14.18321695,-750,2100,30.2,0,https://pleiades.stoa.org/places/462399,
pl-462207,Fiume di Mallo,shrine,pin,precise,37.189776,14.182945,-550,-330,30.3,0,https://pleiades.stoa.org/places/462207,
pl-462209,Fontana Calda di Butera,shrine,pin,precise,37.189774,14.182945,-330,640,30.3,0,https://pleiades.stoa.org/places/462209,
pl-462082,Agyrium,settlement|fort,pin,precise,37.65624055,14.5259926,-550,2100,30.6,0,https://pleiades.stoa.org/places/462082,
pl-446438247,Castello di Agira,castle,pin,precise,37.6551303314,14.5297940623,640,2099,30.6,0,https://pleiades.stoa.org/places/446438247,
pl-462437,Pietra Rossa,sanctuary,pin,precise,37.47819,14.064367,-550,-330,30.9,0,https://pleiades.stoa.org/places/462437,
pl-50391614,Monte Catalfaro,mountain|settlement|wall-2,pin,precise,37.280398,14.7170002,-750,2100,31.0,0,https://pleiades.stoa.org/places/50391614,
pl-462328,Monte Artesino di Nicosia,settlement|mountain,pin,precise,37.6642081,14.2886714,-750,2100,31.0,0,https://pleiades.stoa.org/places/462328,
pl-333222070,Phalarium,fort-2,wash,related,37.4780804299,14.0556496319,-330,300,31.6,0,https://pleiades.stoa.org/places/333222070,
pl-462364,Monte S. Giuliano di Caltanissetta,settlement|hill,pin,precise,37.5007533,14.0582565,-750,2099,32.2,0,https://pleiades.stoa.org/places/462364,
pl-462100,Arcia di Niscemi,sanctuary,pin,precise,37.108227,14.397015,-550,-330,32.4,0,https://pleiades.stoa.org/places/462100,
pl-462368,Monte Turcisi,fort-2|archaeological-site,pin,precise,37.4971141,14.7497638,-550,1999,32.7,0,https://pleiades.stoa.org/places/462368,
pl-462215,Gela(s) (river),river,pin,precise,37.113187279,14.2917644574,-550,2100,33.3,0,https://pleiades.stoa.org/places/462215,
