site,name,built,ended,place,by,ended_by,kind,note
# ============================================================================
# SITES.csv · THE GROUND, AND WHAT HAS STOOD ON IT
# ----------------------------------------------------------------------------
# ── THE CORRECTION THAT MADE THIS FILE · 5 Sep ───────────────────────────────
# The first version of this register had one row per building and called it a
# site. The captain:
#
#   "a site, a building is like a person: it has a birth date and a
#    destruction date, and the names of those who built it and those who
#    destroyed it. THE SITE STAYS THE SAME BUT THE BUILDERS AND THE
#    BUILDINGS CHANGE."
#
# Which is right, and the first version could not hold it. Jerusalem's temple
# mount is ONE GROUND and at least THREE BUILDINGS — Solomon's Temple, the
# Second Temple, the Dome of the Rock. I had the first two as unrelated sites
# sharing a coordinate and the third as a fourth thing entirely. Tenochtitlan
# is the same: the Templo Mayor pulled down and the cathedral built from its
# own stones, on the same ground. Cordoba is the same, and stranger — the
# cathedral was built INSIDE the mosque, which still stands around it.
#
#   `site`  the GROUND. Several rows may share it. It does not end.
#   `name`  what stood there. It has a birth and a death like anything else.
#
# ── AND A BUILDING HAS PEOPLE ────────────────────────────────────────────────
# `by` and `ended_by` are ROSTER KEYS. Solomon built one temple and
# Nebuchadnezzar destroyed it; Titus destroyed the next. Justinian raised
# Hagia Sophia and Mehmed made it a mosque. Those are souls already aboard,
# and this is the join that lets a building be asked about like a person.
#
# A blank is honest and common: nobody knows who built Stonehenge.
#
#   built   the year it stood, near enough. Coarse on purpose for ancient work.
#   ended   destroyed, abandoned, or ruined past use. BLANK MEANS IT STANDS.
#
# ── WHAT THE SPAN DOES, MEASURED ─────────────────────────────────────────────
# It does NOT declutter. 4 standing at 2500 BC, 12 at AD 1, a dip to 10 by AD
# 500 as Delphi and Olympia and Ephesus close, 22 today. THE BUILT WORLD
# ACCUMULATES, and against souls and events that arrive and go on every step
# of the slider this is the one layer that only ever adds.
# ============================================================================
Gobekli Tepe,Gobekli Tepe,-9500,-8000,"Gobekli Tepe, Turkey",,,temple,'older than pottery and the wheel; deliberately buried by its own builders'
