year,body,kind,description
-2894,Jupiter,due-east,Jupiter rises due east over Giza
-2893,Saturn,due-east,Saturn rises due east over Giza
-2888,Jupiter,due-east,Jupiter rises due east over Giza
-2882,Jupiter,due-east,Jupiter rises due east over Giza
-2879,Saturn,due-east,Saturn rises due east over Giza
-2876,Jupiter,due-east,Jupiter rises due east over Giza
-2870,Jupiter,due-east,Jupiter rises due east over Giza
-2865,Jupiter,due-east,Jupiter rises due east over Giza
-2864,Saturn,due-east,Saturn rises due east over Giza
-2862,Uranus,due-east,Uranus rises due east over Giza
-2860,Sun,eclipse-total,"Total solar eclipse over Giza, -2860-03-01"
-2858,Jupiter,due-east,Jupiter rises due east over Giza
-2853,Jupiter,due-east,Jupiter rises due east over Giza
-2850,Saturn,due-east,Saturn rises due east over Giza
-2847,Jupiter,due-east,Jupiter rises due east over Giza
-2841,Jupiter,due-east,Jupiter rises due east over Giza
-2835,Jupiter,due-east,Jupiter rises due east over Giza
-2834,Neptune,due-east,Neptune rises due east over Giza
-2834,Saturn,due-east,Saturn rises due east over Giza
-2833,Sun,eclipse-total,"Total solar eclipse over Giza, -2833-04-01"
-2829,Jupiter,due-east,Jupiter rises due east over Giza
-2823,Jupiter,due-east,Jupiter rises due east over Giza
-2820,Saturn,due-east,Saturn rises due east over Giza
-2820,Sun,eclipse-annular,"Annular solar eclipse over Giza, -2820-01-09"
-2820,Uranus,due-east,Uranus rises due east over Giza
-2817,Jupiter,due-east,Jupiter rises due east over Giza
-2811,Jupiter,due-east,Jupiter rises due east over Giza
-2805,Jupiter,due-east,Jupiter rises due east over Giza
-2805,Saturn,due-east,Saturn rises due east over Giza
-2799,Jupiter,due-east,Jupiter rises due east over Giza
-2793,Jupiter,due-east,Jupiter rises due east over Giza
-2791,Saturn,due-east,Saturn rises due east over Giza
-2787,Jupiter,due-east,Jupiter rises due east over Giza
-2782,Jupiter,due-east,Jupiter rises due east over Giza
-2778,Uranus,due-east,Uranus rises due east over Giza
-2775,Jupiter,due-east,Jupiter rises due east over Giza
-2775,Saturn,due-east,Saturn rises due east over Giza
-2770,Jupiter,due-east,Jupiter rises due east over Giza
-2764,Jupiter,due-east,Jupiter rises due east over Giza
-2762,Saturn,due-east,Saturn rises due east over Giza
-2758,Jupiter,due-east,Jupiter rises due east over Giza
-2752,Jupiter,due-east,Jupiter rises due east over Giza
-2752,Neptune,due-east,Neptune rises due east over Giza
-2746,Jupiter,due-east,Jupiter rises due east over Giza
-2746,Saturn,due-east,Saturn rises due east over Giza
-2740,Jupiter,due-east,Jupiter rises due east over Giza
-2736,Uranus,due-east,Uranus rises due east over Giza
-2734,Jupiter,due-east,Jupiter rises due east over Giza
-2732,Saturn,due-east,Saturn rises due east over Giza
-2728,Jupiter,due-east,Jupiter rises due east over Giza
-2722,Jupiter,due-east,Jupiter rises due east over Giza
-2717,Saturn,due-east,Saturn rises due east over Giza
-2716,Jupiter,due-east,Jupiter rises due east over Giza
-2710,Jupiter,due-east,Jupiter rises due east over Giza
-2704,Jupiter,due-east,Jupiter rises due east over Giza
-2703,Saturn,due-east,Saturn rises due east over Giza
-2699,Jupiter,due-east,Jupiter rises due east over Giza
-2694,Uranus,due-east,Uranus rises due east over Giza
-2693,Sun,eclipse-annular,"Annular solar eclipse over Giza, -2693-09-09"
-2692,Jupiter,due-east,Jupiter rises due east over Giza
-2687,Jupiter,due-east,Jupiter rises due east over Giza
-2687,Saturn,due-east,Saturn rises due east over Giza
-2681,Jupiter,due-east,Jupiter rises due east over Giza
-2675,Jupiter,due-east,Jupiter rises due east over Giza
-2673,Saturn,due-east,Saturn rises due east over Giza
-2669,Jupiter,due-east,Jupiter rises due east over Giza
-2669,Neptune,due-east,Neptune rises due east over Giza
-2663,Jupiter,due-east,Jupiter rises due east over Giza
-2658,Saturn,due-east,Saturn rises due east over Giza
-2657,Jupiter,due-east,Jupiter rises due east over Giza
-2652,Uranus,due-east,Uranus rises due east over Giza
-2651,Jupiter,due-east,Jupiter rises due east over Giza
-2645,Jupiter,due-east,Jupiter rises due east over Giza
-2644,Saturn,due-east,Saturn rises due east over Giza
-2639,Jupiter,due-east,Jupiter rises due east over Giza
-2633,Jupiter,due-east,Jupiter rises due east over Giza
-2628,Saturn,due-east,Saturn rises due east over Giza
-2627,Jupiter,due-east,Jupiter rises due east over Giza
-2621,Jupiter,due-east,Jupiter rises due east over Giza
-2616,Jupiter,due-east,Jupiter rises due east over Giza
-2614,Saturn,due-east,Saturn rises due east over Giza
-2610,Uranus,due-east,Uranus rises due east over Giza
-2609,Jupiter,due-east,Jupiter rises due east over Giza
-2604,Jupiter,due-east,Jupiter rises due east over Giza
-2599,Saturn,due-east,Saturn rises due east over Giza
-2597,Jupiter,due-east,Jupiter rises due east over Giza
-2592,Jupiter,due-east,Jupiter rises due east over Giza
-2587,Neptune,due-east,Neptune rises due east over Giza
-2586,Jupiter,due-east,Jupiter rises due east over Giza
-2585,Saturn,due-east,Saturn rises due east over Giza
-2580,Jupiter,due-east,Jupiter rises due east over Giza
-2574,Jupiter,due-east,Jupiter rises due east over Giza
-2569,Saturn,due-east,Saturn rises due east over Giza
-2568,Jupiter,due-east,Jupiter rises due east over Giza
-2568,Uranus,due-east,Uranus rises due east over Giza
-2562,Jupiter,due-east,Jupiter rises due east over Giza
-2556,Jupiter,due-east,Jupiter rises due east over Giza
-2555,Saturn,due-east,Saturn rises due east over Giza
-2550,Jupiter,due-east,Jupiter rises due east over Giza
-2544,Jupiter,due-east,Jupiter rises due east over Giza
-2540,Saturn,due-east,Saturn rises due east over Giza
-2538,Jupiter,due-east,Jupiter rises due east over Giza
-2532,Jupiter,due-east,Jupiter rises due east over Giza
-2526,Jupiter,due-east,Jupiter rises due east over Giza
-2526,Saturn,due-east,Saturn rises due east over Giza
-2526,Uranus,due-east,Uranus rises due east over Giza
-2521,Jupiter,due-east,Jupiter rises due east over Giza
-2514,Jupiter,due-east,Jupiter rises due east over Giza
-2510,Saturn,due-east,Saturn rises due east over Giza
-2509,Jupiter,due-east,Jupiter rises due east over Giza
-2505,Neptune,due-east,Neptune rises due east over Giza
-2503,Jupiter,due-east,Jupiter rises due east over Giza
-2497,Jupiter,due-east,Jupiter rises due east over Giza
-2497,Saturn,due-east,Saturn rises due east over Giza
-2491,Jupiter,due-east,Jupiter rises due east over Giza
-2485,Jupiter,due-east,Jupiter rises due east over Giza
-2484,Uranus,due-east,Uranus rises due east over Giza
-2481,Saturn,due-east,Saturn rises due east over Giza
-2479,Jupiter,due-east,Jupiter rises due east over Giza
-2473,Jupiter,due-east,Jupiter rises due east over Giza
-2470,Sun,eclipse-total,"Total solar eclipse over Giza, -2470-03-12"
-2467,Jupiter,due-east,Jupiter rises due east over Giza
-2467,Saturn,due-east,Saturn rises due east over Giza
-2461,Jupiter,due-east,Jupiter rises due east over Giza
-2455,Jupiter,due-east,Jupiter rises due east over Giza
-2452,Saturn,due-east,Saturn rises due east over Giza
-2449,Jupiter,due-east,Jupiter rises due east over Giza
-2443,Jupiter,due-east,Jupiter rises due east over Giza
-2442,Uranus,due-east,Uranus rises due east over Giza
-2438,Jupiter,due-east,Jupiter rises due east over Giza
-2438,Saturn,due-east,Saturn rises due east over Giza
-2431,Jupiter,due-east,Jupiter rises due east over Giza
-2426,Jupiter,due-east,Jupiter rises due east over Giza
-2422,Neptune,due-east,Neptune rises due east over Giza
-2422,Saturn,due-east,Saturn rises due east over Giza
-2420,Jupiter,due-east,Jupiter rises due east over Giza
-2414,Jupiter,due-east,Jupiter rises due east over Giza
-2408,Jupiter,due-east,Jupiter rises due east over Giza
-2408,Saturn,due-east,Saturn rises due east over Giza
-2402,Jupiter,due-east,Jupiter rises due east over Giza
-2400,Uranus,due-east,Uranus rises due east over Giza
-2396,Jupiter,due-east,Jupiter rises due east over Giza
-2393,Saturn,due-east,Saturn rises due east over Giza
-2392,Sun,eclipse-annular,"Annular solar eclipse over Giza, -2392-07-15"
-2390,Jupiter,due-east,Jupiter rises due east over Giza
-2384,Jupiter,due-east,Jupiter rises due east over Giza
-2383,Sun,eclipse-annular,"Annular solar eclipse over Giza, -2383-07-06"
-2379,Saturn,due-east,Saturn rises due east over Giza
-2378,Jupiter,due-east,Jupiter rises due east over Giza
-2372,Jupiter,due-east,Jupiter rises due east over Giza
-2366,Jupiter,due-east,Jupiter rises due east over Giza
-2364,Sun,eclipse-annular,"Annular solar eclipse over Giza, -2364-07-05"
-2363,Saturn,due-east,Saturn rises due east over Giza
-2360,Jupiter,due-east,Jupiter rises due east over Giza
