key,name,kind,tier,lat,lon,from,until,locations,km,uri,why
pl-912932,Sella/Silhu (river),river,wash,32.50000,46.50000,-330,640,0,0.0,https://pleiades.stoa.org/places/912932,
pl-912806,Apamea,settlement,pin,32.29118,46.30231,-330,640,0,29.7,https://pleiades.stoa.org/places/912806,
pl-912880,Kas(h)kar,"settlement, settlement-modern",pin,32.46054,46.08227,-30,2099,0,39.4,https://pleiades.stoa.org/places/912880,
pl-108542249,Pašime,settlement,pin,32.39389,47.14783,-6500,2100,0,61.8,https://pleiades.stoa.org/places/108542249,
pl-625383494,Tapah Farukhābād,archaeological-site,pin,32.58730,47.22460,1700,2100,0,68.5,https://pleiades.stoa.org/places/625383494,
pl-116472961,Tell Farukhabad,tell,pin,32.58333,47.23333,-6200,640,0,69.3,https://pleiades.stoa.org/places/116472961,
pl-912811,Archous (river),river,pin,32.03017,45.99917,-330,2100,0,70.1,https://pleiades.stoa.org/places/912811,
pl-698215287,Tulul al-Baqarat,"findspot, archaeological-site",pin,32.33694,45.72292,1700,2100,0,75.0,https://pleiades.stoa.org/places/698215287,
pl-903070,Kushk Khainfar,temple,pin,33.18907,46.51547,300,640,0,76.5,https://pleiades.stoa.org/places/903070,
pl-39082013,Tapah Gārān,"findspot, archaeological-site",pin,32.58020,47.33754,1700,2100,0,78.9,https://pleiades.stoa.org/places/39082013,
pl-300386562,Tapah Mūsiyān,"findspot, archaeological-site",pin,32.55294,47.35106,1700,2100,0,79.9,https://pleiades.stoa.org/places/300386562,
pl-894129,Tell Bismaya,settlement,pin,32.40930,45.65098,-330,640,0,80.1,https://pleiades.stoa.org/places/894129,
pl-762762282,Tell Wilaya,"settlement, archaeological-site",pin,32.31260,45.66027,-3000,2100,0,81.3,https://pleiades.stoa.org/places/762762282,
pl-903083,Mihragan Kadag (region),"region, label",pin,32.71645,47.35932,-30,640,0,84.0,https://pleiades.stoa.org/places/903083,
pl-667048536,Edimgalkalama,"unlocated, temple-2",wash,33.10945,45.94788,-3000,-540,0,85.1,https://pleiades.stoa.org/places/667048536,
pl-912949,Tell Abu Khay,settlement,pin,32.30793,45.61198,-750,640,0,85.8,https://pleiades.stoa.org/places/912949,
pl-903076,Maimeh,temple,pin,33.17542,46.94550,300,640,0,85.8,https://pleiades.stoa.org/places/903076,
pl-903013,Deru/Beth Daraya/[Badra],"settlement, archaeological-site",pin,33.11928,45.93733,-750,2100,0,86.6,https://pleiades.stoa.org/places/903013,
pl-300354629,ʿAfak,settlement,wash,32.50000,45.50000,1918,2000,0,93.6,https://pleiades.stoa.org/places/300354629,
pl-890432543,Nippur Survey,settlement,wash,32.50000,45.50000,-2335,-2000,0,93.6,https://pleiades.stoa.org/places/890432543,
pl-893925,A221,unknown,wash,32.50000,45.50000,-30,640,0,93.6,https://pleiades.stoa.org/places/893925,
pl-893926,A262,unknown,wash,32.50000,45.50000,-330,640,0,93.6,https://pleiades.stoa.org/places/893926,
pl-912954,Tell Dhahiya,settlement,pin,32.07347,45.63127,-30,640,0,94.1,https://pleiades.stoa.org/places/912954,
pl-912966,Tulul Abu Fatas,settlement,pin,31.97366,45.69461,-750,300,0,95.4,https://pleiades.stoa.org/places/912966,
pl-903097,Pusht-i Arisht,temple,pin,33.29144,46.95232,300,640,0,97.5,https://pleiades.stoa.org/places/903097,
pl-912981,U1436,settlement,pin,31.95959,45.66966,-30,640,0,98.2,https://pleiades.stoa.org/places/912981,
pl-912960,Tell Mirza,settlement,pin,32.11173,45.55156,-30,640,0,98.7,https://pleiades.stoa.org/places/912960,
pl-903143,War Pil,temple,pin,33.38813,46.57006,300,640,0,98.8,https://pleiades.stoa.org/places/903143,
pl-912979,"U1213, 1214",settlement,pin,32.08211,45.54176,-30,640,0,101.0,https://pleiades.stoa.org/places/912979,
pl-894053,[Nu'maniya],settlement,pin,32.55084,45.41412,300,640,0,101.8,https://pleiades.stoa.org/places/894053,
pl-787747618,Adab,"settlement, archaeological-site",pin,31.95090,45.62334,-4000,2100,0,102.2,https://pleiades.stoa.org/places/787747618,
pl-921099766,Zabala,"findspot, settlement, archaeological-site",pin,31.74339,45.87693,-3000,2100,0,102.3,https://pleiades.stoa.org/places/921099766,
pl-912980,U1310,settlement,pin,32.00373,45.57625,-30,640,0,102.5,https://pleiades.stoa.org/places/912980,
pl-616377777,Dibbin,"findspot, archaeological-site",pin,31.89770,45.66110,,,0,103.1,https://pleiades.stoa.org/places/616377777,
pl-578158508,Umm al-Ḥafriyāt,findspot,pin,32.13240,45.48120,,,0,103.7,https://pleiades.stoa.org/places/578158508,
pl-935615276,Shamīt,"findspot, archaeological-site, tell",pin,31.74750,45.83240,1700,2100,0,104.3,https://pleiades.stoa.org/places/935615276,
pl-894114,Tell al-Arsan,settlement,pin,32.36665,45.38375,-330,640,0,105.5,https://pleiades.stoa.org/places/894114,
pl-912957,Tell Jidr/[Dabrum]?/Karkar?,"settlement, archaeological-site",pin,31.82540,45.70320,-750,2100,0,105.7,https://pleiades.stoa.org/places/912957,
pl-537487875,Shiqāft-i Gulgul,monument,pin,33.46750,46.48430,1700,2100,0,107.4,https://pleiades.stoa.org/places/537487875,
pl-201914850,Girsu Bridge,bridge,pin,31.56208,46.18137,-3000,2099,0,108.3,https://pleiades.stoa.org/places/201914850,
pl-912855,[Girsu]/Tello(h),"settlement, archaeological-site",pin,31.56039,46.17764,-6500,2100,0,108.6,https://pleiades.stoa.org/places/912855,
pl-44626252,Umma,"settlement, archaeological-site",pin,31.66796,45.88679,-6500,2100,0,108.7,https://pleiades.stoa.org/places/44626252,
pl-537242705,Shara Temple at Umma,temple-2,pin,31.66785,45.88743,-2335,-1600,0,108.7,https://pleiades.stoa.org/places/537242705,
pl-644065293,Adams 1069 (find site),"findspot, archaeological-site",pin,32.14900,45.39360,,,0,110.7,https://pleiades.stoa.org/places/644065293,
pl-912826,Chaldaici? L.,"marsh-wetland, lake",wash,31.50000,46.50000,-30,300,0,111.0,https://pleiades.stoa.org/places/912826,
pl-992018312,Tall al-Disim,"findspot, archaeological-site",pin,32.14150,45.39290,,,0,111.0,https://pleiades.stoa.org/places/992018312,
pl-344945222,Tall Umm al-ʻAjarib,"findspot, archaeological-site",pin,31.62083,45.93346,1700,2100,0,111.1,https://pleiades.stoa.org/places/344945222,
pl-912955,Tell Farawa,settlement,pin,31.64372,45.88352,-30,640,0,111.2,https://pleiades.stoa.org/places/912955,
pl-825039107,Ishān al-Sama‘a,findspot,pin,32.07250,45.41930,1700,2100,0,111.7,https://pleiades.stoa.org/places/825039107,
pl-237830124,Iri-sagrig,"settlement, archaeological-site",pin,32.15290,45.36890,-2335,-1600,0,112.7,https://pleiades.stoa.org/places/237830124,
pl-903741,Untitled,bridge,pin,33.18490,47.38852,300,640,0,112.7,https://pleiades.stoa.org/places/903741,
pl-912959,Tell Laham,"settlement, findspot",pin,32.05100,45.40620,-750,2100,0,113.9,https://pleiades.stoa.org/places/912959,
pl-959992688,Tall Warīsh,findspot,pin,32.18340,45.34210,1700,2100,0,114.0,https://pleiades.stoa.org/places/959992688,
pl-912977,U847,settlement,pin,32.23993,45.31570,-30,640,0,114.6,https://pleiades.stoa.org/places/912977,
pl-912924,Qal'a Huwaysh al-Pasha,settlement,pin,31.76059,45.64039,-330,640,0,114.9,https://pleiades.stoa.org/places/912924,
pl-912797,Abu Ruwaysh,settlement,pin,31.58912,45.90655,-330,300,0,115.4,https://pleiades.stoa.org/places/912797,
pl-531025067,Ishān Dulaiyhim,archaeological-site,pin,31.99860,45.41090,-3000,2100,0,116.2,https://pleiades.stoa.org/places/531025067,
pl-903007,Changiyeh,temple,pin,33.55860,46.49920,300,640,0,117.5,https://pleiades.stoa.org/places/903007,
pl-606664759,Ishān Hāfudh,"findspot, archaeological-site",pin,31.95690,45.42070,,,0,117.7,https://pleiades.stoa.org/places/606664759,
