key,name,kind,tier,lat,lon,from,until,locations,km,uri,why
pl-638743,Anaua/Sanaos,settlement,pin,37.88917,29.80943,-550,640,0,14.6,https://pleiades.stoa.org/places/638743,
pl-639091,Sanaos (lake),lake,pin,37.82745,29.88054,-330,2100,0,19.2,https://pleiades.stoa.org/places/639091,
pl-610799,Untitled,bridge,pin,38.17411,29.73558,-30,300,0,24.1,https://pleiades.stoa.org/places/610799,
pl-638986,Marsyas (river),river,pin,38.08044,30.16018,-550,2099,0,24.4,https://pleiades.stoa.org/places/638986,
pl-638751,Apamea/Kelainai/Kibotos,"settlement, settlement-modern",pin,38.07008,30.17162,-550,2100,0,25.0,https://pleiades.stoa.org/places/638751,
pl-609408,*Homadena,settlement,pin,38.23642,29.99208,-30,640,0,27.5,https://pleiades.stoa.org/places/609408,
pl-609390,Glaukos (river),river,wash,38.25000,29.75000,-30,300,0,30.7,https://pleiades.stoa.org/places/609390,
pl-612325,19,numbered feature,wash,38.25000,29.75000,-30,640,0,30.7,https://pleiades.stoa.org/places/612325,
pl-612326,20,unknown,wash,38.25000,29.75000,-30,640,0,30.7,https://pleiades.stoa.org/places/612326,
pl-612329,Unnamed rock relief,monument,wash,38.25000,29.75000,-750,-550,0,30.7,https://pleiades.stoa.org/places/612329,
pl-638784,Aulutrene/‘Aulocrene’ (lake),"marsh-wetland, lake",pin,38.05965,30.25009,-30,2100,0,31.3,https://pleiades.stoa.org/places/638784,
pl-609330,Aulutrene,label,pin,38.21079,30.15672,-30,640,0,32.4,https://pleiades.stoa.org/places/609330,
pl-56861725,Beycesultan,settlement,pin,38.25668,29.70119,-3000,-1000,0,33.4,https://pleiades.stoa.org/places/56861725,
pl-638982,*Malgasa,settlement,pin,37.72277,30.05141,-30,640,0,33.5,https://pleiades.stoa.org/places/638982,
pl-609329,Aulutrene,settlement,pin,38.07629,30.27463,-30,640,0,33.8,https://pleiades.stoa.org/places/609329,
pl-638759,Aporidos Come,"settlement, settlement-modern",pin,38.07512,30.27698,-330,2099,0,34.0,https://pleiades.stoa.org/places/638759,
pl-638783,Aulutrena,"fort-2, settlement-modern",pin,38.07512,30.27698,-30,2099,0,34.0,https://pleiades.stoa.org/places/638783,
pl-638868,Ilyas,settlement,pin,37.80338,30.19816,-330,300,0,34.0,https://pleiades.stoa.org/places/638868,
pl-639080,Rhotrini Fontes,spring,pin,38.07534,30.27656,-330,2099,0,34.0,https://pleiades.stoa.org/places/639080,
pl-638973,Lysinoe,settlement,pin,37.71569,30.09079,-330,640,0,35.7,https://pleiades.stoa.org/places/638973,
pl-609382,Fulvia/Eumeneia,settlement,pin,38.32002,29.84862,-330,1999,0,35.8,https://pleiades.stoa.org/places/609382,
pl-638774,Ascanius (lake),lake,pin,37.72165,30.16108,-330,2100,0,38.4,https://pleiades.stoa.org/places/638774,
pl-638964,Lounda,settlement,pin,38.02961,29.45501,-30,640,0,39.1,https://pleiades.stoa.org/places/638964,
pl-639064,*Plinnena,settlement,pin,38.04714,30.35474,-30,300,0,40.1,https://pleiades.stoa.org/places/639064,
pl-609406,Hisar,fort,pin,38.32386,30.11539,-330,-30,0,40.6,https://pleiades.stoa.org/places/609406,
pl-638974,Lysis (river),river,wash,37.75000,30.25000,-330,300,0,41.3,https://pleiades.stoa.org/places/638974,
pl-639021,Orgas (river),river,wash,38.25000,30.25000,-330,300,0,41.3,https://pleiades.stoa.org/places/639021,
pl-609535,Stektorion,settlement,pin,38.33236,30.14865,-30,640,0,42.8,https://pleiades.stoa.org/places/609535,
pl-609437,Klydros (river),river,pin,38.38709,29.91154,-30,2099,0,43.0,https://pleiades.stoa.org/places/609437,
pl-609410,Hyrgaleis,"labeled feature, label",pin,38.15880,29.44732,-30,300,0,43.3,https://pleiades.stoa.org/places/609410,
pl-639126,*Takina,settlement,pin,37.59628,29.93415,-30,300,0,44.9,https://pleiades.stoa.org/places/639126,
pl-639070,[Praetoria],settlement,pin,37.73050,30.30491,-1750,2000,0,46.4,https://pleiades.stoa.org/places/639070,
pl-639158,Tymbrianassos,settlement,pin,37.59898,30.04855,-30,300,0,46.4,https://pleiades.stoa.org/places/639158,
pl-630619066,Kuruçay Höyük,"fortified-settlement, tell",pin,37.63444,30.16692,-10000,2099,0,46.8,https://pleiades.stoa.org/places/630619066,
pl-350639157,Haçilar,settlement,pin,37.60000,30.10000,-10000,-3300,0,47.7,https://pleiades.stoa.org/places/350639157,
pl-609327,Atyochorion,"findspot, settlement, settlement-modern",pin,38.15213,29.37925,-30,2100,0,48.6,https://pleiades.stoa.org/places/609327,
pl-897646525,Temple of Zeus Trossou,"unlocated, temple-2",wash,38.15213,29.37925,-30,300,0,48.6,https://pleiades.stoa.org/places/897646525,
pl-96282639,Dionysopolis,"unlocated, settlement",wash,38.15213,29.37925,,,0,48.6,https://pleiades.stoa.org/places/96282639,
pl-609497,Pentapolis,"region, label",pin,38.41114,30.10051,300,640,0,48.9,https://pleiades.stoa.org/places/609497,
pl-638758,Apollonia/Mordiaion/Sozopolis,settlement,pin,38.07572,30.46384,-330,640,0,50.0,https://pleiades.stoa.org/places/638758,
pl-609363,Dionysoupolis,settlement,pin,38.23386,29.41186,-330,640,0,50.0,https://pleiades.stoa.org/places/609363,
pl-609489,Otrous,settlement,pin,38.45150,29.95884,-30,640,0,50.4,https://pleiades.stoa.org/places/609489,
pl-609507,*Polyntena,settlement,pin,38.22201,30.42099,-30,300,0,51.8,https://pleiades.stoa.org/places/609507,
pl-638979,*Magastara,settlement,pin,37.71620,30.38877,-30,300,0,53.1,https://pleiades.stoa.org/places/638979,
pl-638957,*Legeita,settlement,pin,37.68205,30.35645,-30,300,0,53.3,https://pleiades.stoa.org/places/638957,
pl-638781,Aulindenos? L.,lake,pin,37.54858,29.68217,-30,2100,0,53.6,https://pleiades.stoa.org/places/638781,
pl-609476,Mossyna,settlement,pin,38.09559,29.29855,-30,640,0,53.7,https://pleiades.stoa.org/places/609476,
pl-638813,Conana/Iustinianopolis?,settlement,pin,37.95591,30.51290,-330,640,0,53.8,https://pleiades.stoa.org/places/638813,
pl-609291,Agros Thermon,spring,pin,38.43217,30.18335,-30,640,0,54.0,https://pleiades.stoa.org/places/609291,
pl-609472,Metropolitanus Campus,label,pin,38.26221,30.42887,-330,640,0,54.7,https://pleiades.stoa.org/places/609472,
pl-639089,Salda,station,pin,37.53520,29.65922,-30,300,0,55.7,https://pleiades.stoa.org/places/639089,
pl-638852,Hadrianopolis/Hadriani,settlement,pin,37.50683,30.04333,-30,300,0,56.2,https://pleiades.stoa.org/places/638852,
pl-638914,Keretapa?/Diokaisareia?,settlement,pin,37.49366,29.92603,-30,640,0,56.2,https://pleiades.stoa.org/places/638914,
pl-609518,*Saloudeia?,settlement,pin,38.12181,29.27618,-30,300,0,56.2,https://pleiades.stoa.org/places/609518,
pl-609378,Eukarpia,settlement,pin,38.48237,30.10502,-330,640,0,56.5,https://pleiades.stoa.org/places/609378,
pl-609421,*Kagyetteia,settlement,pin,38.16873,29.28933,-30,300,0,56.6,https://pleiades.stoa.org/places/609421,
pl-609312,"Apollo Lairmenos, T.",sanctuary,pin,38.22461,29.31455,-30,300,0,57.0,https://pleiades.stoa.org/places/609312,
pl-639083,"Roma et Augustus, T.",sanctuary,pin,37.52042,30.13883,-30,300,0,57.2,https://pleiades.stoa.org/places/639083,
pl-609403,Hierapolis/Koçhisar,settlement,pin,38.46177,30.19770,-30,640,0,57.5,https://pleiades.stoa.org/places/609403,
pl-638936,Kormasa?,settlement,pin,37.50534,30.11940,-330,1999,0,58.2,https://pleiades.stoa.org/places/638936,
pl-609471,Metropolis,settlement,pin,38.24119,30.49060,-330,640,0,58.2,https://pleiades.stoa.org/places/609471,
pl-609544,Tatarlı,tumulus,pin,38.24184,30.49553,-550,-330,0,58.6,https://pleiades.stoa.org/places/609544,
pl-609478,Motella/Metelloupolis,settlement,pin,38.25112,29.30725,-30,640,0,58.9,https://pleiades.stoa.org/places/609478,
pl-609521,Sebaste,settlement,pin,38.49609,29.65570,-30,640,0,59.1,https://pleiades.stoa.org/places/609521,
pl-609523,Selçikler,tumulus,pin,38.49713,29.65716,-550,-330,0,59.1,https://pleiades.stoa.org/places/609523,
pl-614797,Pepouza,"unlocated, settlement",pin,38.40806,29.46139,-30,640,0,59.4,https://pleiades.stoa.org/places/614797,
pl-609436,Kleros Politike,settlement,pin,38.53491,29.95827,-30,640,0,59.6,https://pleiades.stoa.org/places/609436,
pl-612324,Unnamed quarry,quarry,pin,38.52463,29.72555,-30,640,0,60.2,https://pleiades.stoa.org/places/612324,
pl-638998,Moatra,settlement,pin,37.54866,30.28597,-30,300,0,60.4,https://pleiades.stoa.org/places/638998,
pl-638790,Baris,settlement,pin,37.76100,30.52412,-30,2000,0,60.7,https://pleiades.stoa.org/places/638790,
pl-638811,Colossae,settlement,pin,37.78679,29.25992,-550,640,0,60.8,https://pleiades.stoa.org/places/638811,
pl-609477,*Motaleia,settlement,pin,38.11662,29.20853,-30,300,0,61.9,https://pleiades.stoa.org/places/609477,
pl-638829,*Eleinokapria,settlement,pin,37.81905,29.22983,-30,300,0,62.0,https://pleiades.stoa.org/places/638829,
pl-612331,25,spring,pin,38.10022,30.59952,300,640,0,62.2,https://pleiades.stoa.org/places/612331,
pl-612323,Unnamed quarry,quarry,pin,38.54812,29.73910,-30,640,0,62.4,https://pleiades.stoa.org/places/612323,
pl-639067,*Polyetta,settlement,pin,37.43429,29.92415,-30,300,0,62.8,https://pleiades.stoa.org/places/639067,
pl-609563,Tymandos,settlement,pin,38.10442,30.60702,-30,640,0,62.9,https://pleiades.stoa.org/places/609563,
pl-638775,Asopos? (river),river,wash,37.75000,29.25000,-30,300,0,63.3,https://pleiades.stoa.org/places/638775,
pl-638883,Kadmos (river),river,wash,37.75000,29.25000,-330,300,0,63.3,https://pleiades.stoa.org/places/638883,
pl-638895,Kapros? (river),river,wash,37.75000,29.25000,-30,640,0,63.3,https://pleiades.stoa.org/places/638895,
pl-639488,Untitled,aqueduct,wash,37.75000,29.25000,-330,300,0,63.3,https://pleiades.stoa.org/places/639488,
pl-609405,Hippourios (river),river,wash,38.25000,29.25000,-30,300,0,63.3,https://pleiades.stoa.org/places/609405,
pl-609529,Sindros (river),river,wash,38.25000,29.25000,-30,300,0,63.3,https://pleiades.stoa.org/places/609529,
pl-612328,Unnamed quarries to the west of Thiounta,quarry,wash,38.25000,29.25000,-30,300,0,63.3,https://pleiades.stoa.org/places/612328,
pl-609345,Brouzos,settlement,pin,38.52996,30.17448,-30,640,0,63.5,https://pleiades.stoa.org/places/609345,
pl-639098,Seleucia/Claudioseleucia/Seleucia Sidera,"settlement, archaeological-site",pin,37.89985,30.61754,-330,640,0,63.7,https://pleiades.stoa.org/places/639098,
pl-638981,Makron Pedion,"plain, label",pin,37.43499,30.05524,-30,300,0,64.2,https://pleiades.stoa.org/places/638981,
pl-639087,Sagalassos,settlement,pin,37.67289,30.51416,-550,640,0,64.8,https://pleiades.stoa.org/places/639087,
pl-639494,Unnamed aqueduct at Sagalassos,aqueduct,wash,37.67023,30.51141,-330,-30,0,64.8,https://pleiades.stoa.org/places/639494,
pl-290042871,Upper Agora,plaza,pin,37.67731,30.51762,-30,300,0,64.8,https://pleiades.stoa.org/places/290042871,
pl-288813555,Heroön,tomb,pin,37.67736,30.51733,-30,300,0,64.8,https://pleiades.stoa.org/places/288813555,
pl-160453231,Odeion at Sagalassos,theatre,pin,37.67626,30.51850,-30,300,0,64.9,https://pleiades.stoa.org/places/160453231,
pl-609505,*Plouristreia,settlement,pin,38.21030,30.59278,-30,300,0,64.9,https://pleiades.stoa.org/places/609505,
pl-695803524,Macellum of Sagalassos,architecturalcomplex,pin,37.67678,30.51845,-30,300,0,64.9,https://pleiades.stoa.org/places/695803524,
pl-89361977,Roman baths at Sagalassos,bath,pin,37.67553,30.51916,-30,300,0,65.0,https://pleiades.stoa.org/places/89361977,
pl-62651370,Theater of Sagalassos,theatre,pin,37.67830,30.52178,-30,300,0,65.1,https://pleiades.stoa.org/places/62651370,
pl-638735,[Agrai],settlement,pin,37.95141,30.64291,300,640,0,65.2,https://pleiades.stoa.org/places/638735,
pl-609370,Eibeos,settlement,pin,38.57316,29.71328,-30,640,0,65.7,https://pleiades.stoa.org/places/609370,
